Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-02-27,19:45 (03:45),Premier League,Matchweek 28,Wed,Home,W,5,1,Bournemouth,2.5,0.9,64,59618,Laurent Koscielny,3-4-3,Chris Kavanagh,Match Report,
2019-03-02,12:30 (20:30),Premier League,Matchweek 29,Sat,Away,D,1,1,Tottenham,2.6,1.6,40,81332,Laurent Koscielny,4-2-3-1,Anthony Taylor,Match Report,
2019-03-07,18:55 (01:55),Europa Lg,Round of 16,Thu,Away,L,1,3,fr Rennes,0.7,1.6,49,29100,Laurent Koscielny,4-2-3-1,Filip Glova,Match Report,Leg 1 of 2
2019-03-10,16:30 (00:30),Premier League,Matchweek 30,Sun,Home,W,2,0,Manchester Utd,1.7,2.3,46,60000,Laurent Koscielny,3-4-1-2,Jonathan Moss,Match Report,
2019-03-14,20:00 (04:00),Europa Lg,Round of 16,Thu,Home,W,3,0,fr Rennes,3.2,0.5,53,59453,Laurent Koscielny,3-4-1-2,Andris Treimanis,Match Report,Leg 2 of 2; Arsenal won
2019-04-01,20:00 (03:00),Premier League,Matchweek 32,Mon,Home,W,2,0,Newcastle Utd,0.8,0.1,70,59869,Aaron Ramsey,3-4-3,Anthony Taylor,Match Report,
2019-04-07,14:05 (21:05),Premier League,Matchweek 33,Sun,Away,L,0,1,Everton,0.3,2.4,57,39400,Mesut Özil,3-4-3,Kevin Friend,Match Report,
2019-04-11,20:00 (03:00),Europa Lg,Quarter-finals,Thu,Home,W,2,0,it Napoli,2.0,0.8,42,59738,Laurent Koscielny,3-4-1-2,Alberto Undiano,Match Report,Leg 1 of 2
2019-04-15,20:00 (03:00),Premier League,Matchweek 34,Mon,Away,W,1,0,Watford,2.3,1.0,65,20480,Laurent Koscielny,4-2-3-1,Craig Pawson,Match Report,
2019-04-18,21:00 (03:00),Europa Lg,Quarter-finals,Thu,Away,W,1,0,it Napoli,0.7,1.4,31,39438,Laurent Koscielny,3-4-1-2,Ovidiu Hațegan,Match Report,Leg 2 of 2; Arsenal won
2019-04-21,16:00 (23:00),Premier League,Matchweek 35,Sun,Home,L,2,3,Crystal Palace,1.2,1.6,72,59929,Laurent Koscielny,3-4-1-2,Jonathan Moss,Match Report,
2019-04-24,19:45 (02:45),Premier League,Matchweek 31,Wed,Away,L,1,3,Wolves,0.8,1.2,70,31436,Laurent Koscielny,4-2-3-1,Stuart Attwell,Match Report,
2019-04-28,12:00 (19:00),Premier League,Matchweek 36,Sun,Away,L,0,3,Leicester City,0.6,3.3,34,32037,Granit Xhaka,4-4-2,Michael Oliver,Match Report,
2019-05-02,20:00 (03:00),Europa Lg,Semi-finals,Thu,Home,W,3,1,es Valencia,2.3,2.6,57,58969,Laurent Koscielny,3-4-1-2,Clément Turpin,Match Report,Leg 1 of 2
2019-05-05,16:30 (23:30),Premier League,Matchweek 37,Sun,Home,D,1,1,Brighton,2.4,1.9,70,59965,Mesut Özil,4-3-1-2,Anthony Taylor,Match Report,
2019-05-09,21:00 (03:00),Europa Lg,Semi-finals,Thu,Away,W,4,2,es Valencia,0.7,2.5,44,44481,Laurent Koscielny,3-4-1-2,Danny Makkelie,Match Report,Leg 2 of 2; Arsenal won
2019-05-12,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,W,3,1,Burnley,2.7,1.7,60,21461,Nacho Monreal,4-2-3-1,Mike Dean,Match Report,
2019-05-29,23:00 (03:00),Europa Lg,Final,Wed,Away,L,1,4,eng Chelsea,1.4,1.9,50,51370,Laurent Koscielny,3-4-1-2,Gianluca Rocchi,Match Report,
