Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-11,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,L,0,2,Watford,0.3,1.2,47,20051,Bruno,4-4-1-1,Jonathan Moss,Match Report,
2018-08-19,16:00 (23:00),Premier League,Matchweek 2,Sun,Home,W,3,2,Manchester Utd,1.7,1.4,34,30592,Lewis Dunk,4-4-1-1,Kevin Friend,Match Report,
2018-08-25,17:30 (00:30),Premier League,Matchweek 3,Sat,Away,L,0,1,Liverpool,0.6,1.6,31,53294,Dale Stephens,4-5-1,Chris Kavanagh,Match Report,
2018-08-28,19:45 (02:45),EFL Cup,Second round,Tue,Home,L,0,1,Southampton,,,48,13651,Beram Kayal,4-4-1-1,Andre Marriner,Match Report,
2018-09-01,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Fulham,2.8,1.6,42,30526,Lewis Dunk,4-4-1-1,Lee Probert,Match Report,
2018-09-17,20:00 (03:00),Premier League,Matchweek 5,Mon,Away,D,2,2,Southampton,1.4,2.0,49,28811,Lewis Dunk,4-1-4-1,Anthony Taylor,Match Report,
2018-09-22,17:30 (00:30),Premier League,Matchweek 6,Sat,Home,L,1,2,Tottenham,0.8,1.9,30,30531,Lewis Dunk,4-1-4-1,Chris Kavanagh,Match Report,
2018-09-29,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Manchester City,0.2,2.7,21,54152,Lewis Dunk,4-1-4-1,Lee Mason,Match Report,
2018-10-05,20:00 (03:00),Premier League,Matchweek 8,Fri,Home,W,1,0,West Ham,1.2,1.4,36,30544,Bruno,4-4-1-1,Kevin Friend,Match Report,
2018-10-20,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,W,1,0,Newcastle Utd,0.8,1.8,33,50329,Bruno,4-4-1-1,Andre Marriner,Match Report,
2018-10-27,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,W,1,0,Wolves,0.9,1.4,40,30654,Bruno,4-4-1-1,Anthony Taylor,Match Report,
2018-11-03,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,1,3,Everton,0.5,2.0,39,38966,Bruno,4-4-1-1,David Coote,Match Report,
2018-11-10,12:30 (20:30),Premier League,Matchweek 12,Sat,Away,L,1,2,Cardiff City,0.5,2.1,40,29402,Lewis Dunk,4-4-1-1,Martin Atkinson,Match Report,
2018-11-24,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,D,1,1,Leicester City,1.0,1.2,54,30553,Bruno,4-4-1-1,Chris Kavanagh,Match Report,
2018-12-01,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,W,2,1,Huddersfield,1.2,0.6,67,22973,Bruno,4-3-3,Michael Oliver,Match Report,
2018-12-04,19:45 (03:45),Premier League,Matchweek 15,Tue,Home,W,3,1,Crystal Palace,1.3,1.7,32,29663,Lewis Dunk,4-3-3,Kevin Friend,Match Report,
2018-12-08,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,1,Burnley,1.0,1.4,62,18497,Bruno,4-3-3,Martin Atkinson,Match Report,
2018-12-16,13:30 (21:30),Premier League,Matchweek 17,Sun,Home,L,1,2,Chelsea,0.4,1.2,43,30645,Lewis Dunk,4-4-1-1,Stuart Attwell,Match Report,
2018-12-22,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,L,0,2,Bournemouth,0.8,0.8,43,10491,Lewis Dunk,4-1-4-1,Mike Dean,Match Report,
2018-12-26,17:15 (01:15),Premier League,Matchweek 19,Wed,Home,D,1,1,Arsenal,1.1,0.8,33,30608,Dale Stephens,4-5-1,Anthony Taylor,Match Report,
2018-12-29,15:00 (23:00),Premier League,Matchweek 20,Sat,Home,W,1,0,Everton,1.1,0.7,46,30597,Lewis Dunk,4-5-1,Andy Madley,Match Report,
2019-01-02,19:45 (03:45),Premier League,Matchweek 21,Wed,Away,D,2,2,West Ham,0.7,0.8,45,59870,Lewis Dunk,4-5-1,Chris Kavanagh,Match Report,
2019-01-05,12:30 (20:30),FA Cup,Third round,Sat,Away,W,3,1,Bournemouth,,,51,10522,Bruno,4-3-3,Michael Oliver,Match Report,
2019-01-12,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,L,0,1,Liverpool,0.4,2.0,30,30682,Lewis Dunk,4-5-1,Kevin Friend,Match Report,
2019-01-19,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,L,1,2,Manchester Utd,0.8,2.4,44,74532,Lewis Dunk,4-5-1,Paul Tierney,Match Report,
2019-01-26,15:00 (23:00),FA Cup,Fourth round,Sat,Home,D,0,0,West Brom,,,56,20001,Bruno,4-5-1,Lee Mason,Match Report,
2019-01-29,19:45 (03:45),Premier League,Matchweek 24,Tue,Away,L,2,4,Fulham,2.2,3.3,39,22008,Lewis Dunk,4-3-3,Lee Probert,Match Report,
2019-02-02,15:00 (23:00),Premier League,Matchweek 25,Sat,Home,D,0,0,Watford,1.6,0.3,55,30414,Lewis Dunk,4-3-3,Simon Hooper,Match Report,
2019-02-06,20:05 (04:05),FA Cup,Fourth round,Wed,Away,W,3,1,West Brom,,,52,8645,Bruno,4-4-1-1,Paul Tierney,Match Report,Required Extra Time
2019-02-09,17:30 (01:30),Premier League,Matchweek 26,Sat,Home,L,1,3,Burnley,1.1,2.1,68,29323,Lewis Dunk,4-3-3,Stuart Attwell,Match Report,
2019-02-16,12:30 (20:30),FA Cup,Fifth round,Sat,Home,W,2,1,Derby County,,,47,24562,Bruno,4-3-3,David Coote,Match Report,
2019-02-26,19:45 (03:45),Premier League,Matchweek 28,Tue,Away,L,1,2,Leicester City,1.2,1.8,51,30558,Lewis Dunk,4-3-3,Lee Probert,Match Report,
