HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,HUPLxM,HUPLxHM,HUnbStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,AUPLxM,AUPLxAM,AUnbStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Venue,Result
3,10,9.7,4.0,4.1,9.7,2.4,0.0,1.8,1.2,1.1,1.6,6.0,-5.0,1.6,1.2,40.0,30.0,0.0,80.0,60.0,5.0,13.7,3.9,5.6,12.3,1.9,0.0,1.4,1.2,0.7,1.7,2.0,-10.0,1.6,0.9,40.0,20.0,0.0,80.0,50.0,0.0,77,78,79,78.0,75,76,81,77.33,3.1,3.25,2.54,London Stadium,D
4,10,14.7,5.6,5.4,10.2,1.3,0.0,2.1,0.8,2.0,0.2,13.0,18.0,2.3,2.8,70.0,90.0,2.0,90.0,100.0,5.0,12.2,3.7,5.5,10.6,1.3,0.0,1.4,1.9,1.1,2.4,-5.0,-13.0,0.9,0.6,20.0,10.0,0.0,50.0,40.0,0.0,81,82,81,81.33,69,69,70,69.33,1.2,7.5,17.0,Stamford Bridge,D
7,6,9.7,3.8,5.5,12.4,1.5,0.0,1.7,0.8,1.7,0.6,9.0,11.0,2.1,2.1,60.0,60.0,0.0,90.0,90.0,6.0,14.9,4.6,5.6,10.1,1.3,0.1,1.6,1.5,1.3,1.3,1.0,0.0,1.6,1.4,40.0,40.0,0.0,80.0,60.0,1.0,75,82,80,79.0,75,77,76,76.0,1.44,4.5,9.0,Old Trafford,D
2,2,9.1,2.6,4.2,10.2,1.4,0.0,0.4,1.4,1.0,1.2,-10.0,-2.0,0.7,1.4,10.0,30.0,0.0,50.0,80.0,1.0,12.7,4.9,5.3,9.2,1.6,0.1,1.3,1.8,0.6,1.5,-5.0,-9.0,1.0,0.8,20.0,20.0,1.0,60.0,40.0,2.0,74,75,72,73.67,75,74,76,75.0,2.37,3.2,3.39,Falmer Stadium,D
7,3,13.0,3.0,5.9,9.5,0.8,0.0,1.1,1.4,1.0,1.0,-3.0,0.0,0.9,1.2,20.0,30.0,0.0,50.0,60.0,1.0,18.8,7.5,6.6,10.9,1.5,0.0,2.2,1.1,1.4,1.5,11.0,-1.0,2.1,1.3,70.0,40.0,0.0,70.0,50.0,0.0,79,78,78,78.33,81,82,85,82.67,4.0,3.75,1.95,St Mary's Stadium,D
4,8,14.2,4.1,5.2,11.3,2.1,0.0,1.1,1.3,0.9,0.9,-2.0,0.0,1.4,1.5,40.0,40.0,0.0,60.0,70.0,0.0,18.5,6.3,8.5,10.6,2.0,0.1,1.7,1.2,1.7,1.0,5.0,7.0,1.6,1.7,50.0,50.0,1.0,60.0,70.0,1.0,78,79,76,77.67,80,81,79,80.0,2.8,3.5,2.6,Anfield,D
4,3,14.6,3.8,5.6,12.2,2.1,0.1,1.3,1.6,1.7,1.2,-3.0,5.0,1.1,1.8,30.0,50.0,0.0,50.0,80.0,1.0,12.0,3.3,4.5,11.1,1.8,0.2,1.1,1.3,1.2,1.7,-2.0,-5.0,1.4,1.1,40.0,30.0,0.0,60.0,50.0,0.0,72,73,72,72.33,75,74,79,76.0,3.0,3.4,2.5,Loftus Road,D
6,4,12.8,4.4,4.9,13.4,1.6,0.0,1.0,1.2,1.3,0.9,-2.0,4.0,1.4,1.7,40.0,50.0,0.0,60.0,70.0,0.0,9.3,3.4,4.0,11.9,1.2,0.0,1.3,0.9,1.9,0.8,4.0,11.0,1.8,1.9,50.0,50.0,0.0,80.0,90.0,0.0,78,81,79,79.33,82,82,89,84.33,3.6,3.25,2.15,Molineux Stadium,D
8,8,10.2,3.3,4.5,10.8,1.4,0.1,1.2,1.0,0.7,2.1,2.0,-14.0,1.3,0.9,30.0,20.0,0.0,70.0,50.0,1.0,11.4,3.6,4.5,10.3,0.9,0.0,0.9,1.4,0.9,1.3,-5.0,-4.0,1.4,1.0,40.0,20.0,0.0,60.0,60.0,0.0,72,74,74,73.33,79,80,79,79.33,2.9,3.2,2.5,The Hawthorns,D
4,4,12.3,2.9,4.7,9.6,1.2,0.3,0.5,2.1,0.6,2.0,-16.0,-14.0,0.4,0.9,10.0,30.0,0.0,20.0,30.0,1.0,10.0,4.3,4.5,12.0,2.0,0.1,1.6,1.4,1.1,1.2,2.0,-1.0,1.7,1.2,50.0,30.0,0.0,70.0,60.0,0.0,75,75,74,74.67,73,73,71,72.33,1.75,3.75,5.25,St. James Park,D
