Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
M Atkinson,Sun,0.0,1,-2.299999999999999,-0.2000000000000001,1.4000000000000004,-0.200000000000001,0.5,0.0,-0.3,-0.7,0.5,0.1,-8.0,-8.0,-0.1,0.1999999999999999,-0.0999999999999999,-0.0999999999999999,-3.0,0.0,-0.9,-0.7999999999999998,-30.0,-30.0,0.0,-30.0,-20.0,0.0,1,0,-3,-0.6700000000000017,1.4,3.4,Molineux Stadium,D
M Clattenburg,Sat,0.0,-3,1.1999999999999993,1.5,-2.3,-2.1999999999999997,-0.8000000000000003,-0.1,0.0,0.1,-0.0999999999999999,-0.8,1.0,9.0,0.2999999999999999,0.2,0.1,-0.4,1.0,5.0,-0.2999999999999998,0.8999999999999999,-10.0,40.0,2.0,-10.0,10.0,2.0,0,-1,-3,-1.3400000000000034,-1.4500000000000002,3.5,Stamford Bridge,D
M Dean,Sat,0.0,0,-1.0,-0.1,-2.1,0.4000000000000003,-0.0999999999999998,0.1,-0.5,0.5,-0.1,-0.1,-4.0,6.0,-0.3,-0.3,0.3,-0.3999999999999999,0.0,7.0,-0.0999999999999999,0.3,0.0,20.0,0.0,-10.0,-10.0,-2.0,1,0,1,0.6700000000000017,-0.8700000000000001,3.4,Boleyn Ground,D
A Taylor,Thu,0.0,1,2.6,0.5,1.0999999999999996,1.0999999999999996,0.3,-0.1,0.1999999999999999,0.5,0.3,-0.5,-1.0,10.0,-0.0999999999999999,0.3,-0.1,0.0,-4.0,-1.0,-0.2999999999999998,0.7,-10.0,20.0,0.0,-10.0,30.0,1.0,-3,-1,-7,-3.6700000000000017,0.5,3.4,Loftus Road,D
M Oliver,Sat,0.0,0,4.199999999999999,1.9,4.200000000000001,-0.3000000000000007,0.9000000000000001,-0.1,0.1999999999999999,1.2000000000000002,0.0999999999999998,-0.1999999999999999,1.0,14.0,0.4999999999999999,0.0,0.7,0.0,5.0,7.0,0.4000000000000001,1.1,20.0,40.0,0.0,0.0,30.0,-4.0,2,1,9,4.0,-3.0,3.75,Emirates Stadium,D
M Atkinson,Sun,0.0,-2,0.2999999999999989,0.3999999999999994,1.0,1.5,-0.4000000000000001,0.1,-0.6000000000000001,0.8,0.1,-1.2,-7.0,20.0,-0.4000000000000001,-0.3,0.4,-0.3999999999999999,-1.0,8.0,-0.1999999999999999,2.0,0.0,70.0,0.0,-20.0,60.0,0.0,-3,-3,-9,-5.0,0.1,3.4,Goodison Park,D
R Madley,Sat,0.0,1,-0.2999999999999989,0.0,2.4000000000000004,1.8000000000000007,-0.3,0.1,0.3,0.7999999999999998,0.0,0.0,3.0,8.0,0.5,-0.3999999999999999,0.8,-0.5,9.0,13.0,0.0,0.3999999999999999,-10.0,10.0,-3.0,20.0,20.0,9.0,6,4,6,5.329999999999998,-3.5,3.8,Stamford Bridge,D
L Probert,Tue,0.0,0,-1.6999999999999993,-2.2,0.6000000000000005,0.7999999999999989,-0.4000000000000001,-0.1,-1.3,0.0,-0.3999999999999999,0.5,-9.0,-5.0,-0.4000000000000001,0.0,-0.1999999999999999,0.0999999999999999,-4.0,-3.0,-0.5,-0.4000000000000001,-20.0,-10.0,-4.0,-10.0,-20.0,-2.0,-8,-10,-8,-8.659999999999997,3.3,3.75,St Mary's Stadium,D
C Pawson,Sun,0.0,2,-8.700000000000001,-3.4,-2.8,-3.5,-0.7,0.1,-1.3,-1.4,1.9,1.7999999999999998,-32.0,-32.0,-0.7,1.3,-0.1999999999999999,0.5,-20.0,-7.0,-1.4,-1.7999999999999998,-40.0,-60.0,0.0,-60.0,-60.0,-3.0,-8,-8,-11,-9.0,8.7,5.5,The Hawthorns,D
P Tierney,Sat,0.0,-1,2.1999999999999997,4.0,0.3999999999999994,-1.1999999999999993,0.7,-0.1,1.2999999999999998,1.2000000000000002,-0.0999999999999998,-0.3,14.0,15.0,0.9,0.0,0.7000000000000001,-0.4,9.0,11.0,0.9000000000000001,1.3,30.0,40.0,5.0,30.0,50.0,5.0,2,7,7,5.340000000000003,-10.7,5.75,Old Trafford,ND
M Dean,Sun,-1.0,-6,1.0,1.6,0.4000000000000003,-2.9000000000000004,-0.1999999999999999,-0.1,1.1,0.9,0.3,-0.3999999999999999,8.0,13.0,0.8999999999999999,0.0999999999999999,0.8,-0.3,8.0,11.0,0.4000000000000001,1.0,10.0,30.0,0.0,20.0,40.0,6.0,8,6,5,6.329999999999998,-4.88,4.0,Stamford Bridge,D
