Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-12-02,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,W,2,1,Swansea City,1.1,0.4,45,28261,Ryan Shawcross,4-4-2,Craig Pawson,Match Report,
2017-12-09,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,1,5,Tottenham,0.5,3.6,29,62202,Ryan Shawcross,3-4-3,Roger East,Match Report,
2017-12-12,19:45 (03:45),Premier League,Matchweek 17,Tue,Away,L,0,1,Burnley,1.1,0.4,49,19909,Ryan Shawcross,4-4-2,Mike Jones,Match Report,
2017-12-16,16:00 (00:00),Premier League,Matchweek 18,Sat,Home,L,0,3,West Ham,1.1,3.1,54,29265,Ryan Shawcross,4-4-2,Graham Scott,Match Report,
2017-12-23,15:00 (23:00),Premier League,Matchweek 19,Sat,Home,W,3,1,West Brom,1.4,2.0,43,29057,Ryan Shawcross,4-2-3-1,Niel Swarbrick,Match Report,
2017-12-26,15:00 (23:00),Premier League,Matchweek 20,Tue,Away,D,1,1,Huddersfield,1.6,1.8,41,24047,Ryan Shawcross,4-2-3-1,Anthony Taylor,Match Report,
2017-12-30,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,L,0,5,Chelsea,0.2,2.6,41,41433,Darren Fletcher,4-2-3-1,Kevin Friend,Match Report,
2018-01-01,15:00 (23:00),Premier League,Matchweek 22,Mon,Home,L,0,1,Newcastle Utd,1.5,1.7,59,28471,Joe Allen,4-3-3,Chris Kavanagh,Match Report,
2018-01-06,15:00 (23:00),FA Cup,Third round,Sat,Away,L,1,2,Coventry City,,,70,14199,Joe Allen,3-5-2,Martin Atkinson,Match Report,
2018-01-15,20:00 (04:00),Premier League,Matchweek 23,Mon,Away,L,0,3,Manchester Utd,1.3,1.5,40,74726,Darren Fletcher,4-2-3-1,Anthony Taylor,Match Report,
2018-01-20,15:00 (23:00),Premier League,Matchweek 24,Sat,Home,W,2,0,Huddersfield,1.0,0.3,49,29785,Ryan Shawcross,4-2-3-1,Michael Oliver,Match Report,
