Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-11,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,W,2,0,Fulham,1.0,0.7,35,24821,Luka Milivojević,4-4-2,Mike Dean,Match Report,
2018-08-20,20:00 (03:00),Premier League,Matchweek 2,Mon,Home,L,0,2,Liverpool,0.4,2.6,37,25750,Luka Milivojević,4-4-2,Michael Oliver,Match Report,
2018-08-26,13:30 (20:30),Premier League,Matchweek 3,Sun,Away,L,1,2,Watford,1.0,1.2,57,20014,Luka Milivojević,4-4-2,Anthony Taylor,Match Report,
2018-08-28,19:30 (02:30),EFL Cup,Second round,Tue,Away,W,1,0,Swansea City,,,50,9122,Jason Puncheon,4-4-1-1,John Brooks,Match Report,
2018-09-01,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,L,0,2,Southampton,2.4,2.7,50,25495,Luka Milivojević,4-4-2,Martin Atkinson,Match Report,
2018-09-15,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,W,1,0,Huddersfield,0.7,0.9,41,23696,Luka Milivojević,4-3-3,Lee Mason,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,D,0,0,Newcastle Utd,0.9,0.2,61,25679,Luka Milivojević,4-3-3,Andre Marriner,Match Report,
2018-09-25,20:00 (03:00),EFL Cup,Third round,Tue,Away,W,3,0,West Brom,,,55,10818,Jason Puncheon,4-4-2,Peter Bankes,Match Report,
2018-10-01,20:00 (03:00),Premier League,Matchweek 7,Mon,Away,L,1,2,Bournemouth,0.4,1.8,55,10199,Luka Milivojević,4-3-3,Mike Dean,Match Report,
2018-10-06,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,L,0,1,Wolves,1.4,0.7,67,25715,Luka Milivojević,4-4-2,Michael Oliver,Match Report,
2018-10-21,16:00 (23:00),Premier League,Matchweek 9,Sun,Away,L,0,2,Everton,1.3,1.8,41,38668,Luka Milivojević,4-4-2,Anthony Taylor,Match Report,
2018-10-28,13:30 (21:30),Premier League,Matchweek 10,Sun,Home,D,2,2,Arsenal,2.3,0.9,43,25718,Luka Milivojević,4-4-2,Martin Atkinson,Match Report,
2018-10-31,20:00 (04:00),EFL Cup,Fourth round,Wed,Away,L,0,1,Middlesbrough,,,57,11850,Jason Puncheon,4-4-2,Paul Tierney,Match Report,
2018-11-04,16:00 (00:00),Premier League,Matchweek 11,Sun,Away,L,1,3,Chelsea,0.4,1.7,27,40407,Luka Milivojević,4-4-2,Michael Oliver,Match Report,
2018-11-10,17:30 (01:30),Premier League,Matchweek 12,Sat,Home,L,0,1,Tottenham,0.8,1.2,36,25685,Luka Milivojević,4-4-2,Jonathan Moss,Match Report,
2018-11-24,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,0,0,Manchester Utd,1.2,0.9,41,74516,Luka Milivojević,4-4-2,Lee Mason,Match Report,
2018-12-01,15:00 (23:00),Premier League,Matchweek 14,Sat,Home,W,2,0,Burnley,1.6,0.7,58,25098,Luka Milivojević,4-4-2,Lee Probert,Match Report,
2018-12-04,19:45 (03:45),Premier League,Matchweek 15,Tue,Away,L,1,3,Brighton,1.7,1.3,68,29663,Luka Milivojević,4-4-2,Kevin Friend,Match Report,
2018-12-08,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,2,3,West Ham,0.7,1.2,51,56995,Luka Milivojević,4-4-2,Anthony Taylor,Match Report,
