Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
A Taylor,Sun,0.0,-1,-5.600000000000001,0.3999999999999994,-3.4,2.0,0.8,0.0,2.0,-0.2000000000000001,11.0,1.2000000000000002,-0.6000000000000001,9.0,1.7999999999999998,60.0,2.0,60.0,2.0,3,0,9,4.0,1,0,-0.3799999999999999,3.75,Tottenham Hotspur Stadium,L
A Marriner,Wed,0.0,-1,2.0,0.2000000000000001,1.2000000000000002,0.1999999999999993,-1.2,0.2,-1.0,0.6000000000000001,-8.0,-0.3999999999999999,0.6,-5.0,-1.4,-60.0,0.0,-20.0,1.0,-3,-2,0,-1.6700000000000017,2,0,0.8799999999999999,3.4,Craven Cottage,D
L Mason,Sat,1.0,1,-3.8,-2.0,-1.6,3.4000000000000004,0.7999999999999999,0.0,-0.7999999999999999,-0.6000000000000001,-1.0,-0.1999999999999999,0.1999999999999999,-2.0,0.1999999999999999,0.0,0.0,20.0,0.0,1,-1,3,1.0,-6,0,0.4299999999999997,3.6,St Mary's Stadium,L
H Webb,Sat,0.0,0,4.399999999999999,1.2000000000000002,0.2000000000000001,3.0,0.2000000000000001,0.0,-0.2,0.0,-1.0,-0.2,0.3999999999999999,-3.0,-1.0,-40.0,-1.0,-20.0,-1.0,2,2,3,2.3400000000000034,1,0,-2.05,3.5,Loftus Road,D
G Scott,Sat,0.0,-1,3.799999999999999,-0.3999999999999999,-0.1999999999999993,-6.199999999999999,-1.2000000000000002,0.0,0.3999999999999999,-0.8,6.0,0.0,-0.8,4.0,0.5999999999999999,20.0,0.0,20.0,0.0,5,2,4,3.6700000000000017,-12,-1,-3.85,3.8,Goodison Park,L
K Friend,Tue,-2.0,1,5.6,1.0000000000000004,0.7999999999999998,1.200000000000001,-1.0,0.0,0.1999999999999999,0.0,1.0,0.0,-0.1999999999999999,1.0,0.4000000000000001,20.0,0.0,0.0,4.0,-5,-10,-7,-7.340000000000003,12,0,3.03,3.75,Falmer Stadium,D
K Friend,Sat,0.0,1,1.1999999999999993,-0.4000000000000003,-0.7999999999999998,1.8000000000000007,0.1999999999999999,-0.2,-1.8,0.4000000000000001,-11.0,-1.2,0.3999999999999999,-8.0,-1.6,-60.0,0.0,-40.0,0.0,-8,-8,-8,-8.0,5,0,2.7,3.6,Swansea.com Stadium,D
L Mason,Sat,0.0,-4,-0.6000000000000014,0.7999999999999998,-0.7999999999999998,-5.200000000000001,-0.6000000000000001,0.0,0.0,1.2000000000000002,-6.0,0.1999999999999999,0.8,-3.0,-0.6000000000000001,-20.0,1.0,-20.0,-2.0,3,2,8,4.340000000000003,-7,0,-3.9,4.0,King Power Stadium,L
P Tierney,Wed,0.0,-1,7.799999999999999,2.6,6.0,-3.6,-1.4,0.0,2.0,-1.0,15.0,0.7999999999999999,-0.6,7.0,1.6,60.0,0.0,40.0,7.0,1,5,5,3.6700000000000017,-6,0,-13.78,7.0,Anfield,D
L Mason,Sat,0.0,-3,-2.6,2.0,-3.8,-4.6,-1.4,0.0,0.6000000000000001,0.1999999999999999,2.0,0.5999999999999999,0.2,2.0,0.1999999999999999,20.0,1.0,-20.0,0.0,-1,-6,-1,-2.6700000000000017,6,0,-0.2000000000000001,3.6,King Power Stadium,D
