Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-10-26,19:45 (02:45),EFL Cup,Fourth round,Tue,Away,D,1 (3),1 (4),Chelsea,,,37,39766,Stuart Armstrong,3-4-3,Kevin Friend,Match Report,Chelsea won on penalty kicks following extra time
2021-10-30,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,W,1,0,Watford,2.1,1.0,60,20869,James Ward-Prowse,4-4-2,Peter Bankes,Match Report,
2021-11-05,20:00 (04:00),Premier League,Matchweek 11,Fri,Home,W,1,0,Aston Villa,0.8,0.9,56,30178,James Ward-Prowse,4-4-2,Andy Madley,Match Report,
2021-11-20,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,1,2,Norwich City,1.3,0.5,62,26885,James Ward-Prowse,4-4-2,Martin Atkinson,Match Report,
2021-11-27,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,L,0,4,Liverpool,1.0,3.1,36,53040,James Ward-Prowse,3-4-3,Andre Marriner,Match Report,
2021-12-01,19:30 (03:30),Premier League,Matchweek 14,Wed,Home,D,2,2,Leicester City,1.7,2.0,45,26951,James Ward-Prowse,4-4-2,Robert Jones,Match Report,
2021-12-04,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,D,1,1,Brighton,1.7,1.4,44,28706,James Ward-Prowse,4-4-2,Anthony Taylor,Match Report,
2021-12-11,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,3,Arsenal,0.8,1.9,39,59653,James Ward-Prowse,4-4-2,Jarred Gillett,Match Report,
2021-12-15,19:30 (03:30),Premier League,Matchweek 17,Wed,Away,D,2,2,Crystal Palace,0.9,1.2,41,22861,James Ward-Prowse,4-4-2,Simon Hooper,Match Report,
2021-12-26,15:00 (23:00),Premier League,Matchweek 19,Sun,Away,W,3,2,West Ham,1.3,1.9,44,41027,James Ward-Prowse,4-1-4-1,Kevin Friend,Match Report,
2021-12-28,15:00 (23:00),Premier League,Matchweek 20,Tue,Home,D,1,1,Tottenham,0.5,2.5,35,31304,James Ward-Prowse,5-3-2,Anthony Taylor,Match Report,
2022-01-08,17:30 (01:30),FA Cup,Third round proper,Sat,Away,W,3,2,Swansea City,,,37,,James Ward-Prowse,4-4-2,Simon Hooper,Match Report,Required Extra Time
2022-01-11,19:45 (03:45),Premier League,Matchweek 18,Tue,Home,W,4,1,Brentford,1.5,0.6,48,27383,James Ward-Prowse,3-5-2,Stuart Attwell,Match Report,
2022-01-15,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,L,1,3,Wolves,0.8,2.5,57,30057,James Ward-Prowse,3-5-2,Michael Salisbury,Match Report,
