Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Result,HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,HUPLxM,HUPLxHM,HUnbStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,AUPLxM,AUPLxAM,AUnbStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,Venue
2012-08-18,arsenal,sunderland,0,0,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5,D,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,82,84,82.0,74,75,78,75.67,Emirates Stadium
2012-09-01,swansea,sunderland,2,2,14,4,10,3,11,7,8,0,1,1,1,0,2.2,3.3,3.4,D,7,10,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,1.0,73,73,73,73.0,74,75,77,75.33,Swansea.com Stadium
2012-09-22,west-ham,sunderland,1,1,20,4,11,2,12,10,10,1,2,1,0,0,2.1,3.3,3.6,D,7,7,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,3.0,71,73,75,73.0,74,75,77,75.33,Boleyn Ground
2012-10-06,city,sunderland,3,0,26,8,16,6,10,10,15,4,0,3,0,0,1.29,5.5,11.0,W,3,7,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,1.0,,,5.0,81,83,85,83.0,74,75,77,75.33,Etihad Stadium
2012-10-27,stoke,sunderland,0,0,11,6,6,3,12,6,7,3,2,2,0,0,1.95,3.3,4.2,D,7,6,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,75,76,75,75.33,74,75,77,75.33,Bet365 Stadium
2012-11-10,everton,sunderland,2,1,16,6,10,4,14,14,6,2,1,3,0,0,1.44,4.2,8.0,W,7,7,18.0,9.9,6.2,11.6,2.0,0.1,1.9,1.3,,,6.0,,1.7,,40.0,,0.0,90.0,,7.0,,,,,,,,,,,,,,,,,0.0,,,0.0,77,75,76,76.0,74,75,77,75.33,Goodison Park
2012-11-18,fulham,sunderland,1,3,18,12,13,9,9,13,4,4,1,3,1,0,1.67,3.75,5.25,L,8,8,13.4,8.1,6.1,9.3,1.1,0.0,1.9,1.9,,,0.0,,1.3,,30.0,,0.0,70.0,,5.0,7.5,3.7,3.4,11.7,1.5,0.0,0.7,1.1,,,-4.0,,0.9,,10.0,,0.0,70.0,,0.0,75,77,78,76.67,74,75,77,75.33,Craven Cottage
2012-12-02,norwich,sunderland,2,1,7,16,5,6,11,16,2,6,0,2,0,0,2.1,3.3,3.6,W,4,5,9.5,4.8,4.3,10.3,1.2,0.0,0.9,1.3,,,-4.0,,1.3,,30.0,,0.0,70.0,,7.0,10.6,5.7,4.8,11.9,1.9,0.0,0.9,1.3,,,-4.0,,1.0,,20.0,,0.0,60.0,,1.0,73,72,72,72.33,74,75,77,75.33,Carrow Road
2012-12-15,united,sunderland,3,1,15,13,6,10,13,10,9,9,0,0,0,0,1.2,6.5,15.0,W,6,4,13.5,7.8,5.6,9.3,2.0,0.0,2.6,1.4,,,12.0,,2.7,,90.0,,4.0,90.0,,4.0,12.9,7.0,5.8,11.4,1.8,0.0,1.2,1.4,,,-2.0,,0.9,,20.0,,1.0,50.0,,1.0,83,82,86,83.67,74,75,77,75.33,Old Trafford
2012-12-22,southampton,sunderland,0,1,13,10,7,6,11,15,8,5,0,3,0,0,2.0,3.5,3.75,L,10,7,12.7,6.6,6.0,11.3,1.1,0.0,1.2,1.4,,,-2.0,,1.2,,30.0,,1.0,60.0,,1.0,12.6,7.4,5.9,11.0,1.8,0.0,1.2,1.6,,,-4.0,,0.8,,20.0,,0.0,40.0,,0.0,72,70,73,71.67,74,75,77,75.33,St Mary's Stadium
2013-01-02,liverpool,sunderland,3,0,27,6,16,5,8,5,9,5,0,1,0,0,1.4,4.5,8.5,W,3,4,18.2,10.4,8.2,9.6,1.3,0.0,1.8,1.1,1.4,1.0,7.0,4.0,1.7,1.5,50.0,40.0,1.0,70.0,70.0,1.0,13.4,8.4,5.9,11.8,1.6,0.0,1.4,1.5,1.0,1.4,-1.0,-4.0,1.3,1.0,40.0,20.0,0.0,50.0,60.0,0.0,79,80,79,79.33,74,75,77,75.33,Anfield
2013-01-19,wigan,sunderland,2,3,20,10,11,5,10,16,9,0,3,2,0,0,2.15,3.4,3.8,L,7,7,11.7,6.0,5.1,11.4,1.5,0.1,1.1,1.9,1.3,2.0,-8.0,-7.0,0.8,0.9,20.0,20.0,0.0,40.0,50.0,1.0,12.7,8.2,5.7,10.8,1.2,0.0,1.2,1.3,1.0,1.7,-1.0,-7.0,1.3,0.9,40.0,20.0,1.0,50.0,50.0,1.0,74,70,72,72.0,74,75,77,75.33,DW Stadium
2013-02-02,reading,sunderland,2,1,9,10,5,6,12,15,6,8,1,3,0,0,2.5,3.4,3.0,W,3,4,6.2,3.2,3.9,10.8,1.5,0.0,1.1,1.8,1.8,1.9,-7.0,-1.0,1.1,1.4,30.0,30.0,0.0,50.0,80.0,3.0,11.2,7.5,4.9,10.9,1.2,0.0,1.4,1.3,1.1,1.7,1.0,-6.0,1.6,1.1,50.0,30.0,0.0,60.0,50.0,3.0,70,70,73,71.0,74,75,77,75.33,Madejski Stadium
2013-02-23,west-brom,sunderland,2,1,17,10,7,6,13,9,5,5,2,1,0,0,2.05,3.5,4.0,W,10,10,12.4,6.8,6.0,11.0,1.5,0.1,1.2,1.4,1.3,1.2,-2.0,1.0,1.1,1.4,30.0,40.0,1.0,50.0,60.0,1.0,10.4,6.7,5.1,11.1,1.5,0.0,1.1,1.3,1.1,1.8,-2.0,-7.0,1.3,1.0,40.0,30.0,0.0,50.0,40.0,0.0,71,75,74,73.33,74,75,77,75.33,The Hawthorns
2013-03-09,qpr,sunderland,3,1,15,7,8,3,4,19,4,5,0,2,0,0,2.25,3.4,3.5,W,7,7,10.4,5.3,4.0,9.7,1.5,0.0,0.6,1.3,0.6,1.3,-7.0,-7.0,1.0,0.8,20.0,10.0,1.0,60.0,60.0,1.0,10.3,6.3,4.9,10.4,1.4,0.0,1.2,1.4,1.2,1.7,-2.0,-5.0,1.1,1.0,30.0,30.0,0.0,50.0,40.0,1.0,74,74,79,75.67,74,75,77,75.33,Loftus Road
2013-04-07,chelsea,sunderland,2,1,14,7,7,3,9,15,8,5,0,2,0,0,1.36,5.0,11.0,W,3,8,15.4,9.3,6.1,9.1,1.2,0.0,2.0,1.3,2.0,0.6,7.0,14.0,1.7,1.9,50.0,50.0,0.0,70.0,90.0,0.0,10.8,6.1,5.1,11.7,1.7,0.0,1.2,1.4,1.3,2.0,-2.0,-7.0,0.9,0.9,20.0,30.0,0.0,50.0,30.0,0.0,81,81,81,81.0,74,75,77,75.33,Stamford Bridge
2013-04-14,newcastle,sunderland,0,3,15,8,9,7,14,7,10,9,3,2,0,0,1.95,3.5,4.5,L,3,7,12.6,7.0,6.3,11.2,1.6,0.0,1.5,1.7,1.8,1.4,-2.0,4.0,1.5,1.8,50.0,60.0,1.0,50.0,60.0,1.0,9.7,5.0,5.2,12.2,1.9,0.0,1.0,1.6,1.3,2.0,-6.0,-7.0,0.6,0.9,10.0,30.0,0.0,40.0,30.0,0.0,76,77,82,78.33,74,75,77,75.33,St. James Park
2013-04-29,aston-villa,sunderland,6,1,18,7,15,4,10,15,4,4,0,3,0,1,2.3,3.4,3.4,W,7,9,10.2,5.4,4.5,11.4,2.0,0.0,1.6,1.7,0.8,1.7,-1.0,-9.0,1.4,0.8,40.0,20.0,0.0,60.0,40.0,0.0,9.9,5.4,6.1,10.8,1.9,0.0,1.1,1.4,1.3,1.9,-3.0,-6.0,0.8,0.9,20.0,30.0,2.0,40.0,30.0,2.0,72,72,76,73.33,74,75,77,75.33,Villa Park
2013-05-19,tottenham,sunderland,1,0,23,6,19,4,6,12,14,1,1,3,0,1,1.29,6.0,12.0,W,7,7,13.4,7.7,5.0,10.9,1.8,0.0,1.8,1.4,1.5,0.8,4.0,7.0,1.8,2.1,50.0,60.0,1.0,80.0,90.0,7.0,9.3,5.1,4.9,10.8,1.7,0.2,1.2,1.7,1.3,2.3,-5.0,-10.0,1.0,0.9,20.0,30.0,0.0,60.0,30.0,2.0,79,80,81,80.0,74,75,77,75.33,White Hart Lane
2013-08-24,southampton,sunderland,1,1,17,8,6,3,12,13,5,2,2,2,0,0,1.73,3.8,5.5,D,7,7,12.5,6.9,6.0,11.6,0.9,0.2,1.1,0.9,1.2,1.2,2.0,0.0,1.6,1.3,40.0,30.0,1.0,80.0,70.0,3.0,10.0,4.9,4.4,10.6,1.7,0.3,0.9,1.4,1.2,2.1,-5.0,-9.0,0.9,0.9,20.0,30.0,0.0,50.0,30.0,0.0,72,70,73,71.67,74,75,77,75.33,St Mary's Stadium
2013-08-31,palace,sunderland,3,1,17,10,6,2,6,6,6,6,1,0,0,1,2.6,3.3,3.0,W,7,7,,,,,,,,,,,,,,,,,0.0,,,0.0,9.2,4.4,4.1,10.8,1.8,0.3,0.9,1.4,1.2,2.2,-5.0,-10.0,0.9,0.7,20.0,20.0,0.0,50.0,30.0,1.0,68,70,70,69.33,72,75,76,74.33,Selhurst Park
2013-09-21,west-brom,sunderland,3,0,13,7,4,0,9,10,5,6,0,2,0,0,2.05,3.4,4.2,W,7,7,11.9,5.6,5.3,10.6,1.8,0.1,1.2,1.8,1.5,1.9,-6.0,-4.0,0.7,0.9,10.0,20.0,0.0,50.0,50.0,1.0,10.3,4.1,4.5,10.0,1.4,0.4,1.0,1.7,1.3,2.2,-7.0,-9.0,0.9,0.7,20.0,20.0,0.0,50.0,30.0,0.0,71,74,74,73.0,74,73,75,74.0,The Hawthorns
2013-10-19,swansea,sunderland,4,0,14,6,6,1,12,13,7,2,1,2,0,0,1.62,4.0,6.5,W,10,10,12.9,5.9,4.8,10.2,2.0,0.0,1.2,1.8,1.0,1.6,-6.0,-6.0,1.0,0.9,30.0,20.0,0.0,40.0,50.0,0.0,11.6,3.3,4.9,10.5,1.4,0.3,0.7,1.9,1.0,2.3,-12.0,-13.0,0.3,0.4,0.0,10.0,0.0,30.0,20.0,0.0,73,73,74,73.33,74,73,75,74.0,Swansea.com Stadium
2013-11-02,hull,sunderland,1,0,25,9,2,1,17,11,4,2,2,0,0,2,2.15,3.4,3.8,W,6,6,,,,,,,,,,,,,,,,,0.0,,,0.0,11.1,2.6,4.8,11.6,1.5,0.2,0.7,2.2,0.9,2.5,-15.0,-16.0,0.4,0.4,10.0,10.0,1.0,20.0,20.0,1.0,68,69,68,68.33,74,73,75,74.0,Hull City Stadium
2013-11-23,stoke,sunderland,2,0,17,11,5,3,11,5,3,7,2,1,0,1,2.15,3.3,3.9,W,10,10,10.7,3.4,4.8,13.8,2.4,0.0,1.0,1.3,0.6,1.0,-3.0,-4.0,1.0,1.0,20.0,20.0,0.0,60.0,60.0,2.0,9.9,2.2,4.3,10.7,1.2,0.3,0.8,2.1,0.8,2.4,-13.0,-16.0,0.7,0.4,20.0,10.0,1.0,30.0,20.0,1.0,75,74,74,74.33,74,73,75,74.0,Bet365 Stadium
2013-11-30,aston-villa,sunderland,0,0,13,7,4,1,14,12,7,6,2,1,0,0,2.0,3.4,4.33,D,5,7,13.8,3.6,4.5,11.8,1.4,0.0,0.9,1.1,1.5,1.5,-2.0,0.0,1.2,1.0,30.0,30.0,0.0,60.0,40.0,3.0,10.2,2.2,4.8,9.9,1.1,0.4,0.7,2.2,0.7,2.3,-15.0,-16.0,0.6,0.4,20.0,10.0,0.0,20.0,20.0,0.0,71,72,74,72.33,74,73,75,74.0,Villa Park
2013-12-14,west-ham,sunderland,0,0,11,19,2,6,11,5,2,9,1,0,0,0,1.95,3.6,4.33,D,7,7,13.9,4.0,5.3,10.5,1.5,0.1,0.9,1.5,1.4,1.2,-6.0,2.0,0.8,1.4,20.0,40.0,0.0,40.0,60.0,0.0,9.8,2.6,4.6,11.2,1.5,0.3,0.9,1.9,0.6,2.1,-10.0,-15.0,0.7,0.5,20.0,10.0,0.0,30.0,30.0,0.0,72,74,75,73.67,74,73,75,74.0,Boleyn Ground
2013-12-26,everton,sunderland,0,1,26,13,9,6,11,7,11,2,1,0,1,0,1.36,5.25,9.5,L,4,5,15.5,5.8,6.6,10.2,1.8,0.0,1.9,0.7,2.0,0.7,12.0,13.0,2.2,2.4,60.0,70.0,2.0,100.0,100.0,10.0,10.6,2.9,4.7,10.7,1.3,0.4,0.7,1.4,0.3,2.1,-7.0,-18.0,0.9,0.3,20.0,0.0,0.0,50.0,30.0,2.0,77,76,74,75.67,74,73,75,74.0,Goodison Park
2013-12-28,cardiff,sunderland,2,2,16,21,7,9,14,10,6,6,3,2,0,0,2.38,3.25,3.4,D,2,2,10.1,2.8,4.3,10.9,1.2,0.0,0.5,1.5,,,-10.0,,0.9,,20.0,,0.0,50.0,,0.0,11.3,3.4,4.7,10.1,1.1,0.4,0.8,1.0,0.3,1.5,-2.0,-12.0,1.2,0.6,30.0,10.0,1.0,60.0,40.0,3.0,68,70,72,70.0,74,73,75,74.0,Cardiff City Stadium
2014-01-11,fulham,sunderland,1,4,17,10,5,6,15,13,10,6,3,3,0,0,2.2,3.3,3.75,L,10,10,13.9,4.8,5.0,8.6,1.3,0.0,1.1,2.7,1.3,1.8,-16.0,-5.0,0.9,1.0,30.0,30.0,1.0,30.0,40.0,1.0,13.4,3.9,5.6,9.5,1.6,0.2,0.8,1.1,0.5,1.6,-3.0,-11.0,1.0,0.7,20.0,10.0,0.0,60.0,50.0,0.0,75,75,78,76.0,74,73,75,74.0,Craven Cottage
2014-02-01,newcastle,sunderland,0,3,28,16,10,5,18,13,7,3,2,2,0,0,1.95,3.5,4.33,L,4,3,15.3,4.8,5.4,11.6,1.3,0.2,1.3,1.0,1.7,1.2,3.0,5.0,1.4,1.7,40.0,50.0,0.0,60.0,70.0,2.0,14.7,5.0,5.5,10.9,2.1,0.1,1.4,1.2,0.8,1.6,2.0,-8.0,1.3,0.9,30.0,20.0,1.0,70.0,50.0,3.0,77,77,81,78.33,74,73,75,74.0,St. James Park
2014-02-22,arsenal,sunderland,4,1,12,7,9,3,10,11,7,3,0,1,0,0,1.33,5.5,11.0,W,3,10,15.1,5.4,6.2,7.8,1.4,0.1,1.5,0.9,1.7,0.2,6.0,15.0,2.1,2.4,60.0,70.0,0.0,90.0,100.0,1.0,14.7,5.1,5.0,10.5,1.8,0.2,1.3,0.8,1.0,1.3,5.0,-3.0,1.6,1.2,40.0,30.0,0.0,80.0,60.0,0.0,80,79,80,79.67,74,73,75,74.0,Emirates Stadium
2014-03-22,norwich,sunderland,2,0,14,10,8,2,16,20,8,5,2,4,0,1,2.2,3.3,3.75,W,7,7,13.2,3.8,5.6,11.1,1.9,0.1,0.7,1.5,0.9,0.6,-8.0,3.0,0.9,1.6,20.0,40.0,0.0,50.0,80.0,0.0,13.6,4.6,4.4,11.4,2.1,0.1,1.4,1.2,1.1,1.4,2.0,-3.0,1.5,1.2,40.0,30.0,0.0,70.0,60.0,1.0,73,73,72,72.67,74,73,75,74.0,Carrow Road
2014-03-26,liverpool,sunderland,2,1,21,12,7,4,5,15,3,4,0,2,0,0,1.17,9.0,19.0,W,4,4,17.1,7.7,4.3,10.9,1.8,0.0,3.6,1.5,3.7,1.0,21.0,27.0,2.6,2.8,80.0,90.0,6.0,100.0,100.0,11.0,13.3,4.2,4.7,12.7,2.5,0.2,1.3,1.4,1.1,1.2,-1.0,-1.0,1.2,1.2,30.0,30.0,0.0,60.0,60.0,0.0,79,80,76,78.33,74,73,75,74.0,Anfield
2014-04-07,tottenham,sunderland,5,1,29,8,11,4,12,8,8,2,0,2,0,0,1.57,4.2,6.5,W,8,7,12.3,3.7,5.8,12.0,1.8,0.2,1.1,1.8,1.4,1.6,-7.0,-2.0,1.3,1.7,40.0,50.0,0.0,50.0,70.0,0.0,13.3,4.3,4.3,13.5,2.3,0.2,1.3,1.5,1.2,1.3,-2.0,-1.0,1.1,1.2,30.0,30.0,0.0,50.0,60.0,0.0,79,78,82,79.67,74,73,75,74.0,White Hart Lane
2014-04-16,city,sunderland,2,2,16,11,4,3,14,10,3,6,1,2,0,0,1.17,9.0,17.0,D,3,4,16.9,5.8,8.2,10.2,2.5,0.1,2.3,0.7,3.2,0.8,16.0,24.0,2.0,2.7,60.0,90.0,0.0,80.0,90.0,0.0,14.5,4.2,4.1,13.9,2.3,0.2,0.8,1.8,1.3,1.6,-10.0,-3.0,0.7,1.2,20.0,30.0,0.0,30.0,60.0,0.0,80,83,85,82.67,74,73,75,74.0,Etihad Stadium
2014-04-19,chelsea,sunderland,1,2,31,7,15,3,11,14,10,4,1,2,0,0,1.18,7.0,13.0,L,6,3,18.8,5.8,7.5,10.6,1.1,0.2,2.2,0.4,2.5,0.3,18.0,22.0,2.2,2.8,70.0,90.0,2.0,80.0,100.0,2.0,14.0,3.9,4.5,13.3,2.3,0.2,0.9,2.0,1.5,1.8,-11.0,-3.0,0.5,1.2,10.0,30.0,0.0,30.0,60.0,1.0,81,80,82,81.0,74,73,75,74.0,Stamford Bridge
2014-05-03,united,sunderland,0,1,17,8,2,1,11,12,8,0,2,1,0,0,1.36,5.75,8.5,L,7,6,12.4,4.7,4.4,10.4,1.5,0.1,1.9,0.9,1.8,1.3,10.0,5.0,1.9,1.6,60.0,50.0,1.0,70.0,60.0,1.0,14.5,4.1,5.5,13.2,2.7,0.1,1.2,1.9,1.7,1.9,-7.0,-2.0,0.8,1.4,20.0,40.0,2.0,40.0,60.0,3.0,82,81,86,83.0,74,73,75,74.0,Old Trafford
2014-08-16,west-brom,sunderland,2,2,10,7,5,2,18,9,6,3,3,1,0,0,2.25,3.4,3.5,D,10,10,13.0,4.1,4.5,10.3,1.1,0.0,1.2,1.7,1.3,1.5,-5.0,-2.0,1.1,1.2,30.0,20.0,0.0,50.0,80.0,0.0,14.7,4.3,5.2,12.5,2.1,0.0,1.5,1.6,1.7,1.9,-1.0,-2.0,1.3,1.4,40.0,40.0,0.0,50.0,60.0,0.0,71,74,74,73.0,74,73,75,74.0,The Hawthorns
2014-08-30,qpr,sunderland,1,0,18,16,5,6,8,9,4,6,1,2,0,0,2.4,3.25,3.3,W,3,3,13.3,5.3,4.4,8.5,1.7,0.1,0.4,1.7,0.5,1.0,-13.0,-5.0,0.2,0.7,0.0,10.0,0.0,20.0,50.0,0.0,12.7,3.7,4.7,11.8,1.8,0.0,1.6,1.5,1.7,1.9,1.0,-2.0,1.5,1.4,40.0,40.0,0.0,70.0,60.0,2.0,74,74,77,75.0,73,73,75,73.67,Loftus Road
2014-09-20,burnley,sunderland,0,0,17,14,6,6,14,14,5,1,1,2,0,0,2.5,3.3,3.1,D,7,7,,,,,,,,,,,,,,,,,0.0,,,2.0,11.7,3.4,5.0,11.2,2.0,0.0,1.7,1.2,1.3,1.9,5.0,-6.0,1.6,1.1,40.0,30.0,0.0,80.0,50.0,1.0,69,69,70,69.33,73,73,74,73.33,Turf Moor
2014-10-18,southampton,sunderland,8,0,20,12,11,1,11,8,5,6,1,3,0,0,1.57,4.0,7.0,W,10,10,13.2,5.3,5.1,12.3,1.5,0.0,1.5,0.6,1.9,1.0,9.0,9.0,2.0,1.8,60.0,50.0,0.0,80.0,80.0,0.0,11.5,3.3,4.7,11.5,1.8,0.0,1.2,1.0,1.0,1.9,2.0,-9.0,1.4,0.9,30.0,20.0,1.0,80.0,50.0,4.0,73,76,76,75.0,73,73,74,73.33,St Mary's Stadium
2014-11-03,palace,sunderland,1,3,9,8,1,7,12,19,11,2,0,3,1,0,2.1,3.5,3.8,L,9,9,10.6,4.3,4.2,14.1,1.5,0.2,1.5,1.8,0.9,1.3,-3.0,-4.0,1.0,1.1,20.0,30.0,0.0,60.0,50.0,1.0,12.0,3.2,5.1,10.8,2.3,0.0,0.9,2.0,0.9,2.3,-11.0,-14.0,0.8,0.9,10.0,20.0,0.0,60.0,50.0,0.0,71,72,71,71.33,73,73,74,73.33,Selhurst Park
2014-11-22,leicester,sunderland,0,0,13,10,4,5,18,12,6,9,2,3,0,0,2.1,3.5,3.8,D,10,10,9.5,3.1,5.3,11.8,1.4,0.0,0.9,1.6,,,-7.0,,0.8,,20.0,,0.0,40.0,,0.0,11.1,3.6,4.9,11.5,2.4,0.0,1.0,1.7,1.2,2.2,-7.0,-10.0,1.1,1.2,20.0,30.0,0.0,70.0,60.0,2.0,67,68,70,68.33,73,73,74,73.33,King Power Stadium
2014-12-06,liverpool,sunderland,0,0,15,7,2,1,12,15,5,7,1,3,0,0,1.5,4.5,7.5,D,4,3,14.3,4.3,5.3,10.6,2.0,0.0,1.3,1.4,1.2,1.1,-1.0,1.0,1.4,1.7,40.0,50.0,2.0,60.0,70.0,2.0,10.8,3.6,4.7,12.0,2.4,0.0,0.8,1.7,1.1,2.0,-9.0,-9.0,1.1,1.3,20.0,30.0,0.0,70.0,70.0,0.0,78,79,76,77.67,73,73,74,73.33,Anfield
2014-12-21,newcastle,sunderland,0,1,15,16,7,3,15,15,7,1,4,4,0,0,2.05,3.5,4.0,L,4,8,10.9,3.6,5.4,12.2,2.1,0.2,1.3,1.0,1.4,1.4,3.0,0.0,2.0,1.7,60.0,50.0,0.0,80.0,70.0,0.0,9.9,3.2,4.9,11.9,2.5,0.0,0.9,1.8,1.0,1.5,-9.0,-5.0,1.1,1.4,20.0,30.0,0.0,70.0,80.0,2.0,76,75,78,76.33,73,73,74,73.33,St. James Park
2014-12-28,aston-villa,sunderland,0,0,14,15,3,3,4,11,4,4,1,4,1,0,2.35,3.3,3.4,D,2,2,11.3,3.8,2.8,11.6,2.6,0.3,0.7,1.0,1.0,1.2,-3.0,-2.0,1.0,1.3,20.0,30.0,0.0,60.0,70.0,0.0,10.7,3.4,4.7,12.8,2.7,0.0,0.8,1.2,0.9,1.3,-4.0,-4.0,1.1,1.6,20.0,40.0,0.0,70.0,80.0,0.0,74,71,72,72.33,73,73,74,73.33,Villa Park
2015-01-01,city,sunderland,3,2,32,4,12,4,14,7,10,4,2,3,0,0,1.22,7.0,15.0,W,4,4,16.1,5.3,6.4,12.4,2.2,0.1,2.2,0.7,1.9,0.7,15.0,12.0,2.6,2.3,80.0,70.0,0.0,100.0,90.0,10.0,11.1,3.4,4.8,12.8,2.8,0.0,0.8,1.0,0.7,1.2,-2.0,-5.0,1.2,1.4,20.0,30.0,0.0,80.0,80.0,1.0,81,83,84,82.67,73,73,74,73.33,Etihad Stadium
2015-01-17,tottenham,sunderland,2,1,25,8,8,4,14,8,6,6,1,2,0,0,1.62,4.2,6.0,W,3,7,13.0,4.7,5.3,12.3,2.3,0.0,1.6,1.3,1.2,1.3,3.0,-1.0,2.0,1.4,60.0,40.0,0.0,80.0,60.0,0.0,10.2,2.9,5.1,11.7,2.8,0.1,0.6,1.2,0.8,1.5,-6.0,-7.0,0.8,1.1,10.0,20.0,0.0,60.0,70.0,0.0,78,80,77,78.33,73,73,74,73.33,White Hart Lane
2015-02-07,swansea,sunderland,1,1,16,4,7,1,11,13,7,1,3,4,0,0,1.91,3.5,4.6,D,6,4,13.6,3.1,4.6,10.3,1.0,0.2,1.0,1.6,1.2,1.3,-6.0,-1.0,1.4,1.5,40.0,40.0,1.0,60.0,70.0,1.0,9.6,2.8,5.2,11.2,2.7,0.1,0.9,1.4,0.7,1.5,-5.0,-8.0,0.9,1.0,20.0,20.0,1.0,50.0,60.0,1.0,75,74,79,76.0,73,73,74,73.33,Swansea.com Stadium
2015-02-28,united,sunderland,2,0,30,5,10,3,6,11,13,1,1,1,0,1,1.36,5.25,10.0,W,7,7,12.1,4.8,6.0,12.7,2.0,0.1,1.5,0.9,2.1,0.7,6.0,14.0,1.6,2.5,40.0,80.0,0.0,80.0,90.0,0.0,10.1,2.9,5.7,10.9,2.8,0.1,0.8,1.2,0.8,1.5,-4.0,-7.0,0.9,1.1,20.0,20.0,0.0,50.0,70.0,1.0,80,79,85,81.33,73,73,74,73.33,Old Trafford
2015-03-03,hull,sunderland,1,1,15,9,5,3,9,15,6,4,2,6,0,0,2.15,3.3,3.9,D,3,3,11.3,4.1,3.8,12.8,1.8,0.1,1.0,1.2,0.9,0.9,-2.0,0.0,1.3,1.3,40.0,40.0,0.0,50.0,50.0,0.0,9.0,2.9,5.7,10.5,2.5,0.2,0.7,1.4,0.8,1.7,-7.0,-9.0,0.6,1.0,10.0,20.0,0.0,40.0,60.0,0.0,71,71,72,71.33,73,73,74,73.33,Hull City Stadium
2015-03-21,west-ham,sunderland,1,0,15,7,4,3,14,11,6,4,0,1,0,0,1.8,3.5,4.5,W,7,7,11.9,3.9,5.7,9.1,1.5,0.1,0.9,1.4,1.3,0.9,-5.0,4.0,0.8,1.5,10.0,40.0,0.0,60.0,70.0,0.0,8.4,2.8,4.9,10.7,2.4,0.2,0.7,1.6,0.9,1.0,-9.0,-1.0,0.6,1.1,10.0,20.0,0.0,40.0,70.0,0.0,72,74,76,74.0,73,73,74,73.33,Boleyn Ground
2015-04-25,stoke,sunderland,1,1,23,15,8,5,14,15,9,8,2,3,0,0,1.91,3.5,4.75,D,7,10,12.9,3.1,4.9,14.0,2.4,0.0,1.2,1.3,1.6,1.3,-1.0,3.0,1.4,1.9,40.0,60.0,1.0,60.0,70.0,2.0,10.2,2.9,5.3,12.0,2.6,0.1,0.6,1.5,0.6,1.0,-9.0,-4.0,0.9,0.8,20.0,10.0,0.0,50.0,60.0,0.0,73,73,76,74.0,73,73,74,73.33,Bet365 Stadium
2015-05-09,everton,sunderland,0,2,22,10,4,3,10,9,15,1,2,3,0,0,1.8,3.75,5.0,L,7,7,12.1,5.1,5.0,10.3,0.9,0.0,1.5,1.1,1.4,0.5,4.0,9.0,1.7,1.9,50.0,50.0,0.0,70.0,90.0,0.0,11.7,3.6,5.5,12.2,2.4,0.1,0.6,1.6,0.7,1.1,-10.0,-4.0,0.9,0.8,20.0,10.0,1.0,50.0,60.0,2.0,78,78,78,78.0,73,73,74,73.33,Goodison Park
2015-05-20,arsenal,sunderland,0,0,28,7,8,3,6,8,5,2,1,0,0,0,1.3,6.0,11.0,D,3,4,15.8,6.2,5.9,9.4,0.9,0.0,1.8,0.6,2.5,0.5,12.0,20.0,2.3,2.5,70.0,80.0,0.0,90.0,90.0,1.0,11.1,3.5,4.5,12.6,2.8,0.1,0.8,1.4,0.9,1.1,-6.0,-2.0,1.2,1.0,30.0,20.0,0.0,60.0,60.0,4.0,80,81,79,80.0,73,73,74,73.33,Emirates Stadium
2015-05-24,chelsea,sunderland,3,1,24,17,8,9,12,8,11,3,2,1,0,0,1.36,5.25,9.5,W,6,4,12.0,4.3,5.4,9.3,2.5,0.1,1.3,0.9,1.3,0.5,4.0,8.0,2.1,2.2,60.0,60.0,0.0,90.0,100.0,0.0,11.3,3.5,4.6,12.3,2.7,0.0,0.8,1.2,0.8,1.1,-4.0,-3.0,1.3,0.8,30.0,10.0,0.0,70.0,60.0,5.0,81,82,81,81.33,73,73,74,73.33,Stamford Bridge
