Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,W,4,2,Sunderland,44,32242,Wes Morgan,4-4-2,Lee Mason,Match Report,
2015-08-15,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,2,1,West Ham,30,34857,Wes Morgan,4-4-2,Anthony Taylor,Match Report,
2015-08-22,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Tottenham,35,31971,Wes Morgan,4-4-2,Martin Atkinson,Match Report,
2015-08-25,19:45 (02:45),League Cup,Second round,Tue,Away,W,4,1,Bury,,4914,,,Andy Madley,Match Report,
2015-08-29,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,D,1,1,Bournemouth,44,11155,Wes Morgan,4-1-4-1,Niel Swarbrick,Match Report,
2015-09-13,16:00 (23:00),Premier League,Matchweek 5,Sun,Home,W,3,2,Aston Villa,49,31733,Wes Morgan,4-4-2,Mike Dean,Match Report,
2015-09-19,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,D,2,2,Stoke City,46,27642,Wes Morgan,4-4-2,Andre Marriner,Match Report,
2015-09-22,19:45 (02:45),League Cup,Third round,Tue,Home,W,2,1,West Ham,,21268,,,Peter Bankes,Match Report,Required Extra Time
2015-09-26,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,L,2,5,Arsenal,42,32047,Wes Morgan,4-4-2,Craig Pawson,Match Report,
2015-10-03,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,W,2,1,Norwich City,34,27067,Wes Morgan,4-4-2,Mark Clattenburg,Match Report,
2015-10-17,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,D,2,2,Southampton,49,30966,Wes Morgan,4-4-2,Paul Tierney,Match Report,
2015-10-24,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,W,1,0,Crystal Palace,48,31752,Wes Morgan,4-4-1-1,Mike Dean,Match Report,
2015-10-27,19:45 (03:45),League Cup,Fourth round,Tue,Away,D,1 (4),1 (5),Hull City,,16818,,4-4-1-1,Stuart Attwell,Match Report,Hull City won on penalty kicks following extra time
2015-10-31,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,W,3,2,West Brom,52,24150,Wes Morgan,4-4-2,Anthony Taylor,Match Report,
2015-11-07,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,W,2,1,Watford,41,32029,Wes Morgan,4-4-2,Roger East,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,3,0,Newcastle Utd,46,50151,Wes Morgan,4-4-2,Mike Jones,Match Report,
2015-11-28,17:30 (01:30),Premier League,Matchweek 14,Sat,Home,D,1,1,Manchester Utd,31,32115,Wes Morgan,4-4-2,Craig Pawson,Match Report,
2015-12-05,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,W,3,0,Swansea City,41,20836,Wes Morgan,4-4-2,Michael Oliver,Match Report,
2015-12-14,20:00 (04:00),Premier League,Matchweek 16,Mon,Home,W,2,1,Chelsea,34,32054,Wes Morgan,4-4-2,Mark Clattenburg,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,W,3,2,Everton,33,39570,Wes Morgan,4-4-2,Jonathan Moss,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,L,0,1,Liverpool,35,44123,Wes Morgan,4-4-2,Martin Atkinson,Match Report,
2015-12-29,19:45 (03:45),Premier League,Matchweek 19,Tue,Home,D,0,0,Manchester City,39,32072,Wes Morgan,4-5-1,Craig Pawson,Match Report,
