Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-03-17,20:05 (04:05),Europa Lg,Round of 16,Thu,Away,D,1,1,eng Manchester Utd,42,75180,Jordan Henderson,4-4-1-1,Milorad Mažić,Match Report,Leg 2 of 2; Liverpool won
2016-03-20,13:30 (21:30),Premier League,Matchweek 31,Sun,Away,L,2,3,Southampton,51,31596,Jon Flanagan,4-4-2,Roger East,Match Report,
2016-04-02,17:30 (00:30),Premier League,Matchweek 32,Sat,Home,D,1,1,Tottenham,42,44062,Jordan Henderson,4-2-3-1,Jonathan Moss,Match Report,
2016-04-07,21:05 (03:05),Europa Lg,Quarter-finals,Thu,Away,D,1,1,de Dortmund,41,65848,Jordan Henderson,4-3-3,Carlos Velasco,Match Report,Leg 1 of 2
2016-04-10,16:00 (23:00),Premier League,Matchweek 33,Sun,Home,W,4,1,Stoke City,53,43688,James Milner,4-4-1-1,Mark Clattenburg,Match Report,
2016-04-14,20:05 (03:05),Europa Lg,Quarter-finals,Thu,Home,W,4,3,de Dortmund,59,42954,James Milner,4-2-3-1,Cüneyt Çakιr,Match Report,Leg 2 of 2; Liverpool won
2016-04-17,13:30 (20:30),Premier League,Matchweek 34,Sun,Away,W,2,1,Bournemouth,49,11386,Lucas Leiva,4-4-1-1,Mike Jones,Match Report,
2016-04-20,20:00 (03:00),Premier League,Matchweek 27,Wed,Home,W,4,0,Everton,67,43854,James Milner,4-2-3-1,Robert Madley,Match Report,
2016-04-23,15:00 (22:00),Premier League,Matchweek 35,Sat,Home,D,2,2,Newcastle Utd,67,43837,James Milner,4-1-2-1-2◆,Andre Marriner,Match Report,
2016-04-28,21:05 (03:05),Europa Lg,Semi-finals,Thu,Away,L,0,1,es Villarreal,48,21606,James Milner,4-3-3,Damir Skomina,Match Report,Leg 1 of 2
2016-05-01,12:00 (19:00),Premier League,Matchweek 36,Sun,Away,L,1,3,Swansea City,52,20972,Martin Škrtel,4-4-1-1,Roger East,Match Report,
2016-05-05,20:05 (03:05),Europa Lg,Semi-finals,Thu,Home,W,3,0,es Villarreal,57,43074,James Milner,4-4-1-1,Viktor Kassai,Match Report,Leg 2 of 2; Liverpool won
2016-05-08,16:00 (23:00),Premier League,Matchweek 37,Sun,Home,W,2,0,Watford,66,43341,Lucas Leiva,4-2-3-1,Lee Mason,Match Report,
2016-05-11,20:00 (03:00),Premier League,Matchweek 30,Wed,Home,D,1,1,Chelsea,55,43210,James Milner,4-4-1-1,Michael Oliver,Match Report,
2016-05-15,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,D,1,1,West Brom,67,26196,Lucas Leiva,4-3-3,Robert Madley,Match Report,
2016-05-18,20:45 (02:45),Europa Lg,Final,Wed,Home,L,1,3,es Sevilla,54,34429,James Milner,4-2-3-1,Jonas Eriksson,Match Report,
