Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-03-03,15:00 (23:00),Premier League,Matchweek 29,Sat,Away,L,1,4,Swansea City,0.4,1.8,54,20829,Mark Noble,3-4-3,Martin Atkinson,Match Report,
2018-03-10,15:00 (23:00),Premier League,Matchweek 30,Sat,Home,L,0,3,Burnley,0.8,1.4,52,56904,Mark Noble,3-4-3,Lee Mason,Match Report,
2018-03-31,15:00 (22:00),Premier League,Matchweek 32,Sat,Home,W,3,0,Southampton,1.4,0.5,49,56882,Mark Noble,3-4-3,Jonathan Moss,Match Report,
2018-04-08,16:30 (23:30),Premier League,Matchweek 33,Sun,Away,D,1,1,Chelsea,0.3,1.7,41,41324,Mark Noble,3-4-3,Kevin Friend,Match Report,
2018-04-16,20:00 (03:00),Premier League,Matchweek 34,Mon,Home,D,1,1,Stoke City,0.8,1.7,63,56795,Mark Noble,3-4-3,Michael Oliver,Match Report,
2018-04-22,13:30 (20:30),Premier League,Matchweek 35,Sun,Away,L,1,4,Arsenal,0.8,1.8,33,59422,Mark Noble,3-4-3,Lee Mason,Match Report,
2018-04-29,14:15 (21:15),Premier League,Matchweek 36,Sun,Home,L,1,4,Manchester City,0.2,2.4,26,56904,Mark Noble,3-5-1-1,Niel Swarbrick,Match Report,
2018-05-05,15:00 (22:00),Premier League,Matchweek 37,Sat,Away,W,2,0,Leicester City,1.6,0.5,47,32013,Mark Noble,3-4-3,Chris Kavanagh,Match Report,
2018-05-10,19:45 (02:45),Premier League,Matchweek 31,Thu,Home,D,0,0,Manchester Utd,0.6,0.8,44,56902,Mark Noble,3-4-3,Jonathan Moss,Match Report,
2018-05-13,15:00 (22:00),Premier League,Matchweek 38,Sun,Home,W,3,1,Everton,1.1,1.6,57,56926,Mark Noble,3-4-3,Graham Scott,Match Report,
