HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Result
10,3,11.4,3.9,6.0,10.0,1.3,0.0,1.3,1.4,1.4,1.0,-1.0,4.0,1.6,2.1,50.0,0.7,3.0,18.3,6.4,7.1,9.9,1.2,0.0,3.1,0.7,3.1,0.8,24.0,23.0,2.5,2.5,80.0,80.0,6.0,79,79,85,81.0,85,83,86,84.67,5.25,4.75,1.53,D
3,7,9.3,3.0,4.0,6.7,1.3,0.0,1.0,1.2,1.7,1.2,-2.0,5.0,1.4,2.0,40.0,0.6,0.0,9.4,2.7,5.3,10.8,1.4,0.1,0.8,1.6,0.7,1.3,-8.0,-6.0,1.0,0.7,30.0,10.0,0.0,76,79,80,78.33,76,75,77,76.0,1.7,3.8,5.0,D
5,8,12.6,8.1,5.7,10.3,1.9,0.0,1.2,2.0,1.3,2.2,-8.0,-9.0,1.1,0.9,30.0,0.2,0.0,12.4,7.3,5.1,10.0,1.6,0.1,1.9,1.5,1.8,2.4,4.0,-6.0,1.6,1.5,50.0,40.0,0.0,74,70,72,72.0,72,72,76,73.33,2.15,3.6,3.6,D
6,10,13.1,4.6,4.4,10.9,0.9,0.1,0.9,2.0,1.6,1.4,-11.0,2.0,0.7,1.5,20.0,0.4,0.0,11.5,4.0,4.3,9.2,1.2,0.0,1.6,1.6,1.4,2.6,0.0,-12.0,1.3,0.8,30.0,20.0,0.0,75,75,77,75.67,74,74,78,75.33,2.1,3.5,3.8,D
4,3,9.5,4.4,3.5,9.7,2.0,0.0,1.1,0.9,1.1,1.1,2.0,0.0,1.9,1.5,50.0,0.4,0.0,11.8,3.3,4.2,9.7,1.4,0.0,1.3,0.5,1.4,1.1,8.0,3.0,2.0,1.7,60.0,50.0,1.0,76,76,77,76.33,78,79,79,78.67,4.5,3.3,1.9,D
5,4,10.8,3.7,3.3,8.8,1.5,0.2,0.9,1.6,1.3,1.1,-7.0,2.0,1.2,1.5,30.0,0.4,0.0,21.1,6.6,9.9,8.2,1.9,0.1,2.7,1.1,2.6,1.0,16.0,16.0,2.1,2.4,70.0,80.0,1.0,76,77,78,77.0,83,87,87,85.67,13.0,8.0,1.16,D
8,7,14.4,5.6,5.1,9.3,1.7,0.0,1.5,1.2,1.7,0.4,3.0,13.0,1.8,2.8,50.0,0.9,2.0,17.9,6.9,7.8,9.2,2.1,0.0,1.0,0.5,1.7,1.2,5.0,5.0,2.2,2.0,70.0,60.0,2.0,77,76,74,75.67,79,78,82,79.67,2.5,3.4,3.0,D
7,4,13.2,4.7,6.3,8.3,1.2,0.0,2.0,1.1,2.1,1.1,9.0,10.0,1.9,2.4,60.0,0.8,0.0,13.9,5.7,6.0,8.9,1.4,0.1,1.7,1.4,1.2,1.8,3.0,-6.0,2.0,1.6,60.0,50.0,6.0,77,76,74,75.67,80,79,80,79.67,2.8,3.4,2.7,D
6,4,9.9,3.8,4.7,10.2,1.9,0.3,1.2,2.2,1.8,1.8,-10.0,0.0,0.6,0.9,10.0,0.2,0.0,10.3,3.5,3.7,9.8,1.4,0.2,0.9,1.2,0.7,1.1,-3.0,-4.0,1.2,1.0,30.0,20.0,0.0,75,75,75,75.0,76,76,76,76.0,2.4,3.4,3.2,D
6,9,11.7,3.9,4.9,9.6,1.7,0.1,1.0,1.6,1.7,1.6,-6.0,1.0,0.8,1.3,20.0,0.3,0.0,12.8,3.7,4.7,10.7,1.2,0.1,0.7,1.4,0.6,1.3,-7.0,-7.0,0.8,0.9,20.0,20.0,1.0,78,78,78,78.0,72,74,70,72.0,1.85,3.6,4.75,D
10,10,10.0,3.7,4.2,11.6,2.2,0.0,1.1,1.1,1.2,1.6,0.0,-4.0,1.5,1.3,40.0,0.4,1.0,14.6,5.2,5.5,11.4,1.9,0.1,1.5,1.6,0.6,1.3,-1.0,-7.0,0.9,0.6,20.0,10.0,1.0,71,74,74,73.0,76,75,77,76.0,3.2,3.2,2.5,D
9,4,19.2,6.9,8.2,9.8,1.5,0.0,2.6,0.7,2.0,0.8,19.0,12.0,2.3,2.2,70.0,0.6,5.0,13.1,4.5,5.0,12.7,2.2,0.1,1.2,1.4,0.9,1.4,-2.0,-5.0,1.4,0.8,40.0,10.0,1.0,81,85,83,83.0,79,78,85,80.67,1.33,5.75,10.0,D
4,3,11.9,5.9,6.4,12.6,2.1,0.1,1.6,1.6,1.3,1.0,0.0,3.0,1.6,2.0,40.0,0.6,0.0,12.9,4.2,5.9,11.7,1.5,0.0,2.4,1.0,2.0,1.7,14.0,3.0,2.4,1.6,70.0,50.0,2.0,79,82,84,81.67,80,83,85,82.67,2.45,3.5,3.0,D
3,10,9.7,4.0,4.1,9.7,2.4,0.0,1.8,1.2,1.1,1.6,6.0,-5.0,1.6,1.2,40.0,0.3,0.0,13.7,3.9,5.6,12.3,1.9,0.0,1.4,1.2,0.7,1.7,2.0,-10.0,1.6,0.9,40.0,20.0,0.0,77,78,79,78.0,75,76,81,77.33,3.1,3.25,2.54,D
4,10,14.7,5.6,5.4,10.2,1.3,0.0,2.1,0.8,2.0,0.2,13.0,18.0,2.3,2.8,70.0,0.9,2.0,12.2,3.7,5.5,10.6,1.3,0.0,1.4,1.9,1.1,2.4,-5.0,-13.0,0.9,0.6,20.0,10.0,0.0,81,82,81,81.33,69,69,70,69.33,1.2,7.5,17.0,D
7,6,9.7,3.8,5.5,12.4,1.5,0.0,1.7,0.8,1.7,0.6,9.0,11.0,2.1,2.1,60.0,0.6,0.0,14.9,4.6,5.6,10.1,1.3,0.1,1.6,1.5,1.3,1.3,1.0,0.0,1.6,1.4,40.0,40.0,0.0,75,82,80,79.0,75,77,76,76.0,1.44,4.5,9.0,D
2,2,9.1,2.6,4.2,10.2,1.4,0.0,0.4,1.4,1.0,1.2,-10.0,-2.0,0.7,1.4,10.0,0.3,0.0,12.7,4.9,5.3,9.2,1.6,0.1,1.3,1.8,0.6,1.5,-5.0,-9.0,1.0,0.8,20.0,20.0,1.0,74,75,72,73.67,75,74,76,75.0,2.37,3.2,3.39,D
7,3,13.0,3.0,5.9,9.5,0.8,0.0,1.1,1.4,1.0,1.0,-3.0,0.0,0.9,1.2,20.0,0.3,0.0,18.8,7.5,6.6,10.9,1.5,0.0,2.2,1.1,1.4,1.5,11.0,-1.0,2.1,1.3,70.0,40.0,0.0,79,78,78,78.33,81,82,85,82.67,4.0,3.75,1.95,D
4,8,14.2,4.1,5.2,11.3,2.1,0.0,1.1,1.3,0.9,0.9,-2.0,0.0,1.4,1.5,40.0,0.4,0.0,18.5,6.3,8.5,10.6,2.0,0.1,1.7,1.2,1.7,1.0,5.0,7.0,1.6,1.7,50.0,50.0,1.0,78,79,76,77.67,80,81,79,80.0,2.8,3.5,2.6,D
4,3,14.6,3.8,5.6,12.2,2.1,0.1,1.3,1.6,1.7,1.2,-3.0,5.0,1.1,1.8,30.0,0.5,0.0,12.0,3.3,4.5,11.1,1.8,0.2,1.1,1.3,1.2,1.7,-2.0,-5.0,1.4,1.1,40.0,30.0,0.0,72,73,72,72.33,75,74,79,76.0,3.0,3.4,2.5,D
6,4,12.8,4.4,4.9,13.4,1.6,0.0,1.0,1.2,1.3,0.9,-2.0,4.0,1.4,1.7,40.0,0.5,0.0,9.3,3.4,4.0,11.9,1.2,0.0,1.3,0.9,1.9,0.8,4.0,11.0,1.8,1.9,50.0,50.0,0.0,78,81,79,79.33,82,82,89,84.33,3.6,3.25,2.15,D
8,8,10.2,3.3,4.5,10.8,1.4,0.1,1.2,1.0,0.7,2.1,2.0,-14.0,1.3,0.9,30.0,0.2,0.0,11.4,3.6,4.5,10.3,0.9,0.0,0.9,1.4,0.9,1.3,-5.0,-4.0,1.4,1.0,40.0,20.0,0.0,72,74,74,73.33,79,80,79,79.33,2.9,3.2,2.5,D
4,4,12.3,2.9,4.7,9.6,1.2,0.3,0.5,2.1,0.6,2.0,-16.0,-14.0,0.4,0.9,10.0,0.3,0.0,10.0,4.3,4.5,12.0,2.0,0.1,1.6,1.4,1.1,1.2,2.0,-1.0,1.7,1.2,50.0,30.0,0.0,75,75,74,74.67,73,73,71,72.33,1.75,3.75,5.25,D
4,6,18.3,6.6,6.8,8.5,1.5,0.0,2.5,0.3,2.7,0.2,22.0,25.0,2.8,3.0,90.0,1.0,3.0,13.0,5.0,4.8,10.7,1.8,0.0,2.8,0.7,1.9,1.0,21.0,9.0,2.2,1.9,70.0,60.0,1.0,85,84,86,85.0,78,80,83,80.33,1.4,5.0,7.0,D
7,7,11.2,3.2,4.5,12.6,2.0,0.0,0.9,1.7,1.3,1.9,-8.0,-6.0,0.7,1.0,20.0,0.3,0.0,15.7,5.1,5.6,10.0,1.3,0.0,1.6,1.8,1.6,1.5,-2.0,1.0,1.3,1.4,40.0,40.0,0.0,71,72,74,72.33,71,73,78,74.0,3.4,3.4,2.1,D
5,4,14.8,5.4,7.4,11.7,2.2,0.0,2.1,1.3,1.6,1.7,8.0,-1.0,1.8,1.2,60.0,0.4,1.0,8.5,2.4,4.4,10.0,1.2,0.0,0.4,1.4,0.9,1.3,-10.0,-4.0,0.9,1.5,20.0,40.0,1.0,75,77,76,76.0,76,76,76,76.0,1.75,3.8,4.5,D
10,10,10.5,4.1,4.6,11.5,2.3,0.1,1.0,1.1,0.9,1.6,-1.0,-7.0,1.4,1.1,40.0,0.3,2.0,15.7,8.5,6.9,10.1,1.4,0.0,1.7,1.0,1.1,1.2,7.0,-1.0,1.9,1.4,60.0,40.0,1.0,74,74,75,74.33,81,83,84,82.67,6.0,4.0,1.65,D
4,3,6.6,2.4,2.3,9.5,1.5,0.2,0.8,3.0,0.5,2.9,-22.0,-24.0,0.5,0.5,10.0,0.1,0.0,10.3,3.5,3.8,12.9,1.8,0.2,0.6,0.9,0.8,1.3,-3.0,-5.0,0.9,0.7,10.0,10.0,0.0,72,74,72,72.67,74,76,75,75.0,3.3,3.2,2.3,D
2,2,15.0,4.3,6.3,12.4,2.3,0.1,1.4,1.3,1.4,1.0,1.0,4.0,1.9,1.6,60.0,0.5,3.0,12.4,4.6,4.9,10.6,1.7,0.1,1.8,0.7,1.2,1.5,11.0,-3.0,2.3,1.1,70.0,20.0,1.0,78,80,77,78.33,80,79,85,81.33,3.25,3.6,2.3,D
5,6,9.9,3.5,5.0,10.3,1.5,0.0,1.3,2.1,1.3,1.4,-8.0,-1.0,1.1,1.3,30.0,0.3,1.0,12.1,4.4,5.2,9.1,1.4,0.0,1.6,1.0,1.5,1.1,6.0,4.0,2.1,1.9,70.0,60.0,0.0,74,77,77,76.0,81,83,85,83.0,4.75,3.79,1.8,D
4,4,12.2,3.2,4.5,11.9,2.0,0.0,1.7,2.2,1.0,2.1,-5.0,-11.0,1.3,1.1,40.0,0.3,0.0,16.8,5.3,6.7,10.2,0.9,0.1,1.5,0.9,2.6,1.0,6.0,16.0,1.7,1.8,50.0,60.0,0.0,76,77,77,76.67,81,81,85,82.33,5.0,4.0,1.72,D
9,7,9.7,2.8,4.1,11.3,1.6,0.1,0.6,2.6,0.6,2.0,-20.0,-14.0,0.3,0.3,10.0,0.1,0.0,11.5,3.7,4.0,11.4,1.8,0.1,1.2,1.6,1.7,1.3,-4.0,4.0,1.4,1.8,40.0,60.0,0.0,75,74,71,73.33,80,83,83,82.0,11.0,6.0,1.3,D
7,6,10.9,3.7,5.0,10.3,2.5,0.1,0.8,1.3,1.2,1.1,-5.0,1.0,1.1,1.6,20.0,0.4,0.0,14.8,4.6,4.8,12.5,2.4,0.1,0.9,1.3,1.4,1.4,-4.0,0.0,1.0,1.4,20.0,40.0,0.0,76,74,77,75.67,75,78,78,77.0,2.05,3.4,3.75,D
7,3,10.3,3.3,3.4,10.3,2.3,0.0,1.2,2.0,1.2,1.3,-8.0,-1.0,1.0,1.2,30.0,0.3,1.0,16.1,5.0,4.5,9.5,0.9,0.0,1.9,0.9,1.7,1.4,10.0,3.0,2.5,1.8,80.0,60.0,5.0,77,78,80,78.33,82,85,84,83.67,6.0,4.5,1.57,D
3,8,14.8,4.8,5.2,12.3,1.9,0.0,1.9,1.2,1.9,0.7,7.0,12.0,1.9,2.5,60.0,0.8,1.0,11.0,2.5,4.9,11.5,2.4,0.0,0.8,2.3,1.0,2.2,-15.0,-12.0,0.6,0.8,10.0,20.0,0.0,81,82,90,84.33,77,79,79,78.33,1.33,5.75,10.0,D
6,6,9.6,3.8,4.4,9.9,1.8,0.1,1.5,2.2,1.6,1.3,-7.0,3.0,1.4,1.3,40.0,0.3,2.0,10.5,2.5,4.6,10.6,1.4,0.0,0.7,2.1,1.1,2.7,-14.0,-16.0,0.2,0.4,0.0,10.0,0.0,75,76,75,75.33,75,75,73,74.33,2.05,3.5,4.0,D
