Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-02-17,17:30 (01:30),FA Cup,Fifth round,Sat,Away,W,2,0,Huddersfield,,,46,17861,Michael Carrick,4-3-3,Kevin Friend,Match Report,
2018-02-21,20:45 (03:45),Champions Lg,Round of 16,Wed,Away,D,0,0,es Sevilla,0.7,2.0,43,39725,Antonio Valencia,4-3-3,Clément Turpin,Match Report,Leg 1 of 2
2018-02-25,14:05 (22:05),Premier League,Matchweek 28,Sun,Home,W,2,1,Chelsea,1.2,1.7,44,75060,Antonio Valencia,4-1-2-1-2◆,Martin Atkinson,Match Report,
2018-03-05,20:00 (04:00),Premier League,Matchweek 29,Mon,Away,W,3,2,Crystal Palace,1.2,0.6,69,25840,Antonio Valencia,4-3-3,Niel Swarbrick,Match Report,
2018-03-10,12:30 (20:30),Premier League,Matchweek 30,Sat,Home,W,2,1,Liverpool,0.7,0.7,33,74855,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,
2018-03-13,19:45 (03:45),Champions Lg,Round of 16,Tue,Home,L,1,2,es Sevilla,1.9,1.7,51,74909,Antonio Valencia,4-1-4-1,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won
2018-03-17,19:45 (03:45),FA Cup,Quarter-finals,Sat,Home,W,2,0,Brighton,,,61,74241,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,
2018-03-31,15:00 (22:00),Premier League,Matchweek 32,Sat,Home,W,2,0,Swansea City,2.2,0.2,66,75038,Antonio Valencia,4-2-3-1,Robert Madley,Match Report,
2018-04-07,17:30 (00:30),Premier League,Matchweek 33,Sat,Away,W,3,2,Manchester City,1.1,2.6,36,54259,Antonio Valencia,4-3-3,Martin Atkinson,Match Report,
2018-04-15,16:00 (23:00),Premier League,Matchweek 34,Sun,Home,L,0,1,West Brom,0.7,0.7,70,75095,Antonio Valencia,4-3-3,Paul Tierney,Match Report,
2018-04-18,19:45 (02:45),Premier League,Matchweek 35,Wed,Away,W,2,0,Bournemouth,1.3,1.2,55,10952,David de Gea,4-3-3,Graham Scott,Match Report,
2018-04-21,17:15 (00:15),FA Cup,Semi-finals,Sat,Home,W,2,1,Tottenham,,,36,84667,Antonio Valencia,4-3-3,Anthony Taylor,Match Report,
2018-04-29,16:30 (23:30),Premier League,Matchweek 36,Sun,Home,W,2,1,Arsenal,1.7,0.5,59,75035,Antonio Valencia,4-3-3,Kevin Friend,Match Report,
2018-05-04,20:00 (03:00),Premier League,Matchweek 37,Fri,Away,L,0,1,Brighton,0.8,1.0,68,30611,Ashley Young,4-3-3,Craig Pawson,Match Report,
2018-05-10,19:45 (02:45),Premier League,Matchweek 31,Thu,Away,D,0,0,West Ham,0.8,0.6,56,56902,Antonio Valencia,5-3-2,Jonathan Moss,Match Report,
2018-05-13,15:00 (22:00),Premier League,Matchweek 38,Sun,Home,W,1,0,Watford,0.4,0.6,52,75049,Michael Carrick,4-3-3,Lee Mason,Match Report,
2018-05-19,17:15 (00:15),FA Cup,Final,Sat,Away,L,0,1,Chelsea,,,67,87647,Antonio Valencia,4-4-2◆,Michael Oliver,Match Report,
