Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-07-28,20:45 (02:45),Europa Lg,Third qualifying round,Thu,Away,L,1,2,si NK Domžale,59,8458,Mark Noble,4-5-1,Mete Kalkavan,Match Report,Leg 1 of 2
2016-08-04,19:45 (02:45),Europa Lg,Third qualifying round,Thu,Home,W,3,0,si NK Domžale,,53914,Mark Noble,4-1-4-1,Frédy Fautrel,Match Report,Leg 2 of 2; West Ham won
2016-08-15,20:00 (03:00),Premier League,Matchweek 1,Mon,Away,L,1,2,Chelsea,38,41521,Mark Noble,4-3-3,Anthony Taylor,Match Report,
2016-08-18,21:15 (02:15),Europa Lg,Play-off round,Thu,Away,D,1,1,ro Astra Giurgiu,44,3360,Mark Noble,4-4-2,Artur Soares Dias,Match Report,Leg 1 of 2
2016-08-21,16:00 (23:00),Premier League,Matchweek 2,Sun,Home,W,1,0,Bournemouth,47,56977,Mark Noble,4-2-3-1,Craig Pawson,Match Report,
2016-08-25,19:45 (02:45),Europa Lg,Play-off round,Thu,Home,L,0,1,ro Astra Giurgiu,65,56932,Winston Reid,4-1-4-1,Manuel Gräfe,Match Report,Leg 2 of 2; Astra Giurgiu won
2016-08-28,16:00 (23:00),Premier League,Matchweek 3,Sun,Away,L,1,3,Manchester City,33,54008,Mark Noble,3-5-2,Andre Marriner,Match Report,
2016-09-10,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,L,2,4,Watford,58,56974,Mark Noble,4-2-3-1,Martin Atkinson,Match Report,
2016-09-17,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,2,4,West Brom,70,22209,Mark Noble,4-2-3-1,Mark Clattenburg,Match Report,
2016-09-21,19:45 (02:45),EFL Cup,Third round,Wed,Home,W,1,0,Acc'ton Stanley,63,39877,Darren Randolph,4-2-3-1,Steve Martin,Match Report,
2016-09-25,16:00 (23:00),Premier League,Matchweek 6,Sun,Home,L,0,3,Southampton,45,56864,Mark Noble,4-2-3-1,Jonathan Moss,Match Report,
2016-10-01,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,D,1,1,Middlesbrough,40,56945,Mark Noble,4-3-3,Niel Swarbrick,Match Report,
2016-10-15,17:30 (00:30),Premier League,Matchweek 8,Sat,Away,W,1,0,Crystal Palace,45,25643,Mark Noble,3-4-3,Martin Atkinson,Match Report,
2016-10-22,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Sunderland,64,56985,Mark Noble,3-4-3,Robert Madley,Match Report,
2016-10-26,19:45 (02:45),EFL Cup,Fourth round,Wed,Home,W,2,1,Chelsea,47,45957,Mark Noble,3-4-3,Craig Pawson,Match Report,
