Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
P Dowd,Sat,0.0,0,1.5999999999999996,-0.40000000000000036,-1.4000000000000004,1.0,-0.40000000000000013,0.2,-0.6000000000000001,-1.2,3.0,-0.20000000000000007,-0.7999999999999999,3.0,0.3999999999999999,20.0,0.0,0.0,0.0,-5,-4,-6,-5.0,6,0,-0.17999999999999972,3.25,Hull City Stadium,L
A Marriner,Wed,0.0,1,1.4000000000000004,-0.7999999999999998,-0.20000000000000018,-0.3999999999999986,0.3999999999999999,0.0,-0.40000000000000013,-0.8,2.0,-0.6000000000000001,0.0,-3.0,1.0,40.0,1.0,20.0,-1.0,-5,-3,-7,-5.0,1,0,-0.9199999999999999,3.3,Selhurst Park,D
C Foy,Sat,0.0,0,3.8000000000000007,1.4,4.200000000000001,-0.8000000000000007,0.6000000000000001,0.0,0.19999999999999996,0.0,1.0,-0.19999999999999996,0.4,-3.0,0.19999999999999996,0.0,1.0,20.0,0.0,5,8,6,6.340000000000003,-9,0,-9.7,6.0,Etihad Stadium,W
M Atkinson,Sun,0.0,-7,0.8000000000000007,0.6000000000000001,0.20000000000000018,1.0,0.19999999999999996,0.2,-0.19999999999999996,-0.20000000000000018,0.0,-0.4,-0.19999999999999996,-1.0,-0.6,-20.0,0.0,-20.0,0.0,2,3,0,1.6700000000000017,-5,0,-2.92,3.75,Goodison Park,W
M Dean,Sun,0.0,0,-2.6000000000000014,-0.6000000000000001,-1.3999999999999995,3.5999999999999996,0.8,0.0,-0.2,-0.6000000000000001,2.0,-0.2,-0.19999999999999996,0.0,-0.19999999999999996,-20.0,0.0,20.0,0.0,-3,-2,-4,-3.0,4,0,-0.6000000000000001,3.1,Stadium of Light,W
L Mason,Mon,0.0,-3,1.200000000000001,1.0,-1.7999999999999998,1.0,0.0,0.2,0.9999999999999999,0.0,5.0,0.2,0.19999999999999996,0.0,1.2000000000000002,40.0,0.0,40.0,0.0,2,4,-2,1.3400000000000034,-8,0,-7.6,5.0,Anfield,W
M Dean,Sat,0.0,-4,1.3999999999999986,1.1999999999999997,-1.4000000000000004,-2.3999999999999986,-0.4,-0.2,1.0,-1.0000000000000002,10.0,0.6000000000000001,-0.6,6.0,2.4,80.0,0.0,80.0,0.0,-9,-7,-8,-8.0,11,1,-2.42,3.7,King Power Stadium,W
L Probert,Sat,0.0,-1,0.5999999999999996,0.20000000000000018,-1.7999999999999998,-0.5999999999999996,0.8000000000000003,-0.39999999999999997,0.0,0.0,0.0,-0.2,-0.19999999999999996,0.0,0.2,0.0,0.0,20.0,-1.0,-4,-2,-6,-4.0,13,1,0.7000000000000002,3.5,Loftus Road,W
K Friend,Sat,0.0,-4,11.200000000000001,4.6000000000000005,4.8,-2.4000000000000004,-0.5999999999999999,-0.2,0.7999999999999999,-0.19999999999999996,5.0,0.2,0.0,1.0,1.4,60.0,0.0,20.0,-1.0,9,7,7,7.670000000000002,-13,0,-11.75,7.0,Etihad Stadium,W
R Madley,Sun,0.0,1,-1.200000000000001,-2.1999999999999997,-1.0000000000000004,4.199999999999999,1.4000000000000001,0.4,-1.6,-0.9999999999999998,-3.0,-0.6,-0.3999999999999999,-1.0,-0.6000000000000001,-20.0,-1.0,-20.0,-1.0,-2,0,0,-0.6599999999999966,1,0,-0.2999999999999998,3.4,Stadium of Light,W
