Date,Comp,Venue,Result,GF,GA,Opponent,Poss,team
2017-04-15,Premier League,Home,D,2,2,West Ham,47.0,sunderland
2017-04-26,Premier League,Away,L,0,1,Middlesbrough,51.0,sunderland
2017-04-29,Premier League,Home,L,0,1,Bournemouth,41.0,sunderland
2017-05-06,Premier League,Away,W,2,0,Hull City,41.0,sunderland
2017-05-13,Premier League,Home,L,0,2,Swansea City,53.0,sunderland
2017-05-16,Premier League,Away,L,0,2,Arsenal,37.0,sunderland
2017-05-21,Premier League,Away,L,1,5,Chelsea,28.0,sunderland
2016-08-13,Premier League,Away,W,1,0,Burnley,53.0,swansea
2016-08-20,Premier League,Home,L,0,2,Hull City,57.0,swansea
2016-08-23,EFL Cup,Away,W,3,1,P'borough Utd,55.0,swansea
2016-08-27,Premier League,Away,L,1,2,Leicester City,48.0,swansea
2016-09-11,Premier League,Home,D,2,2,Chelsea,45.0,swansea
2016-09-18,Premier League,Away,L,0,1,Southampton,47.0,swansea
2016-09-21,EFL Cup,Home,L,1,2,Manchester City,40.0,swansea
2016-09-24,Premier League,Home,L,1,3,Manchester City,42.0,swansea
2016-10-01,Premier League,Home,L,1,2,Liverpool,41.0,swansea
2016-10-15,Premier League,Away,L,2,3,Arsenal,51.0,swansea
2016-10-22,Premier League,Home,D,0,0,Watford,54.0,swansea
2016-10-31,Premier League,Away,L,1,3,Stoke City,54.0,swansea
2016-11-06,Premier League,Home,L,1,3,Manchester Utd,37.0,swansea
2016-11-19,Premier League,Away,D,1,1,Everton,37.0,swansea
2016-11-26,Premier League,Home,W,5,4,Crystal Palace,57.0,swansea
2016-12-03,Premier League,Away,L,0,5,Tottenham,40.0,swansea
2016-12-10,Premier League,Home,W,3,0,Sunderland,62.0,swansea
2016-12-14,Premier League,Away,L,1,3,West Brom,61.0,swansea
2016-12-17,Premier League,Away,L,0,3,Middlesbrough,57.0,swansea
2016-12-26,Premier League,Home,L,1,4,West Ham,56.0,swansea
2016-12-31,Premier League,Home,L,0,3,Bournemouth,45.0,swansea
2017-01-03,Premier League,Away,W,2,1,Crystal Palace,53.0,swansea
2017-01-07,FA Cup,Away,L,0,2,Hull City,,swansea
2017-01-14,Premier League,Home,L,0,4,Arsenal,43.0,swansea
2017-01-21,Premier League,Away,W,3,2,Liverpool,26.0,swansea
2017-01-31,Premier League,Home,W,2,1,Southampton,43.0,swansea
2017-02-05,Premier League,Away,L,1,2,Manchester City,31.0,swansea
2017-02-12,Premier League,Home,W,2,0,Leicester City,49.0,swansea
2017-02-25,Premier League,Away,L,1,3,Chelsea,34.0,swansea
2017-03-04,Premier League,Home,W,3,2,Burnley,71.0,swansea
2017-03-11,Premier League,Away,L,1,2,Hull City,50.0,swansea
2017-03-18,Premier League,Away,L,0,2,Bournemouth,52.0,swansea
2017-04-02,Premier League,Home,D,0,0,Middlesbrough,55.0,swansea
2017-04-05,Premier League,Home,L,1,3,Tottenham,28.0,swansea
2017-04-08,Premier League,Away,L,0,1,West Ham,54.0,swansea
2017-04-15,Premier League,Away,L,0,1,Watford,47.0,swansea
2017-04-22,Premier League,Home,W,2,0,Stoke City,46.0,swansea
2017-04-30,Premier League,Away,D,1,1,Manchester Utd,45.0,swansea
2017-05-06,Premier League,Home,W,1,0,Everton,38.0,swansea
2017-05-13,Premier League,Away,W,2,0,Sunderland,47.0,swansea
2017-05-21,Premier League,Home,W,2,1,West Brom,66.0,swansea
2016-08-13,Premier League,Away,D,1,1,Everton,58.0,tottenham
2016-08-20,Premier League,Home,W,1,0,Crystal Palace,57.0,tottenham
2016-08-27,Premier League,Home,D,1,1,Liverpool,49.0,tottenham
2016-09-10,Premier League,Away,W,4,0,Stoke City,60.0,tottenham
2016-09-14,Champions Lg,Home,L,1,2,fr Monaco,64.0,tottenham
2016-09-18,Premier League,Home,W,1,0,Sunderland,74.0,tottenham
2016-09-21,EFL Cup,Home,W,5,0,Gillingham,68.0,tottenham
2016-09-24,Premier League,Away,W,2,1,Middlesbrough,58.0,tottenham
2016-09-27,Champions Lg,Away,W,1,0,ru CSKA Moscow,66.0,tottenham
2016-10-02,Premier League,Home,W,2,0,Manchester City,42.0,tottenham
2016-10-15,Premier League,Away,D,1,1,West Brom,72.0,tottenham
2016-10-18,Champions Lg,Away,D,0,0,de Leverkusen,57.0,tottenham
2016-10-22,Premier League,Away,D,0,0,Bournemouth,62.0,tottenham
2016-10-25,EFL Cup,Away,L,1,2,Liverpool,54.0,tottenham
2016-10-29,Premier League,Home,D,1,1,Leicester City,64.0,tottenham
2016-11-02,Champions Lg,Home,L,0,1,de Leverkusen,59.0,tottenham
2016-11-06,Premier League,Away,D,1,1,Arsenal,54.0,tottenham
2016-11-19,Premier League,Home,W,3,2,West Ham,67.0,tottenham
2016-11-22,Champions Lg,Away,L,1,2,fr Monaco,63.0,tottenham
2016-11-26,Premier League,Away,L,1,2,Chelsea,54.0,tottenham
2016-12-03,Premier League,Home,W,5,0,Swansea City,60.0,tottenham
2016-12-07,Champions Lg,Home,W,3,1,ru CSKA Moscow,72.0,tottenham
2016-12-11,Premier League,Away,L,0,1,Manchester Utd,60.0,tottenham
2016-12-14,Premier League,Home,W,3,0,Hull City,63.0,tottenham
2016-12-18,Premier League,Home,W,2,1,Burnley,60.0,tottenham
2016-12-28,Premier League,Away,W,4,1,Southampton,66.0,tottenham
2017-01-01,Premier League,Away,W,4,1,Watford,66.0,tottenham
2017-01-04,Premier League,Home,W,2,0,Chelsea,46.0,tottenham
2017-01-08,FA Cup,Home,W,2,0,Aston Villa,,tottenham
2017-01-14,Premier League,Home,W,4,0,West Brom,73.0,tottenham
2017-01-21,Premier League,Away,D,2,2,Manchester City,45.0,tottenham
2017-01-28,FA Cup,Home,W,4,3,Wycombe,,tottenham
2017-01-31,Premier League,Away,D,0,0,Sunderland,72.0,tottenham
2017-02-04,Premier League,Home,W,1,0,Middlesbrough,65.0,tottenham
2017-02-11,Premier League,Away,L,0,2,Liverpool,49.0,tottenham
2017-02-16,Europa Lg,Away,L,0,1,be Gent,55.0,tottenham
2017-02-19,FA Cup,Away,W,3,0,Fulham,,tottenham
2017-02-23,Europa Lg,Home,D,2,2,be Gent,65.0,tottenham
2017-02-26,Premier League,Home,W,4,0,Stoke City,64.0,tottenham
2017-03-05,Premier League,Home,W,3,2,Everton,51.0,tottenham
2017-03-12,FA Cup,Home,W,6,0,Millwall,,tottenham
2017-03-19,Premier League,Home,W,2,1,Southampton,51.0,tottenham
2017-04-01,Premier League,Away,W,2,0,Burnley,62.0,tottenham
2017-04-05,Premier League,Away,W,3,1,Swansea City,72.0,tottenham
2017-04-08,Premier League,Home,W,4,0,Watford,58.0,tottenham
2017-04-15,Premier League,Home,W,4,0,Bournemouth,69.0,tottenham
2017-04-22,FA Cup,Away,L,2,4,Chelsea,,tottenham
2017-04-26,Premier League,Away,W,1,0,Crystal Palace,69.0,tottenham
2017-04-30,Premier League,Home,W,2,0,Arsenal,51.0,tottenham
2017-05-05,Premier League,Away,L,0,1,West Ham,68.0,tottenham
2017-05-14,Premier League,Home,W,2,1,Manchester Utd,60.0,tottenham
2017-05-18,Premier League,Away,W,6,1,Leicester City,63.0,tottenham
2017-05-21,Premier League,Away,W,7,1,Hull City,65.0,tottenham
2016-08-07,Community Shield,Away,W,2,1,Leicester City,,united
2016-08-14,Premier League,Away,W,3,1,Bournemouth,53.0,united
2016-08-19,Premier League,Home,W,2,0,Southampton,43.0,united
2016-08-27,Premier League,Away,W,1,0,Hull City,62.0,united
2016-09-10,Premier League,Home,L,1,2,Manchester City,40.0,united
2016-09-15,Europa Lg,Away,L,0,1,nl Feyenoord,57.0,united
2016-09-18,Premier League,Away,L,1,3,Watford,60.0,united
2016-09-21,EFL Cup,Away,W,3,1,Northampton,74.0,united
2016-09-24,Premier League,Home,W,4,1,Leicester City,67.0,united
2016-09-29,Europa Lg,Home,W,1,0,ua Zorya Luhansk,72.0,united
2016-10-02,Premier League,Home,D,1,1,Stoke City,67.0,united
2016-10-17,Premier League,Away,D,0,0,Liverpool,35.0,united
2016-10-20,Europa Lg,Home,W,4,1,tr Fenerbahçe,61.0,united
2016-10-23,Premier League,Away,L,0,4,Chelsea,56.0,united
2016-10-26,EFL Cup,Home,W,1,0,Manchester City,48.0,united
2016-10-29,Premier League,Home,D,0,0,Burnley,72.0,united
2016-11-03,Europa Lg,Away,L,1,2,tr Fenerbahçe,70.0,united
2016-11-06,Premier League,Away,W,3,1,Swansea City,63.0,united
2016-11-19,Premier League,Home,D,1,1,Arsenal,46.0,united
2016-11-24,Europa Lg,Home,W,4,0,nl Feyenoord,59.0,united
2016-11-27,Premier League,Home,D,1,1,West Ham,68.0,united
2016-11-30,EFL Cup,Home,W,4,1,West Ham,57.0,united
2016-12-04,Premier League,Away,D,1,1,Everton,55.0,united
2016-12-08,Europa Lg,Away,W,2,0,ua Zorya Luhansk,71.0,united
2016-12-11,Premier League,Home,W,1,0,Tottenham,40.0,united
2016-12-14,Premier League,Away,W,2,1,Crystal Palace,61.0,united
2016-12-17,Premier League,Away,W,2,0,West Brom,58.0,united
2016-12-26,Premier League,Home,W,3,1,Sunderland,62.0,united
2016-12-31,Premier League,Home,W,2,1,Middlesbrough,66.0,united
2017-01-02,Premier League,Away,W,2,0,West Ham,64.0,united
2017-01-07,FA Cup,Home,W,4,0,Reading,,united
2017-01-10,EFL Cup,Home,W,2,0,Hull City,66.0,united
2017-01-15,Premier League,Home,D,1,1,Liverpool,56.0,united
2017-01-21,Premier League,Away,D,1,1,Stoke City,65.0,united
2017-01-26,EFL Cup,Away,L,1,2,Hull City,46.0,united
2017-01-29,FA Cup,Home,W,4,0,Wigan Athletic,,united
2017-02-01,Premier League,Home,D,0,0,Hull City,67.0,united
2017-02-05,Premier League,Away,W,3,0,Leicester City,68.0,united
2017-02-11,Premier League,Home,W,2,0,Watford,58.0,united
2017-02-16,Europa Lg,Home,W,3,0,fr Saint-Étienne,62.0,united
2017-02-19,FA Cup,Away,W,2,1,Blackburn,,united
2017-02-22,Europa Lg,Away,W,1,0,fr Saint-Étienne,46.0,united
2017-02-26,EFL Cup,Home,W,3,2,Southampton,48.0,united
2017-03-04,Premier League,Home,D,1,1,Bournemouth,68.0,united
2017-03-09,Europa Lg,Away,D,1,1,ru Rostov,51.0,united
2017-03-13,FA Cup,Away,L,0,1,Chelsea,,united
2017-03-16,Europa Lg,Home,W,1,0,ru Rostov,69.0,united
2017-03-19,Premier League,Away,W,3,1,Middlesbrough,36.0,united
2017-04-01,Premier League,Home,D,0,0,West Brom,75.0,united
2017-04-04,Premier League,Home,D,1,1,Everton,62.0,united
2017-04-09,Premier League,Away,W,3,0,Sunderland,71.0,united
2017-04-13,Europa Lg,Away,D,1,1,be Anderlecht,64.0,united
2017-04-16,Premier League,Home,W,2,0,Chelsea,46.0,united
2017-04-20,Europa Lg,Home,W,2,1,be Anderlecht,60.0,united
2017-04-23,Premier League,Away,W,2,0,Burnley,54.0,united
2017-04-27,Premier League,Away,D,0,0,Manchester City,31.0,united
2017-04-30,Premier League,Home,D,1,1,Swansea City,56.0,united
2017-05-04,Europa Lg,Away,W,1,0,es Celta Vigo,42.0,united
2017-05-07,Premier League,Away,L,0,2,Arsenal,50.0,united
2017-05-11,Europa Lg,Home,D,1,1,es Celta Vigo,33.0,united
2017-05-14,Premier League,Away,L,1,2,Tottenham,40.0,united
2017-05-17,Premier League,Away,D,0,0,Southampton,47.0,united
2017-05-21,Premier League,Home,W,2,0,Crystal Palace,59.0,united
2017-05-24,Europa Lg,Away,W,2,0,nl Ajax,31.0,united
2016-08-13,Premier League,Away,D,1,1,Southampton,36.0,watford
2016-08-20,Premier League,Home,L,1,2,Chelsea,38.0,watford
2016-08-23,EFL Cup,Home,L,1,2,Gillingham,57.0,watford
2016-08-27,Premier League,Home,L,1,3,Arsenal,45.0,watford
2016-09-10,Premier League,Away,W,4,2,West Ham,42.0,watford
2016-09-18,Premier League,Home,W,3,1,Manchester Utd,40.0,watford
2016-09-26,Premier League,Away,L,0,2,Burnley,57.0,watford
2016-10-01,Premier League,Home,D,2,2,Bournemouth,48.0,watford
2016-10-16,Premier League,Away,W,1,0,Middlesbrough,36.0,watford
2016-10-22,Premier League,Away,D,0,0,Swansea City,46.0,watford
2016-10-29,Premier League,Home,W,1,0,Hull City,54.0,watford
2016-11-06,Premier League,Away,L,1,6,Liverpool,40.0,watford
2016-11-19,Premier League,Home,W,2,1,Leicester City,46.0,watford
2016-11-27,Premier League,Home,L,0,1,Stoke City,50.0,watford
2016-12-03,Premier League,Away,L,1,3,West Brom,60.0,watford
2016-12-10,Premier League,Home,W,3,2,Everton,47.0,watford
2016-12-14,Premier League,Away,L,0,2,Manchester City,37.0,watford
2016-12-17,Premier League,Away,L,0,1,Sunderland,57.0,watford
2016-12-26,Premier League,Home,D,1,1,Crystal Palace,56.0,watford
2017-01-01,Premier League,Home,L,1,4,Tottenham,34.0,watford
2017-01-03,Premier League,Away,L,0,2,Stoke City,46.0,watford
2017-01-07,FA Cup,Home,W,2,0,Burton Albion,,watford
2017-01-14,Premier League,Home,D,0,0,Middlesbrough,47.0,watford
2017-01-21,Premier League,Away,D,2,2,Bournemouth,37.0,watford
2017-01-29,FA Cup,Away,L,0,1,Millwall,,watford
2017-01-31,Premier League,Away,W,2,1,Arsenal,26.0,watford
2017-02-04,Premier League,Home,W,2,1,Burnley,60.0,watford
2017-02-11,Premier League,Away,L,0,2,Manchester Utd,42.0,watford
2017-02-25,Premier League,Home,D,1,1,West Ham,36.0,watford
2017-03-04,Premier League,Home,L,3,4,Southampton,37.0,watford
2017-03-18,Premier League,Away,L,0,1,Crystal Palace,57.0,watford
2017-04-01,Premier League,Home,W,1,0,Sunderland,57.0,watford
2017-04-04,Premier League,Home,W,2,0,West Brom,55.0,watford
2017-04-08,Premier League,Away,L,0,4,Tottenham,42.0,watford
2017-04-15,Premier League,Home,W,1,0,Swansea City,53.0,watford
2017-04-22,Premier League,Away,L,0,2,Hull City,66.0,watford
2017-05-01,Premier League,Home,L,0,1,Liverpool,40.0,watford
2017-05-06,Premier League,Away,L,0,3,Leicester City,58.0,watford
2017-05-12,Premier League,Away,L,0,1,Everton,37.0,watford
2017-05-15,Premier League,Away,L,3,4,Chelsea,53.0,watford
2017-05-21,Premier League,Home,L,0,5,Manchester City,33.0,watford
2016-08-13,Premier League,Away,W,1,0,Crystal Palace,38.0,west-brom
2016-08-20,Premier League,Home,L,1,2,Everton,34.0,west-brom
2016-08-23,EFL Cup,Away,D,2 (3),2 (4),Northampton,50.0,west-brom
2016-08-28,Premier League,Home,D,0,0,Middlesbrough,41.0,west-brom
2016-09-10,Premier League,Away,L,0,1,Bournemouth,37.0,west-brom
2016-09-17,Premier League,Home,W,4,2,West Ham,30.0,west-brom
2016-09-24,Premier League,Away,D,1,1,Stoke City,44.0,west-brom
2016-10-01,Premier League,Away,D,1,1,Sunderland,44.0,west-brom
2016-10-15,Premier League,Home,D,1,1,Tottenham,29.0,west-brom
2016-10-22,Premier League,Away,L,1,2,Liverpool,33.0,west-brom
2016-10-29,Premier League,Home,L,0,4,Manchester City,30.0,west-brom
2016-11-06,Premier League,Away,W,2,1,Leicester City,41.0,west-brom
2016-11-21,Premier League,Home,W,4,0,Burnley,46.0,west-brom
2016-11-26,Premier League,Away,D,1,1,Hull City,47.0,west-brom
2016-12-03,Premier League,Home,W,3,1,Watford,40.0,west-brom
2016-12-11,Premier League,Away,L,0,1,Chelsea,33.0,west-brom
2016-12-14,Premier League,Home,W,3,1,Swansea City,40.0,west-brom
2016-12-17,Premier League,Home,L,0,2,Manchester Utd,42.0,west-brom
2016-12-26,Premier League,Away,L,0,1,Arsenal,24.0,west-brom
2016-12-31,Premier League,Away,W,2,1,Southampton,32.0,west-brom
2017-01-02,Premier League,Home,W,3,1,Hull City,41.0,west-brom
2017-01-07,FA Cup,Home,L,1,2,Derby County,,west-brom
2017-01-14,Premier League,Away,L,0,4,Tottenham,27.0,west-brom
2017-01-21,Premier League,Home,W,2,0,Sunderland,44.0,west-brom
2017-01-31,Premier League,Away,D,1,1,Middlesbrough,38.0,west-brom
2017-02-04,Premier League,Home,W,1,0,Stoke City,38.0,west-brom
2017-02-11,Premier League,Away,D,2,2,West Ham,35.0,west-brom
2017-02-25,Premier League,Home,W,2,1,Bournemouth,32.0,west-brom
2017-03-04,Premier League,Home,L,0,2,Crystal Palace,52.0,west-brom
2017-03-11,Premier League,Away,L,0,3,Everton,37.0,west-brom
2017-03-18,Premier League,Home,W,3,1,Arsenal,23.0,west-brom
2017-04-01,Premier League,Away,D,0,0,Manchester Utd,25.0,west-brom
2017-04-04,Premier League,Away,L,0,2,Watford,45.0,west-brom
2017-04-08,Premier League,Home,L,0,1,Southampton,42.0,west-brom
2017-04-16,Premier League,Home,L,0,1,Liverpool,36.0,west-brom
2017-04-29,Premier League,Home,L,0,1,Leicester City,55.0,west-brom
2017-05-06,Premier League,Away,D,2,2,Burnley,45.0,west-brom
2017-05-12,Premier League,Home,L,0,1,Chelsea,32.0,west-brom
2017-05-16,Premier League,Away,L,1,3,Manchester City,29.0,west-brom
2017-05-21,Premier League,Away,L,1,2,Swansea City,35.0,west-brom
2016-07-28,Europa Lg,Away,L,1,2,si NK Domžale,59.0,west-ham
2016-08-04,Europa Lg,Home,W,3,0,si NK Domžale,,west-ham
2016-08-15,Premier League,Away,L,1,2,Chelsea,38.0,west-ham
2016-08-18,Europa Lg,Away,D,1,1,ro Astra Giurgiu,44.0,west-ham
2016-08-21,Premier League,Home,W,1,0,Bournemouth,47.0,west-ham
2016-08-25,Europa Lg,Home,L,0,1,ro Astra Giurgiu,65.0,west-ham
2016-08-28,Premier League,Away,L,1,3,Manchester City,33.0,west-ham
2016-09-10,Premier League,Home,L,2,4,Watford,58.0,west-ham
2016-09-17,Premier League,Away,L,2,4,West Brom,70.0,west-ham
2016-09-21,EFL Cup,Home,W,1,0,Acc'ton Stanley,63.0,west-ham
2016-09-25,Premier League,Home,L,0,3,Southampton,45.0,west-ham
2016-10-01,Premier League,Home,D,1,1,Middlesbrough,40.0,west-ham
2016-10-15,Premier League,Away,W,1,0,Crystal Palace,45.0,west-ham
2016-10-22,Premier League,Home,W,1,0,Sunderland,64.0,west-ham
2016-10-26,EFL Cup,Home,W,2,1,Chelsea,47.0,west-ham
2016-10-30,Premier League,Away,L,0,2,Everton,51.0,west-ham
2016-11-05,Premier League,Home,D,1,1,Stoke City,58.0,west-ham
2016-11-19,Premier League,Away,L,2,3,Tottenham,33.0,west-ham
2016-11-27,Premier League,Away,D,1,1,Manchester Utd,32.0,west-ham
2016-11-30,EFL Cup,Away,L,1,4,Manchester Utd,43.0,west-ham
2016-12-03,Premier League,Home,L,1,5,Arsenal,51.0,west-ham
2016-12-11,Premier League,Away,D,2,2,Liverpool,32.0,west-ham
2016-12-14,Premier League,Home,W,1,0,Burnley,58.0,west-ham
2016-12-17,Premier League,Home,W,1,0,Hull City,56.0,west-ham
2016-12-26,Premier League,Away,W,4,1,Swansea City,44.0,west-ham
2016-12-31,Premier League,Away,L,0,1,Leicester City,60.0,west-ham
2017-01-02,Premier League,Home,L,0,2,Manchester Utd,36.0,west-ham
2017-01-06,FA Cup,Home,L,0,5,Manchester City,,west-ham
2017-01-14,Premier League,Home,W,3,0,Crystal Palace,44.0,west-ham
2017-01-21,Premier League,Away,W,3,1,Middlesbrough,39.0,west-ham
2017-02-01,Premier League,Home,L,0,4,Manchester City,30.0,west-ham
2017-02-04,Premier League,Away,W,3,1,Southampton,45.0,west-ham
2017-02-11,Premier League,Home,D,2,2,West Brom,65.0,west-ham
2017-02-25,Premier League,Away,D,1,1,Watford,64.0,west-ham
2017-03-06,Premier League,Home,L,1,2,Chelsea,52.0,west-ham
2017-03-11,Premier League,Away,L,2,3,Bournemouth,48.0,west-ham
2017-03-18,Premier League,Home,L,2,3,Leicester City,59.0,west-ham
2017-04-01,Premier League,Away,L,1,2,Hull City,55.0,west-ham
2017-04-05,Premier League,Away,L,0,3,Arsenal,34.0,west-ham
2017-04-08,Premier League,Home,W,1,0,Swansea City,46.0,west-ham
2017-04-15,Premier League,Away,D,2,2,Sunderland,53.0,west-ham
2017-04-22,Premier League,Home,D,0,0,Everton,41.0,west-ham
2017-04-29,Premier League,Away,D,0,0,Stoke City,43.0,west-ham
2017-05-05,Premier League,Home,W,1,0,Tottenham,32.0,west-ham
2017-05-14,Premier League,Home,L,0,4,Liverpool,33.0,west-ham
2017-05-21,Premier League,Away,W,2,1,Burnley,56.0,west-ham
