Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team,Match Number
2016-02-06,Premier League,Sat,Away,L,0,1,Tottenham,34.0,watford,25.0
2016-02-13,Premier League,Sat,Away,W,2,1,Crystal Palace,46.0,watford,26.0
2016-02-20,FA Cup,Sat,Home,W,1,0,Leeds United,,watford,
2016-02-27,Premier League,Sat,Home,D,0,0,Bournemouth,47.0,watford,27.0
2016-03-02,Premier League,Wed,Away,L,0,1,Manchester Utd,39.0,watford,28.0
2016-03-05,Premier League,Sat,Home,L,0,1,Leicester City,50.0,watford,29.0
2016-03-13,FA Cup,Sun,Away,W,2,1,Arsenal,,watford,
2016-03-19,Premier League,Sat,Home,L,1,2,Stoke City,52.0,watford,30.0
2016-04-02,Premier League,Sat,Away,L,0,4,Arsenal,31.0,watford,31.0
2016-04-09,Premier League,Sat,Home,D,1,1,Everton,42.0,watford,32.0
2016-04-16,Premier League,Sat,Away,W,1,0,West Brom,43.0,watford,33.0
2016-04-20,Premier League,Wed,Away,L,1,3,West Ham,54.0,watford,34.0
2016-04-24,FA Cup,Sun,Away,L,1,2,Crystal Palace,,watford,
2016-04-30,Premier League,Sat,Home,W,3,2,Aston Villa,65.0,watford,35.0
2016-05-08,Premier League,Sun,Away,L,0,2,Liverpool,34.0,watford,36.0
2016-05-11,Premier League,Wed,Away,L,2,4,Norwich City,44.0,watford,37.0
2016-05-15,Premier League,Sun,Home,D,2,2,Sunderland,54.0,watford,38.0
2015-08-10,Premier League,Mon,Home,L,0,3,Manchester City,31.0,west-brom,1.0
2015-08-15,Premier League,Sat,Away,D,0,0,Watford,36.0,west-brom,2.0
2015-08-23,Premier League,Sun,Home,L,2,3,Chelsea,44.0,west-brom,3.0
2015-08-25,League Cup,Tue,Home,D,0 (5),0 (3),Port Vale,,west-brom,
2015-08-29,Premier League,Sat,Away,W,1,0,Stoke City,51.0,west-brom,4.0
2015-09-12,Premier League,Sat,Home,D,0,0,Southampton,35.0,west-brom,5.0
2015-09-19,Premier League,Sat,Away,W,1,0,Aston Villa,40.0,west-brom,6.0
2015-09-23,League Cup,Wed,Away,L,0,3,Norwich City,,west-brom,
2015-09-28,Premier League,Mon,Home,L,2,3,Everton,46.0,west-brom,7.0
2015-10-03,Premier League,Sat,Away,L,0,2,Crystal Palace,40.0,west-brom,8.0
2015-10-17,Premier League,Sat,Home,W,1,0,Sunderland,56.0,west-brom,9.0
2015-10-24,Premier League,Sat,Away,W,1,0,Norwich City,39.0,west-brom,10.0
2015-10-31,Premier League,Sat,Home,L,2,3,Leicester City,48.0,west-brom,11.0
2015-11-07,Premier League,Sat,Away,L,0,2,Manchester Utd,32.0,west-brom,12.0
2015-11-21,Premier League,Sat,Home,W,2,1,Arsenal,27.0,west-brom,13.0
2015-11-29,Premier League,Sun,Away,D,1,1,West Ham,39.0,west-brom,14.0
2015-12-05,Premier League,Sat,Home,D,1,1,Tottenham,35.0,west-brom,15.0
2015-12-13,Premier League,Sun,Away,D,2,2,Liverpool,30.0,west-brom,16.0
2015-12-19,Premier League,Sat,Home,L,1,2,Bournemouth,33.0,west-brom,17.0
2015-12-26,Premier League,Sat,Away,L,0,1,Swansea City,45.0,west-brom,18.0
2015-12-28,Premier League,Mon,Home,W,1,0,Newcastle Utd,52.0,west-brom,19.0
2016-01-02,Premier League,Sat,Home,W,2,1,Stoke City,46.0,west-brom,20.0
2016-01-09,FA Cup,Sat,Home,D,2,2,Bristol City,,west-brom,
2016-01-13,Premier League,Wed,Away,D,2,2,Chelsea,39.0,west-brom,21.0
2016-01-16,Premier League,Sat,Away,L,0,3,Southampton,44.0,west-brom,22.0
2016-01-19,FA Cup,Tue,Away,W,1,0,Bristol City,,west-brom,
2016-01-23,Premier League,Sat,Home,D,0,0,Aston Villa,39.0,west-brom,23.0
2016-01-30,FA Cup,Sat,Home,D,2,2,P'borough Utd,,west-brom,
2016-02-02,Premier League,Tue,Home,D,1,1,Swansea City,45.0,west-brom,24.0
2016-02-06,Premier League,Sat,Away,L,0,1,Newcastle Utd,31.0,west-brom,25.0
2016-02-10,FA Cup,Wed,Away,D,1 (4),1 (3),P'borough Utd,,west-brom,
2016-02-13,Premier League,Sat,Away,W,1,0,Everton,24.0,west-brom,26.0
2016-02-20,FA Cup,Sat,Away,L,1,3,Reading,,west-brom,
2016-02-27,Premier League,Sat,Home,W,3,2,Crystal Palace,46.0,west-brom,27.0
2016-03-01,Premier League,Tue,Away,D,2,2,Leicester City,35.0,west-brom,28.0
2016-03-06,Premier League,Sun,Home,W,1,0,Manchester Utd,47.0,west-brom,29.0
2016-03-19,Premier League,Sat,Home,L,0,1,Norwich City,50.0,west-brom,30.0
2016-04-02,Premier League,Sat,Away,D,0,0,Sunderland,43.0,west-brom,31.0
2016-04-09,Premier League,Sat,Away,L,1,2,Manchester City,38.0,west-brom,32.0
2016-04-16,Premier League,Sat,Home,L,0,1,Watford,57.0,west-brom,33.0
2016-04-21,Premier League,Thu,Away,L,0,2,Arsenal,29.0,west-brom,34.0
2016-04-25,Premier League,Mon,Away,D,1,1,Tottenham,34.0,west-brom,35.0
2016-04-30,Premier League,Sat,Home,L,0,3,West Ham,41.0,west-brom,36.0
2016-05-07,Premier League,Sat,Away,D,1,1,Bournemouth,31.0,west-brom,37.0
2016-05-15,Premier League,Sun,Home,D,1,1,Liverpool,33.0,west-brom,38.0
2015-07-02,Europa Lg,Thu,Home,W,3,0,ad FC Lusitanos,,west-ham,
2015-07-09,Europa Lg,Thu,Away,W,1,0,ad FC Lusitanos,,west-ham,
2015-07-16,Europa Lg,Thu,Home,W,1,0,mt Birkirkara FC,,west-ham,
2015-07-23,Europa Lg,Thu,Away,W,0 (5),1 (3),mt Birkirkara FC,,west-ham,
2015-07-30,Europa Lg,Thu,Home,D,2,2,ro Astra Giurgiu,,west-ham,
2015-08-06,Europa Lg,Thu,Away,L,1,2,ro Astra Giurgiu,,west-ham,
2015-08-09,Premier League,Sun,Away,W,2,0,Arsenal,38.0,west-ham,1.0
2015-08-15,Premier League,Sat,Home,L,1,2,Leicester City,70.0,west-ham,2.0
2015-08-22,Premier League,Sat,Home,L,3,4,Bournemouth,46.0,west-ham,3.0
2015-08-29,Premier League,Sat,Away,W,3,0,Liverpool,37.0,west-ham,4.0
2015-09-14,Premier League,Mon,Home,W,2,0,Newcastle Utd,39.0,west-ham,5.0
2015-09-19,Premier League,Sat,Away,W,2,1,Manchester City,29.0,west-ham,6.0
2015-09-22,League Cup,Tue,Away,L,1,2,Leicester City,,west-ham,
2015-09-26,Premier League,Sat,Home,D,2,2,Norwich City,43.0,west-ham,7.0
2015-10-03,Premier League,Sat,Away,D,2,2,Sunderland,56.0,west-ham,8.0
2015-10-17,Premier League,Sat,Away,W,3,1,Crystal Palace,62.0,west-ham,9.0
2015-10-24,Premier League,Sat,Home,W,2,1,Chelsea,46.0,west-ham,10.0
2015-10-31,Premier League,Sat,Away,L,0,2,Watford,49.0,west-ham,11.0
2015-11-07,Premier League,Sat,Home,D,1,1,Everton,51.0,west-ham,12.0
2015-11-22,Premier League,Sun,Away,L,1,4,Tottenham,44.0,west-ham,13.0
2015-11-29,Premier League,Sun,Home,D,1,1,West Brom,61.0,west-ham,14.0
2015-12-05,Premier League,Sat,Away,D,0,0,Manchester Utd,37.0,west-ham,15.0
2015-12-12,Premier League,Sat,Home,D,0,0,Stoke City,47.0,west-ham,16.0
2015-12-20,Premier League,Sun,Away,D,0,0,Swansea City,27.0,west-ham,17.0
2015-12-26,Premier League,Sat,Away,D,1,1,Aston Villa,41.0,west-ham,18.0
2015-12-28,Premier League,Mon,Home,W,2,1,Southampton,49.0,west-ham,19.0
2016-01-02,Premier League,Sat,Home,W,2,0,Liverpool,36.0,west-ham,20.0
2016-01-09,FA Cup,Sat,Home,W,1,0,Wolves,,west-ham,
2016-01-12,Premier League,Tue,Away,W,3,1,Bournemouth,51.0,west-ham,21.0
2016-01-16,Premier League,Sat,Away,L,1,2,Newcastle Utd,49.0,west-ham,22.0
2016-01-23,Premier League,Sat,Home,D,2,2,Manchester City,47.0,west-ham,23.0
2016-01-30,FA Cup,Sat,Away,D,0,0,Liverpool,,west-ham,
2016-02-02,Premier League,Tue,Home,W,2,0,Aston Villa,68.0,west-ham,24.0
2016-02-06,Premier League,Sat,Away,L,0,1,Southampton,65.0,west-ham,25.0
2016-02-09,FA Cup,Tue,Home,W,2,1,Liverpool,,west-ham,
2016-02-13,Premier League,Sat,Away,D,2,2,Norwich City,52.0,west-ham,26.0
2016-02-21,FA Cup,Sun,Away,W,5,1,Blackburn,,west-ham,
2016-02-27,Premier League,Sat,Home,W,1,0,Sunderland,53.0,west-ham,27.0
2016-03-02,Premier League,Wed,Home,W,1,0,Tottenham,35.0,west-ham,28.0
2016-03-05,Premier League,Sat,Away,W,3,2,Everton,58.0,west-ham,29.0
2016-03-13,FA Cup,Sun,Away,D,1,1,Manchester Utd,,west-ham,
2016-03-19,Premier League,Sat,Away,D,2,2,Chelsea,41.0,west-ham,30.0
2016-04-02,Premier League,Sat,Home,D,2,2,Crystal Palace,67.0,west-ham,31.0
2016-04-09,Premier League,Sat,Home,D,3,3,Arsenal,39.0,west-ham,32.0
2016-04-13,FA Cup,Wed,Home,L,1,2,Manchester Utd,,west-ham,
2016-04-17,Premier League,Sun,Away,D,2,2,Leicester City,57.0,west-ham,33.0
2016-04-20,Premier League,Wed,Home,W,3,1,Watford,46.0,west-ham,34.0
2016-04-30,Premier League,Sat,Away,W,3,0,West Brom,59.0,west-ham,35.0
2016-05-07,Premier League,Sat,Home,L,1,4,Swansea City,52.0,west-ham,36.0
2016-05-10,Premier League,Tue,Home,W,3,2,Manchester Utd,41.0,west-ham,37.0
2016-05-15,Premier League,Sun,Away,L,1,2,Stoke City,53.0,west-ham,38.0
