Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team
2014-09-13,Premier League,Sat,Away,W,1,0,Stoke City,41.0,leicester
2014-09-21,Premier League,Sun,Home,W,5,3,Manchester Utd,43.0,leicester
2014-09-27,Premier League,Sat,Away,L,0,2,Crystal Palace,60.0,leicester
2014-10-04,Premier League,Sat,Home,D,2,2,Burnley,54.0,leicester
2014-10-18,Premier League,Sat,Away,L,0,1,Newcastle Utd,50.0,leicester
2014-10-25,Premier League,Sat,Away,L,0,2,Swansea City,51.0,leicester
2014-11-01,Premier League,Sat,Home,L,0,1,West Brom,56.0,leicester
2014-11-08,Premier League,Sat,Away,L,0,2,Southampton,36.0,leicester
2014-11-22,Premier League,Sat,Home,D,0,0,Sunderland,40.0,leicester
2014-11-29,Premier League,Sat,Away,L,2,3,QPR,41.0,leicester
2014-12-02,Premier League,Tue,Home,L,1,3,Liverpool,47.0,leicester
2014-12-07,Premier League,Sun,Away,L,1,2,Aston Villa,35.0,leicester
2014-12-13,Premier League,Sat,Home,L,0,1,Manchester City,43.0,leicester
2014-12-20,Premier League,Sat,Away,L,0,2,West Ham,52.0,leicester
2014-12-26,Premier League,Fri,Home,L,1,2,Tottenham,50.0,leicester
2014-12-28,Premier League,Sun,Away,W,1,0,Hull City,38.0,leicester
2015-01-01,Premier League,Thu,Away,D,2,2,Liverpool,41.0,leicester
2015-01-03,FA Cup,Sat,Home,W,1,0,Newcastle Utd,,leicester
2015-01-10,Premier League,Sat,Home,W,1,0,Aston Villa,38.0,leicester
2015-01-17,Premier League,Sat,Home,L,0,1,Stoke City,43.0,leicester
2015-01-24,FA Cup,Sat,Away,W,2,1,Tottenham,,leicester
2015-01-31,Premier League,Sat,Away,L,1,3,Manchester Utd,29.0,leicester
2015-02-07,Premier League,Sat,Home,L,0,1,Crystal Palace,62.0,leicester
2015-02-10,Premier League,Tue,Away,L,1,2,Arsenal,43.0,leicester
2015-02-15,FA Cup,Sun,Away,L,1,2,Aston Villa,,leicester
2015-02-22,Premier League,Sun,Away,D,2,2,Everton,42.0,leicester
2015-03-04,Premier League,Wed,Away,L,0,2,Manchester City,31.0,leicester
2015-03-14,Premier League,Sat,Home,D,0,0,Hull City,51.0,leicester
2015-03-21,Premier League,Sat,Away,L,3,4,Tottenham,34.0,leicester
2015-04-04,Premier League,Sat,Home,W,2,1,West Ham,50.0,leicester
2015-04-11,Premier League,Sat,Away,W,3,2,West Brom,54.0,leicester
2015-04-18,Premier League,Sat,Home,W,2,0,Swansea City,41.0,leicester
2015-04-25,Premier League,Sat,Away,W,1,0,Burnley,40.0,leicester
2015-04-29,Premier League,Wed,Home,L,1,3,Chelsea,37.0,leicester
2015-05-02,Premier League,Sat,Home,W,3,0,Newcastle Utd,48.0,leicester
2015-05-09,Premier League,Sat,Home,W,2,0,Southampton,31.0,leicester
2015-05-16,Premier League,Sat,Away,D,0,0,Sunderland,49.0,leicester
2015-05-24,Premier League,Sun,Home,W,5,1,QPR,46.0,leicester
2014-08-17,Premier League,Sun,Home,W,2,1,Southampton,56.0,liverpool
2014-08-25,Premier League,Mon,Away,L,1,3,Manchester City,47.0,liverpool
2014-08-31,Premier League,Sun,Away,W,3,0,Tottenham,40.0,liverpool
2014-09-13,Premier League,Sat,Home,L,0,1,Aston Villa,75.0,liverpool
2014-09-16,Champions Lg,Tue,Home,W,2,1,bg Ludogorets,58.0,liverpool
2014-09-20,Premier League,Sat,Away,L,1,3,West Ham,62.0,liverpool
2014-09-23,League Cup,Tue,Home,D,2 (14),2 (13),Middlesbrough,,liverpool
2014-09-27,Premier League,Sat,Home,D,1,1,Everton,46.0,liverpool
2014-10-01,Champions Lg,Wed,Away,L,0,1,ch Basel,45.0,liverpool
2014-10-04,Premier League,Sat,Home,W,2,1,West Brom,54.0,liverpool
2014-10-19,Premier League,Sun,Away,W,3,2,QPR,57.0,liverpool
2014-10-22,Champions Lg,Wed,Home,L,0,3,es Real Madrid,47.0,liverpool
2014-10-25,Premier League,Sat,Home,D,0,0,Hull City,66.0,liverpool
2014-10-28,League Cup,Tue,Home,W,2,1,Swansea City,,liverpool
2014-11-01,Premier League,Sat,Away,L,0,1,Newcastle Utd,65.0,liverpool
2014-11-04,Champions Lg,Tue,Away,L,0,1,es Real Madrid,43.0,liverpool
2014-11-08,Premier League,Sat,Home,L,1,2,Chelsea,58.0,liverpool
2014-11-23,Premier League,Sun,Away,L,1,3,Crystal Palace,64.0,liverpool
2014-11-26,Champions Lg,Wed,Away,D,2,2,bg Ludogorets,44.0,liverpool
2014-11-29,Premier League,Sat,Home,W,1,0,Stoke City,48.0,liverpool
2014-12-02,Premier League,Tue,Away,W,3,1,Leicester City,53.0,liverpool
2014-12-06,Premier League,Sat,Home,D,0,0,Sunderland,53.0,liverpool
2014-12-09,Champions Lg,Tue,Home,D,1,1,ch Basel,58.0,liverpool
2014-12-14,Premier League,Sun,Away,L,0,3,Manchester Utd,45.0,liverpool
2014-12-17,League Cup,Wed,Away,W,3,1,Bournemouth,,liverpool
2014-12-21,Premier League,Sun,Home,D,2,2,Arsenal,64.0,liverpool
2014-12-26,Premier League,Fri,Away,W,1,0,Burnley,52.0,liverpool
2014-12-29,Premier League,Mon,Home,W,4,1,Swansea City,44.0,liverpool
2015-01-01,Premier League,Thu,Home,D,2,2,Leicester City,59.0,liverpool
2015-01-05,FA Cup,Mon,Away,W,2,1,AFC Wimbledon,,liverpool
2015-01-10,Premier League,Sat,Away,W,1,0,Sunderland,53.0,liverpool
2015-01-17,Premier League,Sat,Away,W,2,0,Aston Villa,52.0,liverpool
2015-01-20,League Cup,Tue,Home,D,1,1,Chelsea,,liverpool
2015-01-24,FA Cup,Sat,Home,D,0,0,Bolton,,liverpool
2015-01-27,League Cup,Tue,Away,L,0,1,Chelsea,,liverpool
2015-01-31,Premier League,Sat,Home,W,2,0,West Ham,66.0,liverpool
2015-02-04,FA Cup,Wed,Away,W,2,1,Bolton,,liverpool
2015-02-07,Premier League,Sat,Away,D,0,0,Everton,54.0,liverpool
2015-02-10,Premier League,Tue,Home,W,3,2,Tottenham,49.0,liverpool
2015-02-14,FA Cup,Sat,Away,W,2,1,Crystal Palace,,liverpool
2015-02-19,Europa Lg,Thu,Home,W,1,0,tr Beşiktaş,59.0,liverpool
2015-02-22,Premier League,Sun,Away,W,2,0,Southampton,40.0,liverpool
2015-02-26,Europa Lg,Thu,Away,L,0 (4),1 (5),tr Beşiktaş,45.0,liverpool
2015-03-01,Premier League,Sun,Home,W,2,1,Manchester City,48.0,liverpool
2015-03-04,Premier League,Wed,Home,W,2,0,Burnley,63.0,liverpool
2015-03-08,FA Cup,Sun,Home,D,0,0,Blackburn,,liverpool
2015-03-16,Premier League,Mon,Away,W,1,0,Swansea City,54.0,liverpool
2015-03-22,Premier League,Sun,Home,L,1,2,Manchester Utd,42.0,liverpool
2015-04-04,Premier League,Sat,Away,L,1,4,Arsenal,51.0,liverpool
2015-04-08,FA Cup,Wed,Away,W,1,0,Blackburn,,liverpool
2015-04-13,Premier League,Mon,Home,W,2,0,Newcastle Utd,62.0,liverpool
2015-04-19,FA Cup,Sun,Away,L,1,2,Aston Villa,,liverpool
2015-04-25,Premier League,Sat,Away,D,0,0,West Brom,73.0,liverpool
2015-04-28,Premier League,Tue,Away,L,0,1,Hull City,69.0,liverpool
2015-05-02,Premier League,Sat,Home,W,2,1,QPR,62.0,liverpool
2015-05-10,Premier League,Sun,Away,D,1,1,Chelsea,52.0,liverpool
2015-05-16,Premier League,Sat,Home,L,1,3,Crystal Palace,66.0,liverpool
2015-05-24,Premier League,Sun,Away,L,1,6,Stoke City,55.0,liverpool
2014-08-17,Premier League,Sun,Home,L,0,2,Manchester City,44.0,newcastle
2014-08-23,Premier League,Sat,Away,D,0,0,Aston Villa,60.0,newcastle
2014-08-26,League Cup,Tue,Away,W,1,0,Gillingham,,newcastle
2014-08-30,Premier League,Sat,Home,D,3,3,Crystal Palace,64.0,newcastle
2014-09-13,Premier League,Sat,Away,L,0,4,Southampton,50.0,newcastle
2014-09-20,Premier League,Sat,Home,D,2,2,Hull City,63.0,newcastle
2014-09-24,League Cup,Wed,Away,W,3,2,Crystal Palace,,newcastle
2014-09-29,Premier League,Mon,Away,L,0,1,Stoke City,56.0,newcastle
2014-10-04,Premier League,Sat,Away,D,2,2,Swansea City,37.0,newcastle
2014-10-18,Premier League,Sat,Home,W,1,0,Leicester City,51.0,newcastle
2014-10-26,Premier League,Sun,Away,W,2,1,Tottenham,33.0,newcastle
2014-10-29,League Cup,Wed,Away,W,2,0,Manchester City,,newcastle
2014-11-01,Premier League,Sat,Home,W,1,0,Liverpool,36.0,newcastle
2014-11-09,Premier League,Sun,Away,W,2,0,West Brom,42.0,newcastle
2014-11-22,Premier League,Sat,Home,W,1,0,QPR,54.0,newcastle
2014-11-29,Premier League,Sat,Away,L,0,1,West Ham,53.0,newcastle
2014-12-02,Premier League,Tue,Away,D,1,1,Burnley,58.0,newcastle
2014-12-06,Premier League,Sat,Home,W,2,1,Chelsea,34.0,newcastle
2014-12-13,Premier League,Sat,Away,L,1,4,Arsenal,49.0,newcastle
2014-12-17,League Cup,Wed,Away,L,0,4,Tottenham,,newcastle
2014-12-21,Premier League,Sun,Home,L,0,1,Sunderland,52.0,newcastle
2014-12-26,Premier League,Fri,Away,L,1,3,Manchester Utd,38.0,newcastle
2014-12-28,Premier League,Sun,Home,W,3,2,Everton,53.0,newcastle
2015-01-01,Premier League,Thu,Home,D,3,3,Burnley,52.0,newcastle
2015-01-03,FA Cup,Sat,Away,L,0,1,Leicester City,,newcastle
2015-01-10,Premier League,Sat,Away,L,0,2,Chelsea,37.0,newcastle
2015-01-17,Premier League,Sat,Home,L,1,2,Southampton,58.0,newcastle
2015-01-31,Premier League,Sat,Away,W,3,0,Hull City,47.0,newcastle
2015-02-08,Premier League,Sun,Home,D,1,1,Stoke City,42.0,newcastle
2015-02-11,Premier League,Wed,Away,D,1,1,Crystal Palace,47.0,newcastle
2015-02-21,Premier League,Sat,Away,L,0,5,Manchester City,43.0,newcastle
2015-02-28,Premier League,Sat,Home,W,1,0,Aston Villa,50.0,newcastle
2015-03-04,Premier League,Wed,Home,L,0,1,Manchester Utd,32.0,newcastle
2015-03-15,Premier League,Sun,Away,L,0,3,Everton,46.0,newcastle
2015-03-21,Premier League,Sat,Home,L,1,2,Arsenal,51.0,newcastle
2015-04-05,Premier League,Sun,Away,L,0,1,Sunderland,47.0,newcastle
2015-04-13,Premier League,Mon,Away,L,0,2,Liverpool,38.0,newcastle
2015-04-19,Premier League,Sun,Home,L,1,3,Tottenham,39.0,newcastle
2015-04-25,Premier League,Sat,Home,L,2,3,Swansea City,48.0,newcastle
2015-05-02,Premier League,Sat,Away,L,0,3,Leicester City,52.0,newcastle
2015-05-09,Premier League,Sat,Home,D,1,1,West Brom,61.0,newcastle
2015-05-16,Premier League,Sat,Away,L,1,2,QPR,53.0,newcastle
2015-05-24,Premier League,Sun,Home,W,2,0,West Ham,41.0,newcastle
2014-08-16,Premier League,Sat,Away,L,1,2,Arsenal,24.0,palace
2014-08-23,Premier League,Sat,Home,L,1,3,West Ham,46.0,palace
2014-08-26,League Cup,Tue,Away,W,3,0,Walsall,,palace
2014-08-30,Premier League,Sat,Away,D,3,3,Newcastle Utd,36.0,palace
2014-09-13,Premier League,Sat,Home,D,0,0,Burnley,45.0,palace
2014-09-21,Premier League,Sun,Away,W,3,2,Everton,25.0,palace
2014-09-24,League Cup,Wed,Home,L,2,3,Newcastle Utd,,palace
2014-09-27,Premier League,Sat,Home,W,2,0,Leicester City,40.0,palace
2014-10-04,Premier League,Sat,Away,L,0,2,Hull City,41.0,palace
2014-10-18,Premier League,Sat,Home,L,1,2,Chelsea,29.0,palace
2014-10-25,Premier League,Sat,Away,D,2,2,West Brom,31.0,palace
2014-11-03,Premier League,Mon,Home,L,1,3,Sunderland,54.0,palace
2014-11-08,Premier League,Sat,Away,L,0,1,Manchester Utd,29.0,palace
2014-11-23,Premier League,Sun,Home,W,3,1,Liverpool,36.0,palace
2014-11-29,Premier League,Sat,Away,D,1,1,Swansea City,36.0,palace
2014-12-02,Premier League,Tue,Home,L,0,1,Aston Villa,46.0,palace
2014-12-06,Premier League,Sat,Away,D,0,0,Tottenham,32.0,palace
2014-12-13,Premier League,Sat,Home,D,1,1,Stoke City,44.0,palace
2014-12-20,Premier League,Sat,Away,L,0,3,Manchester City,28.0,palace
2014-12-26,Premier League,Fri,Home,L,1,3,Southampton,43.0,palace
2014-12-28,Premier League,Sun,Away,D,0,0,QPR,46.0,palace
2015-01-01,Premier League,Thu,Away,D,0,0,Aston Villa,31.0,palace
2015-01-04,FA Cup,Sun,Away,W,4,0,Dover Athletic,,palace
2015-01-10,Premier League,Sat,Home,W,2,1,Tottenham,42.0,palace
2015-01-17,Premier League,Sat,Away,W,3,2,Burnley,49.0,palace
2015-01-24,FA Cup,Sat,Away,W,3,2,Southampton,,palace
2015-01-31,Premier League,Sat,Home,L,0,1,Everton,54.0,palace
2015-02-07,Premier League,Sat,Away,W,1,0,Leicester City,38.0,palace
2015-02-11,Premier League,Wed,Home,D,1,1,Newcastle Utd,54.0,palace
2015-02-14,FA Cup,Sat,Home,L,1,2,Liverpool,,palace
2015-02-21,Premier League,Sat,Home,L,1,2,Arsenal,53.0,palace
2015-02-28,Premier League,Sat,Away,W,3,1,West Ham,34.0,palace
2015-03-03,Premier League,Tue,Away,L,0,1,Southampton,38.0,palace
2015-03-14,Premier League,Sat,Home,W,3,1,QPR,44.0,palace
2015-03-21,Premier League,Sat,Away,W,2,1,Stoke City,43.0,palace
2015-04-06,Premier League,Mon,Home,W,2,1,Manchester City,26.0,palace
2015-04-11,Premier League,Sat,Away,W,4,1,Sunderland,46.0,palace
2015-04-18,Premier League,Sat,Home,L,0,2,West Brom,68.0,palace
2015-04-25,Premier League,Sat,Home,L,0,2,Hull City,47.0,palace
2015-05-03,Premier League,Sun,Away,L,0,1,Chelsea,38.0,palace
2015-05-09,Premier League,Sat,Home,L,1,2,Manchester Utd,38.0,palace
2015-05-16,Premier League,Sat,Away,W,3,1,Liverpool,34.0,palace
2015-05-24,Premier League,Sun,Home,W,1,0,Swansea City,47.0,palace
2014-08-16,Premier League,Sat,Home,L,0,1,Hull City,51.0,qpr
2014-08-24,Premier League,Sun,Away,L,0,4,Tottenham,35.0,qpr
2014-08-27,League Cup,Wed,Away,L,0,1,Burton Albion,,qpr
2014-08-30,Premier League,Sat,Home,W,1,0,Sunderland,40.0,qpr
2014-09-14,Premier League,Sun,Away,L,0,4,Manchester Utd,32.0,qpr
2014-09-20,Premier League,Sat,Home,D,2,2,Stoke City,53.0,qpr
2014-09-27,Premier League,Sat,Away,L,1,2,Southampton,45.0,qpr
2014-10-05,Premier League,Sun,Away,L,0,2,West Ham,52.0,qpr
2014-10-19,Premier League,Sun,Home,L,2,3,Liverpool,44.0,qpr
2014-10-27,Premier League,Mon,Home,W,2,0,Aston Villa,35.0,qpr
2014-11-01,Premier League,Sat,Away,L,1,2,Chelsea,36.0,qpr
2014-11-08,Premier League,Sat,Home,D,2,2,Manchester City,41.0,qpr
2014-11-22,Premier League,Sat,Away,L,0,1,Newcastle Utd,46.0,qpr
2014-11-29,Premier League,Sat,Home,W,3,2,Leicester City,59.0,qpr
2014-12-02,Premier League,Tue,Away,L,0,2,Swansea City,41.0,qpr
2014-12-06,Premier League,Sat,Home,W,2,0,Burnley,51.0,qpr
2014-12-15,Premier League,Mon,Away,L,1,3,Everton,47.0,qpr
2014-12-20,Premier League,Sat,Home,W,3,2,West Brom,43.0,qpr
2014-12-26,Premier League,Fri,Away,L,1,2,Arsenal,44.0,qpr
2014-12-28,Premier League,Sun,Home,D,0,0,Crystal Palace,54.0,qpr
2015-01-01,Premier League,Thu,Home,D,1,1,Swansea City,41.0,qpr
2015-01-04,FA Cup,Sun,Home,L,0,3,Sheffield Utd,,qpr
2015-01-10,Premier League,Sat,Away,L,1,2,Burnley,55.0,qpr
2015-01-17,Premier League,Sat,Home,L,0,2,Manchester Utd,38.0,qpr
2015-01-31,Premier League,Sat,Away,L,1,3,Stoke City,49.0,qpr
2015-02-07,Premier League,Sat,Home,L,0,1,Southampton,46.0,qpr
2015-02-10,Premier League,Tue,Away,W,2,0,Sunderland,47.0,qpr
2015-02-21,Premier League,Sat,Away,L,1,2,Hull City,46.0,qpr
2015-03-04,Premier League,Wed,Home,L,1,2,Arsenal,43.0,qpr
2015-03-07,Premier League,Sat,Home,L,1,2,Tottenham,38.0,qpr
2015-03-14,Premier League,Sat,Away,L,1,3,Crystal Palace,57.0,qpr
2015-03-22,Premier League,Sun,Home,L,1,2,Everton,52.0,qpr
2015-04-04,Premier League,Sat,Away,W,4,1,West Brom,45.0,qpr
2015-04-07,Premier League,Tue,Away,D,3,3,Aston Villa,36.0,qpr
2015-04-12,Premier League,Sun,Home,L,0,1,Chelsea,40.0,qpr
2015-04-25,Premier League,Sat,Home,D,0,0,West Ham,54.0,qpr
2015-05-02,Premier League,Sat,Away,L,1,2,Liverpool,38.0,qpr
2015-05-10,Premier League,Sun,Away,L,0,6,Manchester City,41.0,qpr
2015-05-16,Premier League,Sat,Home,W,2,1,Newcastle Utd,48.0,qpr
2015-05-24,Premier League,Sun,Away,L,1,5,Leicester City,54.0,qpr
2014-08-17,Premier League,Sun,Away,L,1,2,Liverpool,44.0,southampton
2014-08-23,Premier League,Sat,Home,D,0,0,West Brom,58.0,southampton
2014-08-26,League Cup,Tue,Away,W,2,0,Millwall,,southampton
2014-08-30,Premier League,Sat,Away,W,3,1,West Ham,64.0,southampton
2014-09-13,Premier League,Sat,Home,W,4,0,Newcastle Utd,50.0,southampton
2014-09-20,Premier League,Sat,Away,W,1,0,Swansea City,56.0,southampton
2014-09-23,League Cup,Tue,Away,W,2,1,Arsenal,,southampton
2014-09-27,Premier League,Sat,Home,W,2,1,QPR,55.0,southampton
2014-10-05,Premier League,Sun,Away,L,0,1,Tottenham,54.0,southampton
2014-10-18,Premier League,Sat,Home,W,8,0,Sunderland,53.0,southampton
2014-10-25,Premier League,Sat,Home,W,1,0,Stoke City,61.0,southampton
2014-10-29,League Cup,Wed,Away,W,3,2,Stoke City,,southampton
2014-11-01,Premier League,Sat,Away,W,1,0,Hull City,53.0,southampton
2014-11-08,Premier League,Sat,Home,W,2,0,Leicester City,64.0,southampton
2014-11-24,Premier League,Mon,Away,D,1,1,Aston Villa,64.0,southampton
2014-11-30,Premier League,Sun,Home,L,0,3,Manchester City,52.0,southampton
2014-12-03,Premier League,Wed,Away,L,0,1,Arsenal,41.0,southampton
2014-12-08,Premier League,Mon,Home,L,1,2,Manchester Utd,52.0,southampton
2014-12-13,Premier League,Sat,Away,L,0,1,Burnley,60.0,southampton
2014-12-16,League Cup,Tue,Away,L,0,1,Sheffield Utd,,southampton
2014-12-20,Premier League,Sat,Home,W,3,0,Everton,44.0,southampton
2014-12-26,Premier League,Fri,Away,W,3,1,Crystal Palace,57.0,southampton
2014-12-28,Premier League,Sun,Home,D,1,1,Chelsea,39.0,southampton
2015-01-01,Premier League,Thu,Home,W,2,0,Arsenal,42.0,southampton
2015-01-04,FA Cup,Sun,Home,D,1,1,Ipswich Town,,southampton
2015-01-11,Premier League,Sun,Away,W,1,0,Manchester Utd,40.0,southampton
2015-01-14,FA Cup,Wed,Away,W,1,0,Ipswich Town,,southampton
2015-01-17,Premier League,Sat,Away,W,2,1,Newcastle Utd,42.0,southampton
2015-01-24,FA Cup,Sat,Home,L,2,3,Crystal Palace,,southampton
2015-02-01,Premier League,Sun,Home,L,0,1,Swansea City,63.0,southampton
2015-02-07,Premier League,Sat,Away,W,1,0,QPR,54.0,southampton
2015-02-11,Premier League,Wed,Home,D,0,0,West Ham,67.0,southampton
2015-02-22,Premier League,Sun,Home,L,0,2,Liverpool,60.0,southampton
2015-02-28,Premier League,Sat,Away,L,0,1,West Brom,64.0,southampton
2015-03-03,Premier League,Tue,Home,W,1,0,Crystal Palace,62.0,southampton
2015-03-15,Premier League,Sun,Away,D,1,1,Chelsea,39.0,southampton
2015-03-21,Premier League,Sat,Home,W,2,0,Burnley,60.0,southampton
2015-04-04,Premier League,Sat,Away,L,0,1,Everton,55.0,southampton
2015-04-11,Premier League,Sat,Home,W,2,0,Hull City,54.0,southampton
2015-04-18,Premier League,Sat,Away,L,1,2,Stoke City,52.0,southampton
2015-04-25,Premier League,Sat,Home,D,2,2,Tottenham,36.0,southampton
2015-05-02,Premier League,Sat,Away,L,1,2,Sunderland,56.0,southampton
2015-05-09,Premier League,Sat,Away,L,0,2,Leicester City,69.0,southampton
2015-05-16,Premier League,Sat,Home,W,6,1,Aston Villa,36.0,southampton
2015-05-24,Premier League,Sun,Away,L,0,2,Manchester City,46.0,southampton
2014-08-16,Premier League,Sat,Home,L,0,1,Aston Villa,63.0,stoke
2014-08-24,Premier League,Sun,Away,D,1,1,Hull City,57.0,stoke
2014-08-27,League Cup,Wed,Home,W,3,0,Portsmouth,,stoke
2014-08-30,Premier League,Sat,Away,W,1,0,Manchester City,28.0,stoke
2014-09-13,Premier League,Sat,Home,L,0,1,Leicester City,59.0,stoke
2014-09-20,Premier League,Sat,Away,D,2,2,QPR,48.0,stoke
2014-09-23,League Cup,Tue,Away,W,2,1,Sunderland,,stoke
2014-09-29,Premier League,Mon,Home,W,1,0,Newcastle Utd,44.0,stoke
2014-10-04,Premier League,Sat,Away,L,1,3,Sunderland,61.0,stoke
2014-10-19,Premier League,Sun,Home,W,2,1,Swansea City,43.0,stoke
2014-10-25,Premier League,Sat,Away,L,0,1,Southampton,39.0,stoke
2014-10-29,League Cup,Wed,Home,L,2,3,Southampton,,stoke
2014-11-01,Premier League,Sat,Home,D,2,2,West Ham,60.0,stoke
2014-11-09,Premier League,Sun,Away,W,2,1,Tottenham,40.0,stoke
2014-11-22,Premier League,Sat,Home,L,1,2,Burnley,73.0,stoke
2014-11-29,Premier League,Sat,Away,L,0,1,Liverpool,52.0,stoke
2014-12-02,Premier League,Tue,Away,L,1,2,Manchester Utd,36.0,stoke
2014-12-06,Premier League,Sat,Home,W,3,2,Arsenal,43.0,stoke
2014-12-13,Premier League,Sat,Away,D,1,1,Crystal Palace,56.0,stoke
2014-12-22,Premier League,Mon,Home,L,0,2,Chelsea,51.0,stoke
2014-12-26,Premier League,Fri,Away,W,1,0,Everton,38.0,stoke
2014-12-28,Premier League,Sun,Home,W,2,0,West Brom,51.0,stoke
2015-01-01,Premier League,Thu,Home,D,1,1,Manchester Utd,34.0,stoke
2015-01-04,FA Cup,Sun,Home,W,3,1,Wrexham,,stoke
2015-01-11,Premier League,Sun,Away,L,0,3,Arsenal,46.0,stoke
2015-01-17,Premier League,Sat,Away,W,1,0,Leicester City,57.0,stoke
2015-01-26,FA Cup,Mon,Away,W,4,1,Rochdale,,stoke
2015-01-31,Premier League,Sat,Home,W,3,1,QPR,52.0,stoke
2015-02-08,Premier League,Sun,Away,D,1,1,Newcastle Utd,58.0,stoke
2015-02-11,Premier League,Wed,Home,L,1,4,Manchester City,51.0,stoke
2015-02-14,FA Cup,Sat,Away,L,1,4,Blackburn,,stoke
2015-02-21,Premier League,Sat,Away,W,2,1,Aston Villa,48.0,stoke
2015-02-28,Premier League,Sat,Home,W,1,0,Hull City,58.0,stoke
2015-03-04,Premier League,Wed,Home,W,2,0,Everton,44.0,stoke
2015-03-14,Premier League,Sat,Away,L,0,1,West Brom,57.0,stoke
2015-03-21,Premier League,Sat,Home,L,1,2,Crystal Palace,57.0,stoke
2015-04-04,Premier League,Sat,Away,L,1,2,Chelsea,40.0,stoke
2015-04-11,Premier League,Sat,Away,D,1,1,West Ham,65.0,stoke
2015-04-18,Premier League,Sat,Home,W,2,1,Southampton,48.0,stoke
2015-04-25,Premier League,Sat,Home,D,1,1,Sunderland,61.0,stoke
2015-05-02,Premier League,Sat,Away,L,0,2,Swansea City,53.0,stoke
2015-05-09,Premier League,Sat,Home,W,3,0,Tottenham,45.0,stoke
2015-05-16,Premier League,Sat,Away,D,0,0,Burnley,54.0,stoke
2015-05-24,Premier League,Sun,Home,W,6,1,Liverpool,46.0,stoke
2014-08-16,Premier League,Sat,Away,D,2,2,West Brom,42.0,sunderland
2014-08-24,Premier League,Sun,Home,D,1,1,Manchester Utd,45.0,sunderland
2014-08-27,League Cup,Wed,Away,W,3,0,Birmingham City,,sunderland
2014-08-30,Premier League,Sat,Away,L,0,1,QPR,60.0,sunderland
2014-09-13,Premier League,Sat,Home,D,2,2,Tottenham,38.0,sunderland
2014-09-20,Premier League,Sat,Away,D,0,0,Burnley,56.0,sunderland
2014-09-23,League Cup,Tue,Home,L,1,2,Stoke City,,sunderland
2014-09-27,Premier League,Sat,Home,D,0,0,Swansea City,50.0,sunderland
2014-10-04,Premier League,Sat,Home,W,3,1,Stoke City,40.0,sunderland
2014-10-18,Premier League,Sat,Away,L,0,8,Southampton,47.0,sunderland
2014-10-25,Premier League,Sat,Home,L,0,2,Arsenal,43.0,sunderland
2014-11-03,Premier League,Mon,Away,W,3,1,Crystal Palace,47.0,sunderland
2014-11-09,Premier League,Sun,Home,D,1,1,Everton,42.0,sunderland
2014-11-22,Premier League,Sat,Away,D,0,0,Leicester City,60.0,sunderland
2014-11-29,Premier League,Sat,Home,D,0,0,Chelsea,34.0,sunderland
2014-12-03,Premier League,Wed,Home,L,1,4,Manchester City,36.0,sunderland
2014-12-06,Premier League,Sat,Away,D,0,0,Liverpool,47.0,sunderland
2014-12-13,Premier League,Sat,Home,D,1,1,West Ham,57.0,sunderland
2014-12-21,Premier League,Sun,Away,W,1,0,Newcastle Utd,48.0,sunderland
2014-12-26,Premier League,Fri,Home,L,1,3,Hull City,48.0,sunderland
2014-12-28,Premier League,Sun,Away,D,0,0,Aston Villa,52.0,sunderland
2015-01-01,Premier League,Thu,Away,L,2,3,Manchester City,36.0,sunderland
2015-01-04,FA Cup,Sun,Home,W,1,0,Leeds United,,sunderland
2015-01-10,Premier League,Sat,Home,L,0,1,Liverpool,47.0,sunderland
2015-01-17,Premier League,Sat,Away,L,1,2,Tottenham,35.0,sunderland
2015-01-24,FA Cup,Sat,Home,D,0,0,Fulham,,sunderland
2015-01-31,Premier League,Sat,Home,W,2,0,Burnley,50.0,sunderland
2015-02-03,FA Cup,Tue,Away,W,3,1,Fulham,,sunderland
2015-02-07,Premier League,Sat,Away,D,1,1,Swansea City,40.0,sunderland
2015-02-10,Premier League,Tue,Home,L,0,2,QPR,53.0,sunderland
2015-02-15,FA Cup,Sun,Away,L,0,2,Bradford City,,sunderland
2015-02-21,Premier League,Sat,Home,D,0,0,West Brom,62.0,sunderland
2015-02-28,Premier League,Sat,Away,L,0,2,Manchester Utd,27.0,sunderland
2015-03-03,Premier League,Tue,Away,D,1,1,Hull City,59.0,sunderland
2015-03-14,Premier League,Sat,Home,L,0,4,Aston Villa,40.0,sunderland
2015-03-21,Premier League,Sat,Away,L,0,1,West Ham,46.0,sunderland
2015-04-05,Premier League,Sun,Home,W,1,0,Newcastle Utd,53.0,sunderland
2015-04-11,Premier League,Sat,Home,L,1,4,Crystal Palace,54.0,sunderland
2015-04-25,Premier League,Sat,Away,D,1,1,Stoke City,40.0,sunderland
2015-05-02,Premier League,Sat,Home,W,2,1,Southampton,44.0,sunderland
2015-05-09,Premier League,Sat,Away,W,2,0,Everton,27.0,sunderland
2015-05-16,Premier League,Sat,Home,D,0,0,Leicester City,51.0,sunderland
2015-05-20,Premier League,Wed,Away,D,0,0,Arsenal,25.0,sunderland
2015-05-24,Premier League,Sun,Away,L,1,3,Chelsea,35.0,sunderland
2014-08-16,Premier League,Sat,Away,W,2,1,Manchester Utd,40.0,swansea
