Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team
2014-11-29,Premier League,Sat,Away,D,1,1,Burnley,53.0,aston-villa
2014-12-02,Premier League,Tue,Away,W,1,0,Crystal Palace,54.0,aston-villa
2014-12-07,Premier League,Sun,Home,W,2,1,Leicester City,65.0,aston-villa
2014-12-13,Premier League,Sat,Away,L,0,1,West Brom,51.0,aston-villa
2014-12-20,Premier League,Sat,Home,D,1,1,Manchester Utd,35.0,aston-villa
2014-12-26,Premier League,Fri,Away,L,0,1,Swansea City,57.0,aston-villa
2014-12-28,Premier League,Sun,Home,D,0,0,Sunderland,48.0,aston-villa
2015-01-01,Premier League,Thu,Home,D,0,0,Crystal Palace,69.0,aston-villa
2015-01-04,FA Cup,Sun,Home,W,1,0,Blackpool,,aston-villa
2015-01-10,Premier League,Sat,Away,L,0,1,Leicester City,62.0,aston-villa
2015-01-17,Premier League,Sat,Home,L,0,2,Liverpool,49.0,aston-villa
2015-01-25,FA Cup,Sun,Home,W,2,1,Bournemouth,,aston-villa
2015-02-01,Premier League,Sun,Away,L,0,5,Arsenal,52.0,aston-villa
2015-02-07,Premier League,Sat,Home,L,1,2,Chelsea,51.0,aston-villa
2015-02-10,Premier League,Tue,Away,L,0,2,Hull City,62.0,aston-villa
2015-02-15,FA Cup,Sun,Home,W,2,1,Leicester City,,aston-villa
2015-02-21,Premier League,Sat,Home,L,1,2,Stoke City,52.0,aston-villa
2015-02-28,Premier League,Sat,Away,L,0,1,Newcastle Utd,51.0,aston-villa
2015-03-03,Premier League,Tue,Home,W,2,1,West Brom,58.0,aston-villa
2015-03-07,FA Cup,Sat,Home,W,2,0,West Brom,,aston-villa
2015-03-14,Premier League,Sat,Away,W,4,0,Sunderland,60.0,aston-villa
2015-03-21,Premier League,Sat,Home,L,0,1,Swansea City,43.0,aston-villa
2015-04-04,Premier League,Sat,Away,L,1,3,Manchester Utd,24.0,aston-villa
2015-04-07,Premier League,Tue,Home,D,3,3,QPR,64.0,aston-villa
2015-04-11,Premier League,Sat,Away,W,1,0,Tottenham,43.0,aston-villa
2015-04-19,FA Cup,Sun,Home,W,2,1,Liverpool,,aston-villa
2015-04-25,Premier League,Sat,Away,L,2,3,Manchester City,55.0,aston-villa
2015-05-02,Premier League,Sat,Home,W,3,2,Everton,50.0,aston-villa
2015-05-09,Premier League,Sat,Home,W,1,0,West Ham,58.0,aston-villa
2015-05-16,Premier League,Sat,Away,L,1,6,Southampton,64.0,aston-villa
2015-05-24,Premier League,Sun,Home,L,0,1,Burnley,63.0,aston-villa
2015-05-30,FA Cup,Sat,Away,L,0,4,Arsenal,,aston-villa
2014-08-18,Premier League,Mon,Home,L,1,3,Chelsea,39.0,burnley
2014-08-23,Premier League,Sat,Away,L,0,1,Swansea City,45.0,burnley
2014-08-26,League Cup,Tue,Home,L,0,1,Sheffield Weds,,burnley
2014-08-30,Premier League,Sat,Home,D,0,0,Manchester Utd,36.0,burnley
2014-09-13,Premier League,Sat,Away,D,0,0,Crystal Palace,55.0,burnley
2014-09-20,Premier League,Sat,Home,D,0,0,Sunderland,44.0,burnley
2014-09-28,Premier League,Sun,Away,L,0,4,West Brom,37.0,burnley
2014-10-04,Premier League,Sat,Away,D,2,2,Leicester City,47.0,burnley
2014-10-18,Premier League,Sat,Home,L,1,3,West Ham,47.0,burnley
2014-10-26,Premier League,Sun,Home,L,1,3,Everton,38.0,burnley
2014-11-01,Premier League,Sat,Away,L,0,3,Arsenal,32.0,burnley
2014-11-08,Premier League,Sat,Home,W,1,0,Hull City,47.0,burnley
2014-11-22,Premier League,Sat,Away,W,2,1,Stoke City,27.0,burnley
2014-11-29,Premier League,Sat,Home,D,1,1,Aston Villa,47.0,burnley
2014-12-02,Premier League,Tue,Home,D,1,1,Newcastle Utd,42.0,burnley
2014-12-06,Premier League,Sat,Away,L,0,2,QPR,49.0,burnley
2014-12-13,Premier League,Sat,Home,W,1,0,Southampton,40.0,burnley
2014-12-20,Premier League,Sat,Away,L,1,2,Tottenham,35.0,burnley
2014-12-26,Premier League,Fri,Home,L,0,1,Liverpool,48.0,burnley
2014-12-28,Premier League,Sun,Away,D,2,2,Manchester City,38.0,burnley
2015-01-01,Premier League,Thu,Away,D,3,3,Newcastle Utd,49.0,burnley
2015-01-05,FA Cup,Mon,Home,D,1,1,Tottenham,,burnley
2015-01-10,Premier League,Sat,Home,W,2,1,QPR,45.0,burnley
2015-01-14,FA Cup,Wed,Away,L,2,4,Tottenham,,burnley
2015-01-17,Premier League,Sat,Home,L,2,3,Crystal Palace,51.0,burnley
2015-01-31,Premier League,Sat,Away,L,0,2,Sunderland,50.0,burnley
2015-02-08,Premier League,Sun,Home,D,2,2,West Brom,56.0,burnley
2015-02-11,Premier League,Wed,Away,L,1,3,Manchester Utd,43.0,burnley
2015-02-21,Premier League,Sat,Away,D,1,1,Chelsea,39.0,burnley
2015-02-28,Premier League,Sat,Home,L,0,1,Swansea City,47.0,burnley
2015-03-04,Premier League,Wed,Away,L,0,2,Liverpool,37.0,burnley
2015-03-14,Premier League,Sat,Home,W,1,0,Manchester City,30.0,burnley
2015-03-21,Premier League,Sat,Away,L,0,2,Southampton,40.0,burnley
