Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team,Match Number
2013-08-17,Premier League,Sat,Home,L,1,3,Aston Villa,,arsenal,1.0
2013-08-21,Champions Lg,Wed,Away,W,3,0,tr Fenerbahçe,,arsenal,
2013-08-24,Premier League,Sat,Away,W,3,1,Fulham,,arsenal,2.0
2013-08-27,Champions Lg,Tue,Home,W,2,0,tr Fenerbahçe,,arsenal,
2013-09-01,Premier League,Sun,Home,W,1,0,Tottenham,,arsenal,3.0
2013-09-14,Premier League,Sat,Away,W,3,1,Sunderland,,arsenal,4.0
2013-09-18,Champions Lg,Wed,Away,W,2,1,fr Marseille,,arsenal,
2013-09-22,Premier League,Sun,Home,W,3,1,Stoke City,,arsenal,5.0
2013-09-28,Premier League,Sat,Away,W,2,1,Swansea City,,arsenal,6.0
2013-10-01,Champions Lg,Tue,Home,W,2,0,it Napoli,,arsenal,
2013-10-06,Premier League,Sun,Away,D,1,1,West Brom,,arsenal,7.0
2013-10-19,Premier League,Sat,Home,W,4,1,Norwich City,,arsenal,8.0
2013-10-22,Champions Lg,Tue,Home,L,1,2,de Dortmund,,arsenal,
2013-10-26,Premier League,Sat,Away,W,2,0,Crystal Palace,,arsenal,9.0
2013-11-02,Premier League,Sat,Home,W,2,0,Liverpool,,arsenal,10.0
2013-11-06,Champions Lg,Wed,Away,W,1,0,de Dortmund,,arsenal,
2013-11-10,Premier League,Sun,Away,L,0,1,Manchester Utd,,arsenal,11.0
2013-11-23,Premier League,Sat,Home,W,2,0,Southampton,,arsenal,12.0
2013-11-26,Champions Lg,Tue,Home,W,2,0,fr Marseille,,arsenal,
2013-11-30,Premier League,Sat,Away,W,3,0,Cardiff City,,arsenal,13.0
2013-12-04,Premier League,Wed,Home,W,2,0,Hull City,,arsenal,14.0
2013-12-08,Premier League,Sun,Home,D,1,1,Everton,,arsenal,15.0
2013-12-11,Champions Lg,Wed,Away,L,0,2,it Napoli,,arsenal,
2013-12-14,Premier League,Sat,Away,L,3,6,Manchester City,,arsenal,16.0
2013-12-23,Premier League,Mon,Home,D,0,0,Chelsea,,arsenal,17.0
2013-12-26,Premier League,Thu,Away,W,3,1,West Ham,,arsenal,18.0
2013-12-29,Premier League,Sun,Away,W,1,0,Newcastle Utd,,arsenal,19.0
