Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,team
2012-08-30,Europa Lg,Play-off round,Thu,Home,W,1,0,gr Atromitos,,newcastle
2012-09-02,Premier League,Matchweek 3,Sun,Home,D,1,1,Aston Villa,,newcastle
2012-09-17,Premier League,Matchweek 4,Mon,Away,D,2,2,Everton,,newcastle
2012-09-20,Europa Lg,Group stage,Thu,Away,D,0,0,pt Marítimo,,newcastle
2012-09-23,Premier League,Matchweek 5,Sun,Home,W,1,0,Norwich City,,newcastle
2012-09-29,Premier League,Matchweek 6,Sat,Away,D,2,2,Reading,,newcastle
2012-10-04,Europa Lg,Group stage,Thu,Home,W,3,0,fr Bordeaux,,newcastle
2012-10-07,Premier League,Matchweek 7,Sun,Home,L,0,3,Manchester Utd,,newcastle
2012-10-21,Premier League,Matchweek 8,Sun,Away,D,1,1,Sunderland,,newcastle
2012-10-25,Europa Lg,Group stage,Thu,Home,W,1,0,be Club Brugge,,newcastle
2012-10-28,Premier League,Matchweek 9,Sun,Home,W,2,1,West Brom,,newcastle
2012-11-04,Premier League,Matchweek 10,Sun,Away,D,1,1,Liverpool,,newcastle
2012-11-08,Europa Lg,Group stage,Thu,Away,D,2,2,be Club Brugge,,newcastle
2012-11-11,Premier League,Matchweek 11,Sun,Home,L,0,1,West Ham,,newcastle
2012-11-17,Premier League,Matchweek 12,Sat,Home,L,1,2,Swansea City,,newcastle
2012-11-22,Europa Lg,Group stage,Thu,Home,D,1,1,pt Marítimo,,newcastle
2012-11-25,Premier League,Matchweek 13,Sun,Away,L,0,2,Southampton,,newcastle
2012-11-28,Premier League,Matchweek 14,Wed,Away,L,1,2,Stoke City,,newcastle
2012-12-03,Premier League,Matchweek 15,Mon,Home,W,3,0,Wigan Athletic,,newcastle
2012-12-06,Europa Lg,Group stage,Thu,Away,L,0,2,fr Bordeaux,,newcastle
2012-12-10,Premier League,Matchweek 16,Mon,Away,L,1,2,Fulham,,newcastle
2012-12-15,Premier League,Matchweek 17,Sat,Home,L,1,3,Manchester City,,newcastle
2012-12-22,Premier League,Matchweek 18,Sat,Home,W,1,0,QPR,,newcastle
2012-12-26,Premier League,Matchweek 19,Wed,Away,L,3,4,Manchester Utd,,newcastle
2012-12-29,Premier League,Matchweek 20,Sat,Away,L,3,7,Arsenal,,newcastle
2013-01-02,Premier League,Matchweek 21,Wed,Home,L,1,2,Everton,,newcastle
2013-01-12,Premier League,Matchweek 22,Sat,Away,D,0,0,Norwich City,,newcastle
2013-01-19,Premier League,Matchweek 23,Sat,Home,L,1,2,Reading,,newcastle
2013-01-29,Premier League,Matchweek 24,Tue,Away,W,2,1,Aston Villa,,newcastle
2013-02-02,Premier League,Matchweek 25,Sat,Home,W,3,2,Chelsea,,newcastle
2013-02-09,Premier League,Matchweek 26,Sat,Away,L,1,2,Tottenham,,newcastle
2013-02-14,Europa Lg,Round of 32,Thu,Home,D,0,0,ua Metalist Kharkiv,,newcastle
2013-02-21,Europa Lg,Round of 32,Thu,Away,W,1,0,ua Metalist Kharkiv,,newcastle
2013-02-24,Premier League,Matchweek 27,Sun,Home,W,4,2,Southampton,,newcastle
2013-03-02,Premier League,Matchweek 28,Sat,Away,L,0,1,Swansea City,,newcastle
2013-03-07,Europa Lg,Round of 16,Thu,Away,D,0,0,ru Anzhi,,newcastle
2013-03-10,Premier League,Matchweek 29,Sun,Home,W,2,1,Stoke City,,newcastle
2013-03-14,Europa Lg,Round of 16,Thu,Home,W,1,0,ru Anzhi,,newcastle
2013-03-17,Premier League,Matchweek 30,Sun,Away,L,1,2,Wigan Athletic,,newcastle
2013-03-30,Premier League,Matchweek 31,Sat,Away,L,0,4,Manchester City,,newcastle
2013-04-04,Europa Lg,Quarter-finals,Thu,Away,L,1,3,pt Benfica,,newcastle
2013-04-07,Premier League,Matchweek 32,Sun,Home,W,1,0,Fulham,,newcastle
2013-04-11,Europa Lg,Quarter-finals,Thu,Home,D,1,1,pt Benfica,,newcastle
2013-04-14,Premier League,Matchweek 33,Sun,Home,L,0,3,Sunderland,,newcastle
2013-04-20,Premier League,Matchweek 34,Sat,Away,D,1,1,West Brom,,newcastle
2013-04-27,Premier League,Matchweek 35,Sat,Home,L,0,6,Liverpool,,newcastle
2013-05-04,Premier League,Matchweek 36,Sat,Away,D,0,0,West Ham,,newcastle
2013-05-12,Premier League,Matchweek 37,Sun,Away,W,2,1,QPR,,newcastle
2013-05-19,Premier League,Matchweek 38,Sun,Home,L,0,1,Arsenal,,newcastle
2012-08-18,Premier League,Matchweek 1,Sat,Away,L,0,5,Fulham,,norwich
2012-08-25,Premier League,Matchweek 2,Sat,Home,D,1,1,QPR,,norwich
2012-09-01,Premier League,Matchweek 3,Sat,Away,D,1,1,Tottenham,,norwich
2012-09-15,Premier League,Matchweek 4,Sat,Home,D,0,0,West Ham,,norwich
2012-09-23,Premier League,Matchweek 5,Sun,Away,L,0,1,Newcastle Utd,,norwich
2012-09-29,Premier League,Matchweek 6,Sat,Home,L,2,5,Liverpool,,norwich
2012-10-06,Premier League,Matchweek 7,Sat,Away,L,1,4,Chelsea,,norwich
2012-10-20,Premier League,Matchweek 8,Sat,Home,W,1,0,Arsenal,,norwich
2012-10-27,Premier League,Matchweek 9,Sat,Away,D,1,1,Aston Villa,,norwich
2012-11-03,Premier League,Matchweek 10,Sat,Home,W,1,0,Stoke City,,norwich
2012-11-10,Premier League,Matchweek 11,Sat,Away,D,0,0,Reading,,norwich
2012-11-17,Premier League,Matchweek 12,Sat,Home,W,1,0,Manchester Utd,,norwich
2012-11-24,Premier League,Matchweek 13,Sat,Away,D,1,1,Everton,,norwich
2012-11-28,Premier League,Matchweek 14,Wed,Away,D,1,1,Southampton,,norwich
2012-12-02,Premier League,Matchweek 15,Sun,Home,W,2,1,Sunderland,,norwich
2012-12-08,Premier League,Matchweek 16,Sat,Away,W,4,3,Swansea City,,norwich
2012-12-15,Premier League,Matchweek 17,Sat,Home,W,2,1,Wigan Athletic,,norwich
2012-12-22,Premier League,Matchweek 18,Sat,Away,L,1,2,West Brom,,norwich
2012-12-26,Premier League,Matchweek 19,Wed,Home,L,0,1,Chelsea,,norwich
2012-12-29,Premier League,Matchweek 20,Sat,Home,L,3,4,Manchester City,,norwich
2013-01-01,Premier League,Matchweek 21,Tue,Away,L,1,2,West Ham,,norwich
2013-01-12,Premier League,Matchweek 22,Sat,Home,D,0,0,Newcastle Utd,,norwich
2013-01-19,Premier League,Matchweek 23,Sat,Away,L,0,5,Liverpool,,norwich
2013-01-30,Premier League,Matchweek 24,Wed,Home,D,1,1,Tottenham,,norwich
2013-02-02,Premier League,Matchweek 25,Sat,Away,D,0,0,QPR,,norwich
2013-02-09,Premier League,Matchweek 26,Sat,Home,D,0,0,Fulham,,norwich
2013-02-23,Premier League,Matchweek 27,Sat,Home,W,2,1,Everton,,norwich
2013-03-02,Premier League,Matchweek 28,Sat,Away,L,0,4,Manchester Utd,,norwich
2013-03-09,Premier League,Matchweek 29,Sat,Home,D,0,0,Southampton,,norwich
2013-03-17,Premier League,Matchweek 30,Sun,Away,D,1,1,Sunderland,,norwich
2013-03-30,Premier League,Matchweek 31,Sat,Away,L,0,1,Wigan Athletic,,norwich
2013-04-06,Premier League,Matchweek 32,Sat,Home,D,2,2,Swansea City,,norwich
2013-04-13,Premier League,Matchweek 33,Sat,Away,L,1,3,Arsenal,,norwich
2013-04-20,Premier League,Matchweek 34,Sat,Home,W,2,1,Reading,,norwich
2013-04-27,Premier League,Matchweek 35,Sat,Away,L,0,1,Stoke City,,norwich
2013-05-04,Premier League,Matchweek 36,Sat,Home,L,1,2,Aston Villa,,norwich
2013-05-12,Premier League,Matchweek 37,Sun,Home,W,4,0,West Brom,,norwich
2013-05-19,Premier League,Matchweek 38,Sun,Away,W,3,2,Manchester City,,norwich
2012-08-18,Premier League,Matchweek 1,Sat,Home,L,0,5,Swansea City,,qpr
2012-08-25,Premier League,Matchweek 2,Sat,Away,D,1,1,Norwich City,,qpr
2012-09-01,Premier League,Matchweek 3,Sat,Away,L,1,3,Manchester City,,qpr
2012-09-15,Premier League,Matchweek 4,Sat,Home,D,0,0,Chelsea,,qpr
2012-09-23,Premier League,Matchweek 5,Sun,Away,L,1,2,Tottenham,,qpr
2012-10-01,Premier League,Matchweek 6,Mon,Home,L,1,2,West Ham,,qpr
2012-10-06,Premier League,Matchweek 7,Sat,Away,L,2,3,West Brom,,qpr
2012-10-21,Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,,qpr
2012-10-27,Premier League,Matchweek 9,Sat,Away,L,0,1,Arsenal,,qpr
2012-11-04,Premier League,Matchweek 10,Sun,Home,D,1,1,Reading,,qpr
2012-11-10,Premier League,Matchweek 11,Sat,Away,L,0,1,Stoke City,,qpr
2012-11-17,Premier League,Matchweek 12,Sat,Home,L,1,3,Southampton,,qpr
2012-11-24,Premier League,Matchweek 13,Sat,Away,L,1,3,Manchester Utd,,qpr
2012-11-27,Premier League,Matchweek 14,Tue,Away,D,0,0,Sunderland,,qpr
2012-12-01,Premier League,Matchweek 15,Sat,Home,D,1,1,Aston Villa,,qpr
2012-12-08,Premier League,Matchweek 16,Sat,Away,D,2,2,Wigan Athletic,,qpr
2012-12-15,Premier League,Matchweek 17,Sat,Home,W,2,1,Fulham,,qpr
2012-12-22,Premier League,Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,,qpr
2012-12-26,Premier League,Matchweek 19,Wed,Home,L,1,2,West Brom,,qpr
2012-12-30,Premier League,Matchweek 20,Sun,Home,L,0,3,Liverpool,,qpr
2013-01-02,Premier League,Matchweek 21,Wed,Away,W,1,0,Chelsea,,qpr
2013-01-12,Premier League,Matchweek 22,Sat,Home,D,0,0,Tottenham,,qpr
2013-01-19,Premier League,Matchweek 23,Sat,Away,D,1,1,West Ham,,qpr
2013-01-29,Premier League,Matchweek 24,Tue,Home,D,0,0,Manchester City,,qpr
2013-02-02,Premier League,Matchweek 25,Sat,Home,D,0,0,Norwich City,,qpr
2013-02-09,Premier League,Matchweek 26,Sat,Away,L,1,4,Swansea City,,qpr
2013-02-23,Premier League,Matchweek 27,Sat,Home,L,0,2,Manchester Utd,,qpr
2013-03-02,Premier League,Matchweek 28,Sat,Away,W,2,1,Southampton,,qpr
2013-03-09,Premier League,Matchweek 29,Sat,Home,W,3,1,Sunderland,,qpr
2013-03-16,Premier League,Matchweek 30,Sat,Away,L,2,3,Aston Villa,,qpr
2013-04-01,Premier League,Matchweek 31,Mon,Away,L,2,3,Fulham,,qpr
2013-04-07,Premier League,Matchweek 32,Sun,Home,D,1,1,Wigan Athletic,,qpr
2013-04-13,Premier League,Matchweek 33,Sat,Away,L,0,2,Everton,,qpr
2013-04-20,Premier League,Matchweek 34,Sat,Home,L,0,2,Stoke City,,qpr
2013-04-28,Premier League,Matchweek 35,Sun,Away,D,0,0,Reading,,qpr
2013-05-04,Premier League,Matchweek 36,Sat,Home,L,0,1,Arsenal,,qpr
2013-05-12,Premier League,Matchweek 37,Sun,Home,L,1,2,Newcastle Utd,,qpr
2013-05-19,Premier League,Matchweek 38,Sun,Away,L,0,1,Liverpool,,qpr
2012-08-18,Premier League,Matchweek 1,Sat,Home,D,1,1,Stoke City,,reading
2012-08-22,Premier League,Matchweek 3,Wed,Away,L,2,4,Chelsea,,reading
2012-09-16,Premier League,Matchweek 4,Sun,Home,L,1,3,Tottenham,,reading
2012-09-22,Premier League,Matchweek 5,Sat,Away,L,0,1,West Brom,,reading
2012-09-29,Premier League,Matchweek 6,Sat,Home,D,2,2,Newcastle Utd,,reading
2012-10-06,Premier League,Matchweek 7,Sat,Away,D,2,2,Swansea City,,reading
2012-10-20,Premier League,Matchweek 8,Sat,Away,L,0,1,Liverpool,,reading
2012-10-27,Premier League,Matchweek 9,Sat,Home,D,3,3,Fulham,,reading
2012-11-04,Premier League,Matchweek 10,Sun,Away,D,1,1,QPR,,reading
2012-11-10,Premier League,Matchweek 11,Sat,Home,D,0,0,Norwich City,,reading
2012-11-17,Premier League,Matchweek 12,Sat,Home,W,2,1,Everton,,reading
2012-11-24,Premier League,Matchweek 13,Sat,Away,L,2,3,Wigan Athletic,,reading
2012-11-27,Premier League,Matchweek 14,Tue,Away,L,0,1,Aston Villa,,reading
2012-12-01,Premier League,Matchweek 15,Sat,Home,L,3,4,Manchester Utd,,reading
2012-12-08,Premier League,Matchweek 16,Sat,Away,L,0,1,Southampton,,reading
2012-12-11,Premier League,Matchweek 2,Tue,Away,L,0,3,Sunderland,,reading
2012-12-17,Premier League,Matchweek 17,Mon,Home,L,2,5,Arsenal,,reading
2012-12-22,Premier League,Matchweek 18,Sat,Away,L,0,1,Manchester City,,reading
2012-12-26,Premier League,Matchweek 19,Wed,Home,D,0,0,Swansea City,,reading
2012-12-29,Premier League,Matchweek 20,Sat,Home,W,1,0,West Ham,,reading
2013-01-01,Premier League,Matchweek 21,Tue,Away,L,1,3,Tottenham,,reading
2013-01-12,Premier League,Matchweek 22,Sat,Home,W,3,2,West Brom,,reading
2013-01-19,Premier League,Matchweek 23,Sat,Away,W,2,1,Newcastle Utd,,reading
2013-01-30,Premier League,Matchweek 24,Wed,Home,D,2,2,Chelsea,,reading
2013-02-02,Premier League,Matchweek 25,Sat,Home,W,2,1,Sunderland,,reading
2013-02-09,Premier League,Matchweek 26,Sat,Away,L,1,2,Stoke City,,reading
2013-02-23,Premier League,Matchweek 27,Sat,Home,L,0,3,Wigan Athletic,,reading
2013-03-02,Premier League,Matchweek 28,Sat,Away,L,1,3,Everton,,reading
2013-03-09,Premier League,Matchweek 29,Sat,Home,L,1,2,Aston Villa,,reading
2013-03-16,Premier League,Matchweek 30,Sat,Away,L,0,1,Manchester Utd,,reading
2013-03-30,Premier League,Matchweek 31,Sat,Away,L,1,4,Arsenal,,reading
2013-04-06,Premier League,Matchweek 32,Sat,Home,L,0,2,Southampton,,reading
2013-04-13,Premier League,Matchweek 33,Sat,Home,D,0,0,Liverpool,,reading
2013-04-20,Premier League,Matchweek 34,Sat,Away,L,1,2,Norwich City,,reading
2013-04-28,Premier League,Matchweek 35,Sun,Home,D,0,0,QPR,,reading
2013-05-04,Premier League,Matchweek 36,Sat,Away,W,4,2,Fulham,,reading
2013-05-14,Premier League,Matchweek 37,Tue,Home,L,0,2,Manchester City,,reading
2013-05-19,Premier League,Matchweek 38,Sun,Away,L,2,4,West Ham,,reading
2012-08-19,Premier League,Matchweek 1,Sun,Away,L,2,3,Manchester City,,southampton
2012-08-25,Premier League,Matchweek 2,Sat,Home,L,0,2,Wigan Athletic,,southampton
2012-09-02,Premier League,Matchweek 3,Sun,Home,L,2,3,Manchester Utd,,southampton
2012-09-15,Premier League,Matchweek 4,Sat,Away,L,1,6,Arsenal,,southampton
2012-09-22,Premier League,Matchweek 5,Sat,Home,W,4,1,Aston Villa,,southampton
2012-09-29,Premier League,Matchweek 6,Sat,Away,L,1,3,Everton,,southampton
2012-10-07,Premier League,Matchweek 7,Sun,Home,D,2,2,Fulham,,southampton
2012-10-20,Premier League,Matchweek 8,Sat,Away,L,1,4,West Ham,,southampton
2012-10-28,Premier League,Matchweek 9,Sun,Home,L,1,2,Tottenham,,southampton
2012-11-05,Premier League,Matchweek 10,Mon,Away,L,0,2,West Brom,,southampton
2012-11-10,Premier League,Matchweek 11,Sat,Home,D,1,1,Swansea City,,southampton
2012-11-17,Premier League,Matchweek 12,Sat,Away,W,3,1,QPR,,southampton
2012-11-25,Premier League,Matchweek 13,Sun,Home,W,2,0,Newcastle Utd,,southampton
2012-11-28,Premier League,Matchweek 14,Wed,Home,D,1,1,Norwich City,,southampton
2012-12-01,Premier League,Matchweek 15,Sat,Away,L,0,1,Liverpool,,southampton
2012-12-08,Premier League,Matchweek 16,Sat,Home,W,1,0,Reading,,southampton
2012-12-22,Premier League,Matchweek 18,Sat,Home,L,0,1,Sunderland,,southampton
2012-12-26,Premier League,Matchweek 19,Wed,Away,D,1,1,Fulham,,southampton
2012-12-29,Premier League,Matchweek 20,Sat,Away,D,3,3,Stoke City,,southampton
2013-01-01,Premier League,Matchweek 21,Tue,Home,D,1,1,Arsenal,,southampton
2013-01-12,Premier League,Matchweek 22,Sat,Away,W,1,0,Aston Villa,,southampton
2013-01-16,Premier League,Matchweek 17,Wed,Away,D,2,2,Chelsea,,southampton
2013-01-21,Premier League,Matchweek 23,Mon,Home,D,0,0,Everton,,southampton
2013-01-30,Premier League,Matchweek 24,Wed,Away,L,1,2,Manchester Utd,,southampton
2013-02-02,Premier League,Matchweek 25,Sat,Away,D,2,2,Wigan Athletic,,southampton
2013-02-09,Premier League,Matchweek 26,Sat,Home,W,3,1,Manchester City,,southampton
2013-02-24,Premier League,Matchweek 27,Sun,Away,L,2,4,Newcastle Utd,,southampton
2013-03-02,Premier League,Matchweek 28,Sat,Home,L,1,2,QPR,,southampton
2013-03-09,Premier League,Matchweek 29,Sat,Away,D,0,0,Norwich City,,southampton
2013-03-16,Premier League,Matchweek 30,Sat,Home,W,3,1,Liverpool,,southampton
2013-03-30,Premier League,Matchweek 31,Sat,Home,W,2,1,Chelsea,,southampton
2013-04-06,Premier League,Matchweek 32,Sat,Away,W,2,0,Reading,,southampton
2013-04-13,Premier League,Matchweek 33,Sat,Home,D,1,1,West Ham,,southampton
2013-04-20,Premier League,Matchweek 34,Sat,Away,D,0,0,Swansea City,,southampton
2013-04-27,Premier League,Matchweek 35,Sat,Home,L,0,3,West Brom,,southampton
2013-05-04,Premier League,Matchweek 36,Sat,Away,L,0,1,Tottenham,,southampton
2013-05-12,Premier League,Matchweek 37,Sun,Away,D,1,1,Sunderland,,southampton
2013-05-19,Premier League,Matchweek 38,Sun,Home,D,1,1,Stoke City,,southampton
2012-08-18,Premier League,Matchweek 1,Sat,Away,D,1,1,Reading,,stoke
2012-08-26,Premier League,Matchweek 2,Sun,Home,D,0,0,Arsenal,,stoke
2012-09-01,Premier League,Matchweek 3,Sat,Away,D,2,2,Wigan Athletic,,stoke
2012-09-15,Premier League,Matchweek 4,Sat,Home,D,1,1,Manchester City,,stoke
2012-09-22,Premier League,Matchweek 5,Sat,Away,L,0,1,Chelsea,,stoke
2012-09-29,Premier League,Matchweek 6,Sat,Home,W,2,0,Swansea City,,stoke
2012-10-07,Premier League,Matchweek 7,Sun,Away,D,0,0,Liverpool,,stoke
2012-10-20,Premier League,Matchweek 8,Sat,Away,L,2,4,Manchester Utd,,stoke
2012-10-27,Premier League,Matchweek 9,Sat,Home,D,0,0,Sunderland,,stoke
2012-11-03,Premier League,Matchweek 10,Sat,Away,L,0,1,Norwich City,,stoke
2012-11-10,Premier League,Matchweek 11,Sat,Home,W,1,0,QPR,,stoke
2012-11-19,Premier League,Matchweek 12,Mon,Away,D,1,1,West Ham,,stoke
2012-11-24,Premier League,Matchweek 13,Sat,Home,W,1,0,Fulham,,stoke
2012-11-28,Premier League,Matchweek 14,Wed,Home,W,2,1,Newcastle Utd,,stoke
2012-12-01,Premier League,Matchweek 15,Sat,Away,W,1,0,West Brom,,stoke
2012-12-08,Premier League,Matchweek 16,Sat,Away,D,0,0,Aston Villa,,stoke
2012-12-15,Premier League,Matchweek 17,Sat,Home,D,1,1,Everton,,stoke
2012-12-22,Premier League,Matchweek 18,Sat,Away,D,0,0,Tottenham,,stoke
2012-12-26,Premier League,Matchweek 19,Wed,Home,W,3,1,Liverpool,,stoke
2012-12-29,Premier League,Matchweek 20,Sat,Home,D,3,3,Southampton,,stoke
2013-01-01,Premier League,Matchweek 21,Tue,Away,L,0,3,Manchester City,,stoke
2013-01-12,Premier League,Matchweek 22,Sat,Home,L,0,4,Chelsea,,stoke
2013-01-19,Premier League,Matchweek 23,Sat,Away,L,1,3,Swansea City,,stoke
2013-01-29,Premier League,Matchweek 24,Tue,Home,D,2,2,Wigan Athletic,,stoke
2013-02-02,Premier League,Matchweek 25,Sat,Away,L,0,1,Arsenal,,stoke
2013-02-09,Premier League,Matchweek 26,Sat,Home,W,2,1,Reading,,stoke
2013-02-23,Premier League,Matchweek 27,Sat,Away,L,0,1,Fulham,,stoke
2013-03-02,Premier League,Matchweek 28,Sat,Home,L,0,1,West Ham,,stoke
2013-03-10,Premier League,Matchweek 29,Sun,Away,L,1,2,Newcastle Utd,,stoke
2013-03-16,Premier League,Matchweek 30,Sat,Home,D,0,0,West Brom,,stoke
2013-03-30,Premier League,Matchweek 31,Sat,Away,L,0,1,Everton,,stoke
2013-04-06,Premier League,Matchweek 32,Sat,Home,L,1,3,Aston Villa,,stoke
2013-04-14,Premier League,Matchweek 33,Sun,Home,L,0,2,Manchester Utd,,stoke
2013-04-20,Premier League,Matchweek 34,Sat,Away,W,2,0,QPR,,stoke
2013-04-27,Premier League,Matchweek 35,Sat,Home,W,1,0,Norwich City,,stoke
2013-05-06,Premier League,Matchweek 36,Mon,Away,D,1,1,Sunderland,,stoke
2013-05-12,Premier League,Matchweek 37,Sun,Home,L,1,2,Tottenham,,stoke
2013-05-19,Premier League,Matchweek 38,Sun,Away,D,1,1,Southampton,,stoke
2012-08-18,Premier League,Matchweek 1,Sat,Away,D,0,0,Arsenal,,sunderland
2012-09-01,Premier League,Matchweek 3,Sat,Away,D,2,2,Swansea City,,sunderland
2012-09-15,Premier League,Matchweek 4,Sat,Home,D,1,1,Liverpool,,sunderland
2012-09-22,Premier League,Matchweek 5,Sat,Away,D,1,1,West Ham,,sunderland
2012-09-29,Premier League,Matchweek 6,Sat,Home,W,1,0,Wigan Athletic,,sunderland
2012-10-06,Premier League,Matchweek 7,Sat,Away,L,0,3,Manchester City,,sunderland
2012-10-21,Premier League,Matchweek 8,Sun,Home,D,1,1,Newcastle Utd,,sunderland
2012-10-27,Premier League,Matchweek 9,Sat,Away,D,0,0,Stoke City,,sunderland
2012-11-03,Premier League,Matchweek 10,Sat,Home,L,0,1,Aston Villa,,sunderland
2012-11-10,Premier League,Matchweek 11,Sat,Away,L,1,2,Everton,,sunderland
2012-11-18,Premier League,Matchweek 12,Sun,Away,W,3,1,Fulham,,sunderland
2012-11-24,Premier League,Matchweek 13,Sat,Home,L,2,4,West Brom,,sunderland
2012-11-27,Premier League,Matchweek 14,Tue,Home,D,0,0,QPR,,sunderland
2012-12-02,Premier League,Matchweek 15,Sun,Away,L,1,2,Norwich City,,sunderland
2012-12-08,Premier League,Matchweek 16,Sat,Home,L,1,3,Chelsea,,sunderland
2012-12-11,Premier League,Matchweek 2,Tue,Home,W,3,0,Reading,,sunderland
2012-12-15,Premier League,Matchweek 17,Sat,Away,L,1,3,Manchester Utd,,sunderland
2012-12-22,Premier League,Matchweek 18,Sat,Away,W,1,0,Southampton,,sunderland
2012-12-26,Premier League,Matchweek 19,Wed,Home,W,1,0,Manchester City,,sunderland
2012-12-29,Premier League,Matchweek 20,Sat,Home,L,1,2,Tottenham,,sunderland
2013-01-02,Premier League,Matchweek 21,Wed,Away,L,0,3,Liverpool,,sunderland
2013-01-12,Premier League,Matchweek 22,Sat,Home,W,3,0,West Ham,,sunderland
2013-01-19,Premier League,Matchweek 23,Sat,Away,W,3,2,Wigan Athletic,,sunderland
2013-01-29,Premier League,Matchweek 24,Tue,Home,D,0,0,Swansea City,,sunderland
2013-02-02,Premier League,Matchweek 25,Sat,Away,L,1,2,Reading,,sunderland
2013-02-09,Premier League,Matchweek 26,Sat,Home,L,0,1,Arsenal,,sunderland
2013-02-23,Premier League,Matchweek 27,Sat,Away,L,1,2,West Brom,,sunderland
2013-03-02,Premier League,Matchweek 28,Sat,Home,D,2,2,Fulham,,sunderland
2013-03-09,Premier League,Matchweek 29,Sat,Away,L,1,3,QPR,,sunderland
2013-03-17,Premier League,Matchweek 30,Sun,Home,D,1,1,Norwich City,,sunderland
2013-03-30,Premier League,Matchweek 31,Sat,Home,L,0,1,Manchester Utd,,sunderland
2013-04-07,Premier League,Matchweek 32,Sun,Away,L,1,2,Chelsea,,sunderland
2013-04-14,Premier League,Matchweek 33,Sun,Away,W,3,0,Newcastle Utd,,sunderland
2013-04-20,Premier League,Matchweek 34,Sat,Home,W,1,0,Everton,,sunderland
2013-04-29,Premier League,Matchweek 35,Mon,Away,L,1,6,Aston Villa,,sunderland
2013-05-06,Premier League,Matchweek 36,Mon,Home,D,1,1,Stoke City,,sunderland
2013-05-12,Premier League,Matchweek 37,Sun,Home,D,1,1,Southampton,,sunderland
2013-05-19,Premier League,Matchweek 38,Sun,Away,L,0,1,Tottenham,,sunderland
2012-08-18,Premier League,Matchweek 1,Sat,Away,W,5,0,QPR,,swansea
2012-08-25,Premier League,Matchweek 2,Sat,Home,W,3,0,West Ham,,swansea
2012-09-01,Premier League,Matchweek 3,Sat,Home,D,2,2,Sunderland,,swansea
2012-09-15,Premier League,Matchweek 4,Sat,Away,L,0,2,Aston Villa,,swansea
2012-09-22,Premier League,Matchweek 5,Sat,Home,L,0,3,Everton,,swansea
2012-09-29,Premier League,Matchweek 6,Sat,Away,L,0,2,Stoke City,,swansea
2012-10-06,Premier League,Matchweek 7,Sat,Home,D,2,2,Reading,,swansea
2012-10-20,Premier League,Matchweek 8,Sat,Home,W,2,1,Wigan Athletic,,swansea
2012-10-27,Premier League,Matchweek 9,Sat,Away,L,0,1,Manchester City,,swansea
2012-11-03,Premier League,Matchweek 10,Sat,Home,D,1,1,Chelsea,,swansea
2012-11-10,Premier League,Matchweek 11,Sat,Away,D,1,1,Southampton,,swansea
2012-11-17,Premier League,Matchweek 12,Sat,Away,W,2,1,Newcastle Utd,,swansea
2012-11-25,Premier League,Matchweek 13,Sun,Home,D,0,0,Liverpool,,swansea
2012-11-28,Premier League,Matchweek 14,Wed,Home,W,3,1,West Brom,,swansea
2012-12-01,Premier League,Matchweek 15,Sat,Away,W,2,0,Arsenal,,swansea
2012-12-08,Premier League,Matchweek 16,Sat,Home,L,3,4,Norwich City,,swansea
2012-12-16,Premier League,Matchweek 17,Sun,Away,L,0,1,Tottenham,,swansea
2012-12-23,Premier League,Matchweek 18,Sun,Home,D,1,1,Manchester Utd,,swansea
2012-12-26,Premier League,Matchweek 19,Wed,Away,D,0,0,Reading,,swansea
2012-12-29,Premier League,Matchweek 20,Sat,Away,W,2,1,Fulham,,swansea
2013-01-01,Premier League,Matchweek 21,Tue,Home,D,2,2,Aston Villa,,swansea
2013-01-12,Premier League,Matchweek 22,Sat,Away,D,0,0,Everton,,swansea
2013-01-19,Premier League,Matchweek 23,Sat,Home,W,3,1,Stoke City,,swansea
2013-01-29,Premier League,Matchweek 24,Tue,Away,D,0,0,Sunderland,,swansea
2013-02-02,Premier League,Matchweek 25,Sat,Away,L,0,1,West Ham,,swansea
2013-02-09,Premier League,Matchweek 26,Sat,Home,W,4,1,QPR,,swansea
2013-02-17,Premier League,Matchweek 27,Sun,Away,L,0,5,Liverpool,,swansea
2013-03-02,Premier League,Matchweek 28,Sat,Home,W,1,0,Newcastle Utd,,swansea
2013-03-09,Premier League,Matchweek 29,Sat,Away,L,1,2,West Brom,,swansea
2013-03-16,Premier League,Matchweek 30,Sat,Home,L,0,2,Arsenal,,swansea
2013-03-30,Premier League,Matchweek 31,Sat,Home,L,1,2,Tottenham,,swansea
2013-04-06,Premier League,Matchweek 32,Sat,Away,D,2,2,Norwich City,,swansea
2013-04-20,Premier League,Matchweek 34,Sat,Home,D,0,0,Southampton,,swansea
2013-04-28,Premier League,Matchweek 35,Sun,Away,L,0,2,Chelsea,,swansea
2013-05-04,Premier League,Matchweek 36,Sat,Home,D,0,0,Manchester City,,swansea
2013-05-07,Premier League,Matchweek 33,Tue,Away,W,3,2,Wigan Athletic,,swansea
2013-05-12,Premier League,Matchweek 37,Sun,Away,L,1,2,Manchester Utd,,swansea
2013-05-19,Premier League,Matchweek 38,Sun,Home,L,0,3,Fulham,,swansea
