Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,team
2012-12-01,Premier League,Matchweek 15,Sat,Away,D,1,1,QPR,,aston-villa
2012-12-08,Premier League,Matchweek 16,Sat,Home,D,0,0,Stoke City,,aston-villa
2012-12-15,Premier League,Matchweek 17,Sat,Away,W,3,1,Liverpool,,aston-villa
2012-12-23,Premier League,Matchweek 18,Sun,Away,L,0,8,Chelsea,,aston-villa
2012-12-26,Premier League,Matchweek 19,Wed,Home,L,0,4,Tottenham,,aston-villa
2012-12-29,Premier League,Matchweek 20,Sat,Home,L,0,3,Wigan Athletic,,aston-villa
2013-01-01,Premier League,Matchweek 21,Tue,Away,D,2,2,Swansea City,,aston-villa
2013-01-12,Premier League,Matchweek 22,Sat,Home,L,0,1,Southampton,,aston-villa
2013-01-19,Premier League,Matchweek 23,Sat,Away,D,2,2,West Brom,,aston-villa
2013-01-29,Premier League,Matchweek 24,Tue,Home,L,1,2,Newcastle Utd,,aston-villa
2013-02-02,Premier League,Matchweek 25,Sat,Away,D,3,3,Everton,,aston-villa
2013-02-10,Premier League,Matchweek 26,Sun,Home,W,2,1,West Ham,,aston-villa
2013-02-23,Premier League,Matchweek 27,Sat,Away,L,1,2,Arsenal,,aston-villa
2013-03-04,Premier League,Matchweek 28,Mon,Home,L,0,1,Manchester City,,aston-villa
2013-03-09,Premier League,Matchweek 29,Sat,Away,W,2,1,Reading,,aston-villa
2013-03-16,Premier League,Matchweek 30,Sat,Home,W,3,2,QPR,,aston-villa
2013-03-31,Premier League,Matchweek 31,Sun,Home,L,1,2,Liverpool,,aston-villa
2013-04-06,Premier League,Matchweek 32,Sat,Away,W,3,1,Stoke City,,aston-villa
2013-04-13,Premier League,Matchweek 33,Sat,Home,D,1,1,Fulham,,aston-villa
2013-04-22,Premier League,Matchweek 34,Mon,Away,L,0,3,Manchester Utd,,aston-villa
2013-04-29,Premier League,Matchweek 35,Mon,Home,W,6,1,Sunderland,,aston-villa
2013-05-04,Premier League,Matchweek 36,Sat,Away,W,2,1,Norwich City,,aston-villa
2013-05-11,Premier League,Matchweek 37,Sat,Home,L,1,2,Chelsea,,aston-villa
2013-05-19,Premier League,Matchweek 38,Sun,Away,D,2,2,Wigan Athletic,,aston-villa
2012-08-19,Premier League,Matchweek 1,Sun,Away,W,2,0,Wigan Athletic,,chelsea
2012-08-22,Premier League,Matchweek 3,Wed,Home,W,4,2,Reading,,chelsea
2012-08-25,Premier League,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,,chelsea
2012-09-15,Premier League,Matchweek 4,Sat,Away,D,0,0,QPR,,chelsea
2012-09-19,Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,,chelsea
2012-09-22,Premier League,Matchweek 5,Sat,Home,W,1,0,Stoke City,,chelsea
2012-09-29,Premier League,Matchweek 6,Sat,Away,W,2,1,Arsenal,,chelsea
2012-10-02,Champions Lg,Group stage,Tue,Away,W,4,0,dk Nordsjælland,,chelsea
2012-10-06,Premier League,Matchweek 7,Sat,Home,W,4,1,Norwich City,,chelsea
2012-10-20,Premier League,Matchweek 8,Sat,Away,W,4,2,Tottenham,,chelsea
2012-10-23,Champions Lg,Group stage,Tue,Away,L,1,2,ua Shakhtar,,chelsea
2012-10-28,Premier League,Matchweek 9,Sun,Home,L,2,3,Manchester Utd,,chelsea
2012-11-03,Premier League,Matchweek 10,Sat,Away,D,1,1,Swansea City,,chelsea
2012-11-07,Champions Lg,Group stage,Wed,Home,W,3,2,ua Shakhtar,,chelsea
2012-11-11,Premier League,Matchweek 11,Sun,Home,D,1,1,Liverpool,,chelsea
2012-11-17,Premier League,Matchweek 12,Sat,Away,L,1,2,West Brom,,chelsea
2012-11-20,Champions Lg,Group stage,Tue,Away,L,0,3,it Juventus,,chelsea
2012-11-25,Premier League,Matchweek 13,Sun,Home,D,0,0,Manchester City,,chelsea
2012-11-28,Premier League,Matchweek 14,Wed,Home,D,0,0,Fulham,,chelsea
2012-12-01,Premier League,Matchweek 15,Sat,Away,L,1,3,West Ham,,chelsea
2012-12-05,Champions Lg,Group stage,Wed,Home,W,6,1,dk Nordsjælland,,chelsea
2012-12-08,Premier League,Matchweek 16,Sat,Away,W,3,1,Sunderland,,chelsea
2012-12-23,Premier League,Matchweek 18,Sun,Home,W,8,0,Aston Villa,,chelsea
2012-12-26,Premier League,Matchweek 19,Wed,Away,W,1,0,Norwich City,,chelsea
2012-12-30,Premier League,Matchweek 20,Sun,Away,W,2,1,Everton,,chelsea
2013-01-02,Premier League,Matchweek 21,Wed,Home,L,0,1,QPR,,chelsea
2013-01-12,Premier League,Matchweek 22,Sat,Away,W,4,0,Stoke City,,chelsea
2013-01-16,Premier League,Matchweek 17,Wed,Home,D,2,2,Southampton,,chelsea
2013-01-20,Premier League,Matchweek 23,Sun,Home,W,2,1,Arsenal,,chelsea
2013-01-30,Premier League,Matchweek 24,Wed,Away,D,2,2,Reading,,chelsea
2013-02-02,Premier League,Matchweek 25,Sat,Away,L,2,3,Newcastle Utd,,chelsea
2013-02-09,Premier League,Matchweek 26,Sat,Home,W,4,1,Wigan Athletic,,chelsea
2013-02-14,Europa Lg,Round of 32,Thu,Away,W,1,0,cz Sparta Prague,,chelsea
2013-02-21,Europa Lg,Round of 32,Thu,Home,D,1,1,cz Sparta Prague,,chelsea
2013-02-24,Premier League,Matchweek 27,Sun,Away,L,0,2,Manchester City,,chelsea
2013-03-02,Premier League,Matchweek 28,Sat,Home,W,1,0,West Brom,,chelsea
2013-03-07,Europa Lg,Round of 16,Thu,Away,L,0,1,ro Steaua,,chelsea
2013-03-14,Europa Lg,Round of 16,Thu,Home,W,3,1,ro Steaua,,chelsea
2013-03-17,Premier League,Matchweek 30,Sun,Home,W,2,0,West Ham,,chelsea
2013-03-30,Premier League,Matchweek 31,Sat,Away,L,1,2,Southampton,,chelsea
2013-04-04,Europa Lg,Quarter-finals,Thu,Home,W,3,1,ru Rubin Kazan,,chelsea
2013-04-07,Premier League,Matchweek 32,Sun,Home,W,2,1,Sunderland,,chelsea
2013-04-11,Europa Lg,Quarter-finals,Thu,Away,L,2,3,ru Rubin Kazan,,chelsea
2013-04-17,Premier League,Matchweek 29,Wed,Away,W,3,0,Fulham,,chelsea
2013-04-21,Premier League,Matchweek 34,Sun,Away,D,2,2,Liverpool,,chelsea
2013-04-25,Europa Lg,Semi-finals,Thu,Away,W,2,1,ch Basel,,chelsea
