Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-02-18,21:00 (04:00),Champions Lg,Round of 16,Tue,Away,L,0,1,es Atlético Madrid,0.5,1.2,71,67443,Jordan Henderson,4-3-3,Szymon Marciniak,Match Report,Leg 1 of 2
2020-02-24,20:00 (04:00),Premier League,Matchweek 27,Mon,Home,W,3,2,West Ham,2.4,0.7,69,53313,Virgil van Dijk,4-3-3,Jonathan Moss,Match Report,
2020-02-29,17:30 (01:30),Premier League,Matchweek 28,Sat,Away,L,0,3,Watford,0.3,2.3,70,21634,Virgil van Dijk,4-3-3,Michael Oliver,Match Report,
2020-03-03,19:45 (03:45),FA Cup,Fifth round,Tue,Away,L,0,2,Chelsea,,,58,40103,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,
2020-03-07,12:30 (20:30),Premier League,Matchweek 29,Sat,Home,W,2,1,Bournemouth,1.8,1.4,74,53323,James Milner,4-3-3,Paul Tierney,Match Report,
2020-03-11,20:00 (04:00),Champions Lg,Round of 16,Wed,Home,L,2,3,es Atlético Madrid,3.4,1.1,70,52267,Jordan Henderson,4-3-3,Danny Makkelie,Match Report,Leg 2 of 2; Atlético Madrid won; Required Extra Time
2020-06-21,19:00 (02:00),Premier League,Matchweek 30,Sun,Away,D,0,0,Everton,0.7,0.9,69,,Jordan Henderson,4-3-3,Mike Dean,Match Report,
2020-06-24,20:15 (03:15),Premier League,Matchweek 31,Wed,Home,W,4,0,Crystal Palace,2.4,0.1,73,,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2020-07-02,20:15 (03:15),Premier League,Matchweek 32,Thu,Away,L,0,4,Manchester City,1.1,2.4,53,,Jordan Henderson,4-3-3,Anthony Taylor,Match Report,
2020-07-05,16:30 (23:30),Premier League,Matchweek 33,Sun,Home,W,2,0,Aston Villa,0.7,0.7,70,,Virgil van Dijk,4-3-3,Paul Tierney,Match Report,
2020-07-08,20:15 (03:15),Premier League,Matchweek 34,Wed,Away,W,3,1,Brighton,2.5,2.4,56,,Jordan Henderson,4-3-3,Craig Pawson,Match Report,
2020-07-11,15:00 (22:00),Premier League,Matchweek 35,Sat,Home,D,1,1,Burnley,1.7,0.4,71,,Virgil van Dijk,4-3-3,David Coote,Match Report,
2020-07-15,20:15 (03:15),Premier League,Matchweek 36,Wed,Away,L,1,2,Arsenal,2.1,0.8,69,,Virgil van Dijk,4-3-3,Paul Tierney,Match Report,
2020-07-22,20:15 (03:15),Premier League,Matchweek 37,Wed,Home,W,5,3,Chelsea,1.7,2.4,50,,Virgil van Dijk,4-3-3,Andre Marriner,Match Report,
2020-07-26,16:00 (23:00),Premier League,Matchweek 38,Sun,Away,W,3,1,Newcastle Utd,0.6,0.1,74,,James Milner,4-3-3,Anthony Taylor,Match Report,
