Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
1,0.1000000000000014,0.1,0.6000000000000005,-1.4000000000000004,-0.1,0.2,0.2,0.6000000000000001,-0.5999999999999999,0.0999999999999998,8.0,5.0,0.6,0.3,20.0,10.0,1.0,20.0,10.0,1.0,-2,0,1,-0.3299999999999983,-0.1999999999999997,3.1,The Hawthorns,W
2,-2.6000000000000014,-0.9000000000000004,-1.3999999999999997,1.200000000000001,0.7,-0.1,0.9,0.6000000000000001,0.0999999999999998,1.0,8.0,-4.0,0.1999999999999999,-0.4000000000000001,0.0,-20.0,0.0,20.0,0.0,0.0,-6,-4,-3,-4.329999999999998,-3.5,3.8,St Mary's Stadium,W
-3,-1.4000000000000004,0.5,-2.4000000000000004,-0.3000000000000007,0.0,0.0,0.0,-0.8,-0.1999999999999999,-0.1999999999999999,2.0,-6.0,0.7,-0.0999999999999998,20.0,10.0,0.0,30.0,-30.0,2.0,-8,-3,-5,-5.329999999999998,1.4,3.4,King Power Stadium,W
-1,0.6999999999999993,1.0,0.5,1.8000000000000007,-0.5999999999999999,-0.1999999999999999,-0.3,0.7,0.4000000000000001,0.2999999999999998,-7.0,4.0,-0.4000000000000001,0.3,-10.0,10.0,0.0,-20.0,10.0,0.0,-3,-2,-6,-3.6700000000000017,0.02,3.5,Villa Park,W
2,-0.9000000000000004,0.5,-0.3000000000000007,0.8000000000000007,-0.2000000000000001,0.1,-0.7,-0.2999999999999998,0.3,-0.5,-10.0,2.0,-0.9000000000000001,0.1999999999999999,-30.0,10.0,0.0,-30.0,0.0,-4.0,-1,-1,-10,-4.0,0.6499999999999999,3.75,Goodison Park,W
-3,1.1999999999999993,1.4,0.4000000000000003,-3.0,-0.3,0.0,0.5999999999999999,-0.1,-0.8,-0.3,14.0,2.0,1.2,0.3999999999999999,40.0,10.0,0.0,40.0,20.0,1.0,1,2,5,2.6700000000000017,-2.48,3.89,King Power Stadium,W
5,0.6999999999999993,-0.0999999999999996,1.9000000000000004,1.6999999999999993,-0.8999999999999999,0.2,-0.5,0.2999999999999998,-0.8,-0.5999999999999999,3.0,9.0,0.1999999999999999,0.6000000000000001,0.0,10.0,2.0,20.0,40.0,3.0,-2,0,4,0.6700000000000017,-1.6999999999999995,3.5,St Mary's Stadium,W
6,1.8999999999999984,1.5,-0.0999999999999996,-0.4000000000000003,0.7000000000000001,-0.1,-0.4000000000000001,0.3,0.5,0.1999999999999999,-9.0,1.0,-0.5000000000000001,0.3999999999999999,-20.0,10.0,0.0,-10.0,20.0,0.0,-5,0,0,-1.6599999999999966,-0.9299999999999996,3.3,Craven Cottage,W
0,4.5,2.3000000000000003,2.2,1.3000000000000007,0.0,-0.2,0.8999999999999999,1.2,-1.4999999999999998,-1.1,24.0,23.0,1.7,1.2999999999999998,50.0,40.0,0.0,70.0,50.0,0.0,5,4,3,4.0,-4.14,3.8,Goodison Park,W
-1,-2.299999999999999,-1.6000000000000003,-0.4000000000000003,0.8000000000000007,0.2,0.0,-0.0999999999999996,1.4,0.9,0.4,-10.0,10.0,-0.6999999999999997,0.1,-20.0,10.0,-8.0,-30.0,-10.0,-20.0,1,5,2,2.6700000000000017,-1.56,3.8,Etihad Stadium,W
