Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
N Swarbrick,Sat,29,3,-2.8000000000000007,-0.2000000000000001,-1.0,0.3000000000000007,0.8000000000000003,-0.0999999999999999,0.2999999999999999,0.3999999999999999,-0.4000000000000001,0.0,7.0,4.0,0.2,-0.1999999999999999,0.3,0.2,4.0,1.0,0.1999999999999999,0.1999999999999999,0.0,0.0,-1.0,20.0,20.0,0.0,-1,2,2,1.0,-1.02,3.25,Stadium of Light,L
A Marriner,Wed,26,0,2.9000000000000004,0.9000000000000004,3.6000000000000005,-2.4000000000000004,-1.0,0.0,0.9,1.6999999999999995,-0.1,-0.3,10.0,20.0,0.1,0.0,0.4999999999999999,-0.1,1.0,6.0,1.0,1.9,40.0,70.0,4.0,20.0,50.0,4.0,10,8,4,7.340000000000003,-8.6,4.75,Goodison Park,L
K Friend,Wed,23,6,-1.5,-0.6000000000000005,-2.6,-0.3000000000000007,-0.5,-0.1999999999999999,0.0,-0.7,-0.3999999999999999,0.1,4.0,-8.0,0.3999999999999999,-0.1999999999999999,-0.3999999999999999,-0.6,6.0,2.0,0.0999999999999998,-0.4000000000000001,0.0,-20.0,2.0,10.0,0.0,1.0,-3,-5,-8,-5.329999999999998,4.43,4.5,London Stadium,L
A Taylor,Sun,17,-2,0.200000000000001,0.1999999999999993,-0.7999999999999998,2.8000000000000007,0.1,0.0,0.4000000000000001,0.5,0.4,0.2,0.0,3.0,-0.3,0.0999999999999999,0.0999999999999999,0.0,-4.0,1.0,-0.1999999999999999,0.3,0.0,10.0,-2.0,-20.0,10.0,-5.0,-2,-3,-4,-3.0,0.7999999999999998,3.7,Stamford Bridge,L
A Madley,Sun,8,3,-3.0,-2.9,-1.5999999999999996,-2.200000000000001,0.1999999999999999,0.1,-1.7,-1.0000000000000002,0.7,0.7,-24.0,-17.0,-1.0,0.3999999999999999,-0.4,-0.0999999999999999,-14.0,-3.0,-1.2000000000000002,-1.1,-40.0,-40.0,-2.0,-40.0,-30.0,-6.0,-9,-8,-13,-10.0,5.55,4.33,The Hawthorns,L
J Moss,Sun,30,5,3.5,0.7000000000000002,-0.8999999999999999,2.6999999999999997,0.6000000000000001,-0.1,0.2,0.8,0.8,-0.3,-6.0,11.0,0.3999999999999999,0.5,0.2,-0.4,-1.0,6.0,-0.6,0.7999999999999999,-10.0,20.0,-1.0,-40.0,40.0,-1.0,-6,-5,-6,-5.670000000000002,1.15,3.4,Loftus Road,L
C Pawson,Wed,27,1,-2.799999999999999,-2.1,-3.0,3.1999999999999997,0.8,0.0,-0.6000000000000001,-0.3,0.5999999999999999,0.5999999999999999,-12.0,-9.0,-0.6000000000000001,0.0999999999999999,-0.8999999999999999,0.3999999999999999,-7.0,-13.0,-0.8,-0.1999999999999999,-30.0,-10.0,-1.0,-20.0,0.0,-1.0,-4,-8,-7,-6.340000000000003,8.7,6.25,Goodison Park,L
J Moss,Sun,21,2,-2.799999999999999,-0.9000000000000004,-2.8000000000000007,-1.0999999999999996,-0.8999999999999999,0.0,-0.5,-0.3999999999999999,0.7000000000000001,-0.2999999999999998,-12.0,-1.0,-0.0999999999999999,0.2,-0.0999999999999999,-0.5,-3.0,4.0,0.1999999999999999,0.4000000000000001,10.0,20.0,3.0,0.0,0.0,5.0,-9,-6,-8,-7.670000000000002,2.58,4.0,London Stadium,L
K Friend,Sat,32,4,3.0,1.7999999999999998,1.0999999999999996,-1.6999999999999993,-0.3999999999999999,0.0,-0.3,-0.2999999999999998,0.6000000000000001,0.1999999999999999,-9.0,-5.0,-0.0999999999999999,0.7,0.2,0.3,-8.0,-1.0,-0.6000000000000001,-0.3999999999999999,-20.0,-20.0,0.0,-20.0,0.0,1.0,-8,-8,-7,-7.659999999999997,1.85,3.6,St Mary's Stadium,L
A Madley,Sun,9,0,1.4000000000000004,-0.5999999999999996,-0.5,-0.2999999999999989,0.3000000000000002,-0.1,-1.1,0.0,0.3,0.1999999999999999,-14.0,-2.0,-0.6000000000000001,-0.1999999999999999,-0.1,0.2,-4.0,-3.0,-1.2000000000000002,-0.2999999999999999,-40.0,-10.0,0.0,-40.0,-10.0,0.0,-6,-4,-5,-5.0,2.05,3.9,Craven Cottage,L
