Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-14,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,L,0,1,Leicester City,1.5,0.7,44,31983,Conor Coady,3-4-3,Craig Pawson,Match Report,
2021-08-22,14:00 (21:00),Premier League,Matchweek 2,Sun,Home,L,0,1,Tottenham,1.7,1.7,58,30368,Conor Coady,3-4-3,Stuart Attwell,Match Report,
2021-08-24,20:00 (03:00),EFL Cup,Second round,Tue,Away,W,4,0,Nott'ham Forest,,,74,10769,Conor Coady,3-4-1-2,Andrew Davies,Match Report,
2021-08-29,16:30 (23:30),Premier League,Matchweek 3,Sun,Home,L,0,1,Manchester Utd,2.5,0.7,44,30621,Conor Coady,3-4-3,Mike Dean,Match Report,
2021-09-11,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,W,2,0,Watford,2.1,0.3,55,20019,Conor Coady,3-4-3,Peter Bankes,Match Report,
2021-09-18,12:30 (19:30),Premier League,Matchweek 5,Sat,Home,L,0,2,Brentford,0.7,2.5,62,30000,Conor Coady,3-4-3,Darren England,Match Report,
2021-09-22,19:45 (02:45),EFL Cup,Third round,Wed,Home,D,2 (2),2 (3),Tottenham,,,51,28798,Rúben Neves,3-4-3,Peter Bankes,Match Report,Tottenham won on penalty kicks following extra time
2021-09-26,14:00 (21:00),Premier League,Matchweek 6,Sun,Away,W,1,0,Southampton,0.6,1.3,43,28002,Conor Coady,3-4-3,Andy Madley,Match Report,
2021-10-02,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Newcastle Utd,1.1,0.7,52,30483,Conor Coady,3-4-3,Graham Scott,Match Report,
2021-10-16,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,W,3,2,Aston Villa,1.9,1.2,52,41951,Conor Coady,3-4-3,Michael Oliver,Match Report,
2021-10-23,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,D,1,1,Leeds United,1.0,1.9,38,36475,Conor Coady,3-4-3,Robert Jones,Match Report,
2021-11-01,20:00 (04:00),Premier League,Matchweek 10,Mon,Home,W,2,1,Everton,1.6,1.6,61,30617,Conor Coady,3-4-3,Martin Atkinson,Match Report,
