Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
L Mason,Sat,1.0,1,-5.700000000000001,-2.5,-1.6000000000000003,0.5999999999999996,0.3,-0.1,-0.3999999999999999,-0.1,0.1,0.1999999999999999,-5.0,-3.0,0.0999999999999999,0.2,0.4,0.1,-1.0,3.0,-0.1999999999999999,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1,-1,3,1.0,-6,0,0.4299999999999997,3.6,St Mary's Stadium,L
C Pawson,Sun,0.0,7,1.299999999999999,-0.0999999999999996,0.9000000000000004,1.1999999999999993,1.0000000000000002,0.1,-1.7000000000000002,-1.1,-0.1,-0.5,-16.0,-6.0,-0.3,-0.1,-0.3,-0.1999999999999999,-2.0,-1.0,-1.6,-0.9999999999999998,-60.0,-40.0,-2.0,-40.0,-20.0,-3.0,-6,-5,-10,-7.0,6,0,1.6999999999999995,3.5,Carrow Road,W
S Hooper,Sat,0.0,0,-0.9000000000000004,-0.6000000000000001,-1.0,-0.6999999999999993,-0.3999999999999999,-0.1,0.2,-0.1,0.3,0.1999999999999999,-1.0,-3.0,0.2,0.1,0.0,0.0,1.0,0.0,0.4000000000000001,0.4,20.0,10.0,0.0,0.0,20.0,-1.0,3,1,3,2.3299999999999983,-8,-1,-1.4500000000000002,3.2,Selhurst Park,W
A Marriner,Sat,0.0,0,4.199999999999999,1.2999999999999998,1.4000000000000004,-0.5999999999999996,-0.1999999999999999,0.0,0.3999999999999999,0.9,0.8,0.4999999999999999,-4.0,4.0,0.1,0.8,0.3999999999999999,0.1999999999999999,-7.0,2.0,-0.6000000000000001,0.0,-30.0,0.0,-1.0,0.0,0.0,1.0,-1,0,1,0.0,3,0,-0.27,3.3,Boleyn Ground,D
M Oliver,Sat,0.0,0,-5.5,-1.4,-1.4000000000000004,-1.3000000000000007,0.3999999999999999,-0.1,-0.8,-1.4,-0.7000000000000001,-0.8,-1.0,-6.0,-0.1999999999999999,-0.6000000000000001,-0.6000000000000001,-0.3999999999999999,4.0,-2.0,0.5,0.0999999999999998,20.0,0.0,0.0,10.0,10.0,3.0,-5,-7,-12,-8.0,14,0,5.45,4.2,Turf Moor,L
M Atkinson,Sun,0.0,0,1.200000000000001,-1.2999999999999998,0.3000000000000007,2.8000000000000007,-0.1,-0.1,-0.5,0.1999999999999999,1.4,0.2999999999999998,-19.0,-1.0,-0.2,0.7000000000000001,0.0,0.5,-9.0,-5.0,-0.7,0.4999999999999999,-20.0,20.0,-2.0,-30.0,10.0,-3.0,-9,-7,-8,-8.0,19,1,2.15,3.8,Villa Park,L
M Jones,Sun,0.0,3,-5.300000000000001,-2.2,-3.2,1.0,-0.5,-0.1,-1.2999999999999998,-0.5,0.3,0.0999999999999998,-16.0,-6.0,-0.7000000000000001,0.0,-0.1,-0.0999999999999999,-7.0,0.0,-1.0,0.1,-30.0,10.0,-1.0,-40.0,-10.0,-1.0,2,2,0,1.3400000000000034,-3,0,1.35,3.6,Bet365 Stadium,W
P Dowd,Sun,0.0,3,-3.6999999999999993,-2.0,-1.7000000000000002,-0.2999999999999989,-0.2999999999999999,-0.1,-0.6000000000000001,0.1999999999999999,1.2000000000000002,0.1999999999999999,-18.0,0.0,-0.0999999999999999,0.8,0.0999999999999999,0.0999999999999999,-9.0,0.0,-1.3000000000000005,-0.3,-50.0,-10.0,-1.0,-30.0,-10.0,-1.0,-8,-7,-8,-7.670000000000002,6,0,3.17,3.6,Swansea.com Stadium,L
G Scott,Sun,0.0,5,-7.200000000000001,-2.8,-0.7000000000000002,-1.1999999999999993,0.0,0.2,-0.3,-0.7,1.2999999999999998,0.5999999999999999,-16.0,-13.0,-0.0999999999999999,0.4,-0.4,0.1999999999999999,-5.0,-6.0,-0.6000000000000001,-0.8,-10.0,-20.0,0.0,-40.0,-40.0,0.0,-3,-3,0,-2.0,17,1,4.05,3.8,Hull City Stadium,W
C Pawson,Sat,0.0,0,0.8000000000000007,-1.0999999999999996,1.7000000000000002,-1.6999999999999993,0.0999999999999998,0.1,-0.5,-0.3999999999999999,-0.0999999999999999,-0.2,-4.0,-2.0,-0.6,0.3999999999999999,-0.3,0.3999999999999999,-10.0,-7.0,-0.7999999999999998,-0.6000000000000001,-40.0,-30.0,-1.0,0.0,0.0,5.0,-5,-6,-7,-6.0,6,0,1.7999999999999998,3.75,King Power Stadium,L
