Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-18,,Premier League,Matchweek 1,Sun,Home,W,2,0,Hull City,,,,4-2-3-1,Jon Moss,Match Report,
2013-08-21,,Premier League,Matchweek 3,Wed,Home,W,2,1,Aston Villa,,,,4-2-3-1,Kevin Friend,Match Report,
2013-08-26,,Premier League,Matchweek 2,Mon,Away,D,0,0,Manchester Utd,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Away,L,0,1,Everton,,,,4-2-3-1,Howard Webb,Match Report,
2013-09-18,,Champions Lg,Group stage,Wed,Home,L,1,2,ch Basel,,,,4-2-3-1,Daniele Orsato,Match Report,
2013-09-21,,Premier League,Matchweek 5,Sat,Home,W,2,0,Fulham,,,,4-2-3-1,Andre Marriner,Match Report,
2013-09-28,,Premier League,Matchweek 6,Sat,Away,D,1,1,Tottenham,,,,4-2-3-1,Mike Dean,Match Report,
2013-10-01,,Champions Lg,Group stage,Tue,Away,W,4,0,ro Steaua,,,,4-2-3-1,Velasco Carballo,Match Report,
2013-10-06,,Premier League,Matchweek 7,Sun,Away,W,3,1,Norwich City,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Home,W,4,1,Cardiff City,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-10-22,,Champions Lg,Group stage,Tue,Away,W,3,0,de Schalke 04,,,,4-2-3-1,Viktor Kassai,Match Report,
2013-10-27,,Premier League,Matchweek 9,Sun,Home,W,2,1,Manchester City,,,,4-2-3-1,Howard Webb,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Away,L,0,2,Newcastle Utd,,,,4-2-3-1,Lee Mason,Match Report,
2013-11-06,,Champions Lg,Group stage,Wed,Home,W,3,0,de Schalke 04,,,,4-2-3-1,Svein Oddvar Moen,Match Report,
2013-11-09,,Premier League,Matchweek 11,Sat,Home,D,2,2,West Brom,,,,4-2-3-1,Lee Probert,Match Report,
2013-11-23,,Premier League,Matchweek 12,Sat,Away,W,3,0,West Ham,,,,4-3-3,Chris Foy,Match Report,
2013-11-26,,Champions Lg,Group stage,Tue,Away,L,0,1,ch Basel,,,,4-3-3,Stéphane Lannoy,Match Report,
2013-12-01,,Premier League,Matchweek 13,Sun,Home,W,3,1,Southampton,,,,4-2-3-1,Michael Oliver,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Away,W,4,3,Sunderland,,,,4-2-3-1,Phil Dowd,Match Report,
2013-12-07,,Premier League,Matchweek 15,Sat,Away,L,2,3,Stoke City,,,,4-2-3-1,Jon Moss,Match Report,
2013-12-11,,Champions Lg,Group stage,Wed,Home,W,1,0,ro Steaua,,,,4-2-3-1,Gianluca Rocchi,Match Report,
2013-12-14,,Premier League,Matchweek 16,Sat,Home,W,2,1,Crystal Palace,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-12-23,,Premier League,Matchweek 17,Mon,Away,D,0,0,Arsenal,,,,4-3-3,Mike Dean,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Home,W,1,0,Swansea City,,,,4-2-3-1,Mike Jones,Match Report,
