Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-17,,Premier League,Matchweek 1,Sat,Home,L,1,3,Aston Villa,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-08-21,,Champions Lg,Play-off round,Wed,Away,W,3,0,tr Fenerbahçe,,,,,Gianluca Rocchi,Match Report,Leg 1 of 2
2013-08-24,,Premier League,Matchweek 2,Sat,Away,W,3,1,Fulham,,,,4-2-3-1,Howard Webb,Match Report,
2013-08-27,,Champions Lg,Play-off round,Tue,Home,W,2,0,tr Fenerbahçe,,,,,Velasco Carballo,Match Report,Leg 2 of 2; Arsenal won
2013-09-01,,Premier League,Matchweek 3,Sun,Home,W,1,0,Tottenham,,,,4-2-3-1,Michael Oliver,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Away,W,3,1,Sunderland,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-09-18,,Champions Lg,Group stage,Wed,Away,W,2,1,fr Marseille,,,,4-2-3-1,Olegário Benquerença,Match Report,
2013-09-22,,Premier League,Matchweek 5,Sun,Home,W,3,1,Stoke City,,,,4-2-3-1,Mike Dean,Match Report,
2013-09-28,,Premier League,Matchweek 6,Sat,Away,W,2,1,Swansea City,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-10-01,,Champions Lg,Group stage,Tue,Home,W,2,0,it Napoli,,,,4-3-3,Milorad Mažić,Match Report,
2013-10-06,,Premier League,Matchweek 7,Sun,Away,D,1,1,West Brom,,,,4-2-3-1,Lee Mason,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Home,W,4,1,Norwich City,,,,4-2-3-1,Lee Probert,Match Report,
2013-10-22,,Champions Lg,Group stage,Tue,Home,L,1,2,de Dortmund,,,,4-2-3-1,Jonas Eriksson,Match Report,
2013-10-26,,Premier League,Matchweek 9,Sat,Away,W,2,0,Crystal Palace,,,,4-2-3-1,Chris Foy,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Home,W,2,0,Liverpool,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-11-06,,Champions Lg,Group stage,Wed,Away,W,1,0,de Dortmund,,,,4-2-3-1,Björn Kuipers,Match Report,
2013-11-10,,Premier League,Matchweek 11,Sun,Away,L,0,1,Manchester Utd,,,,4-2-3-1,Michael Oliver,Match Report,
2013-11-23,,Premier League,Matchweek 12,Sat,Home,W,2,0,Southampton,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-11-26,,Champions Lg,Group stage,Tue,Home,W,2,0,fr Marseille,,,,4-2-3-1,Mateu Lahoz,Match Report,
2013-11-30,,Premier League,Matchweek 13,Sat,Away,W,3,0,Cardiff City,,,,4-2-3-1,Lee Mason,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Home,W,2,0,Hull City,,,,4-2-3-1,Andre Marriner,Match Report,
2013-12-08,,Premier League,Matchweek 15,Sun,Home,D,1,1,Everton,,,,4-2-3-1,Howard Webb,Match Report,
2013-12-11,,Champions Lg,Group stage,Wed,Away,L,0,2,it Napoli,,,,4-2-3-1,Viktor Kassai,Match Report,
2013-12-14,,Premier League,Matchweek 16,Sat,Away,L,3,6,Manchester City,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-12-23,,Premier League,Matchweek 17,Mon,Home,D,0,0,Chelsea,,,,4-2-3-1,Mike Dean,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Away,W,3,1,West Ham,,,,4-2-3-1,Phil Dowd,Match Report,
