Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
G Scott,Sun,1.0,0,-0.9000000000000004,0.0,-1.7999999999999998,2.6,1.2,0.0,-0.1999999999999999,-0.1999999999999999,0.6000000000000001,0.2000000000000001,-8.0,-4.0,-0.1,0.3999999999999999,-0.0999999999999999,0.0,-5.0,-1.0,-0.9000000000000001,-0.3999999999999999,-30.0,-20.0,-1.0,-30.0,0.0,-1.0,-10,-7,-9,-8.659999999999997,4.97,4.5,Craven Cottage,L
R Madley,Sat,0.0,2,-8.8,-2.6,-3.7,4.6,0.7999999999999999,0.1,0.0,-0.0999999999999998,1.1,0.6000000000000001,-11.0,-7.0,-0.0999999999999999,0.5,-0.5,0.2,-6.0,-7.0,-0.8,-0.1,-30.0,0.0,0.0,-20.0,-10.0,3.0,-7,-4,-14,-8.340000000000003,4.34,3.89,Goodison Park,D
A Marriner,Sat,0.0,1,-3.1999999999999997,-0.7999999999999998,1.0,2.3000000000000007,0.6000000000000001,0.1,-0.9000000000000001,0.2000000000000001,0.9,0.0999999999999999,-18.0,1.0,-0.3,0.3,0.3,-0.4,-6.0,7.0,-1.8000000000000005,-0.4000000000000001,-70.0,-20.0,0.0,-40.0,0.0,2.0,-4,-6,-5,-5.0,4.38,4.1,King Power Stadium,L
A Marriner,Sat,-1.0,0,-3.6,-1.2000000000000002,-0.7999999999999998,-4.100000000000001,-1.7000000000000002,0.0,-0.5000000000000001,-0.1999999999999999,-1.1,-0.5,6.0,3.0,0.0,-0.7000000000000001,0.0,-0.3999999999999999,7.0,4.0,0.0,-0.5,0.0,-10.0,0.0,0.0,-30.0,-3.0,-2,-2,-3,-2.3299999999999983,0.1500000000000003,3.4,Vicarage Road,L
M Atkinson,Wed,0.0,-1,2.3999999999999986,1.5999999999999996,4.1,-3.700000000000001,0.2000000000000001,-0.1,1.4999999999999998,1.9,-1.1,-0.8,26.0,27.0,0.4,-0.5,0.7999999999999999,-0.3,9.0,11.0,1.3,1.5000000000000002,40.0,60.0,0.0,50.0,30.0,0.0,6,10,10,8.670000000000002,-15.83,9.0,Etihad Stadium,D
K Friend,Sun,0.0,-1,-5.6,-3.2,-0.0999999999999996,-0.5999999999999996,0.5,0.0,-2.0,-0.9999999999999998,0.5,-0.8,-25.0,-2.0,-1.2000000000000002,0.1999999999999999,-0.8999999999999999,-0.5000000000000001,-14.0,-4.0,-1.5000000000000002,0.1,-60.0,0.0,-1.0,-30.0,10.0,-4.0,-8,-6,-2,-5.329999999999998,4.13,4.33,The Hawthorns,D
A Taylor,Sat,0.0,-2,-3.1999999999999997,-0.9000000000000004,-1.5,1.8000000000000007,0.8,-0.1,-0.3,0.0,1.1,-0.1,-14.0,1.0,0.0,0.0999999999999999,0.3,0.0,-1.0,3.0,-1.0,-0.4000000000000001,-30.0,-10.0,-2.0,-40.0,-20.0,-4.0,-6,-3,-3,-4.0,0.8700000000000001,3.4,Selhurst Park,L
M Dean,Wed,0.0,1,3.1999999999999997,1.1,1.5,0.5,-0.3,0.1,-0.0999999999999999,-0.2999999999999999,-0.6000000000000001,-0.7000000000000002,5.0,4.0,-0.0999999999999999,-0.2,0.0,0.2,1.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-2,-2,-2,-2.0,-2.06,3.1,Kirklees Stadium,L
A Madley,Sat,0.0,-7,-0.6999999999999993,-1.2000000000000002,-1.1000000000000003,-0.0999999999999996,-0.5999999999999999,-0.1,-0.0999999999999998,0.5999999999999999,-0.1999999999999999,0.4,1.0,2.0,0.1,-0.2999999999999999,0.4,0.0999999999999999,4.0,3.0,0.5,0.5,10.0,10.0,0.0,30.0,30.0,1.0,0,3,1,1.3299999999999983,0.2999999999999998,3.4,King Power Stadium,D
C Pawson,Sun,0.0,0,1.8000000000000007,0.3999999999999999,1.5,-1.5999999999999996,-0.1999999999999999,0.0,-0.5,0.0,0.6000000000000001,0.0999999999999998,-11.0,-1.0,-0.1999999999999999,0.2,-0.3,0.0999999999999999,-4.0,-4.0,-0.6,-0.1,-30.0,-10.0,-1.0,0.0,10.0,-1.0,-6,-7,-12,-8.329999999999998,3.9,4.0,St. James Park,D
